id,item_id,price,week,year,date_created,date_updated
2997,51011000004,1297.42,11,2024,2024-03-17T14:20:00+00:00,2024-03-17T14:20:00+00:00
7215,51011000004,1419.63,13,2024,2024-03-25T15:24:47+00:00,2024-03-27T11:14:11+00:00
11598,51011000004,1419.63,14,2024,2024-04-03T10:45:56+00:00,2024-04-03T10:45:56+00:00
15771,51011000004,1618.78,15,2024,2024-04-10T12:45:44+00:00,2024-04-10T12:45:44+00:00
19980,51011000004,1618.78,16,2024,2024-04-17T11:29:05+00:00,2024-04-17T11:29:05+00:00
24154,51011000004,1405.40,17,2024,2024-04-24T19:29:32+00:00,2024-04-24T19:29:32+00:00
28329,51011000004,1405.40,18,2024,2024-05-01T10:43:21+00:00,2024-05-01T10:43:21+00:00
32478,51011000004,2211.45,19,2024,2024-05-08T18:04:44+00:00,2024-05-08T18:04:44+00:00
36618,51011000004,2211.45,20,2024,2024-05-15T18:21:25+00:00,2024-05-15T18:21:25+00:00
40782,51011000004,2389.59,21,2024,2024-05-22T14:13:19+00:00,2024-05-22T14:13:19+00:00
44938,51011000004,2389.59,22,2024,2024-05-30T22:17:35+00:00,2024-05-30T22:17:35+00:00
49128,51011000004,1667.13,23,2024,2024-06-06T20:47:49+00:00,2024-06-06T20:47:49+00:00
53296,51011000004,1667.13,24,2024,2024-06-14T11:00:33+00:00,2024-06-14T11:00:33+00:00
57438,51011000004,1161.59,25,2024,2024-06-19T19:44:04+00:00,2024-06-19T19:44:04+00:00
61595,51011000004,1161.59,26,2024,2024-06-26T13:26:18+00:00,2024-06-26T13:26:18+00:00
65760,51011000004,1232.96,27,2024,2024-07-05T19:31:39+00:00,2024-07-05T19:31:39+00:00
69938,51011000004,1232.96,28,2024,2024-07-11T08:57:20+00:00,2024-07-11T08:57:20+00:00
74177,51011000004,1425.88,29,2024,2024-07-21T13:29:38+00:00,2024-07-21T13:29:38+00:00
78443,51011000004,1425.88,30,2024,2024-07-26T16:29:57+00:00,2024-07-26T16:29:57+00:00
82651,51011000004,1272.75,32,2024,2024-08-07T20:20:09+00:00,2024-08-09T14:32:52+00:00
86960,51011000004,1280.24,35,2024,2024-08-30T14:17:03+00:00,2024-08-30T14:17:03+00:00
91299,51011000004,1286.17,37,2024,2024-09-11T14:23:53+00:00,2024-09-11T14:23:53+00:00
95618,51011000004,1286.17,38,2024,2024-09-18T15:01:59+00:00,2024-09-18T15:01:59+00:00
99931,51011000004,1313.47,39,2024,2024-09-25T12:13:21+00:00,2024-09-25T12:13:21+00:00
104183,51011000004,1343.20,41,2024,2024-10-11T17:09:09+00:00,2024-10-11T17:09:09+00:00
108440,51011000004,1461.34,44,2024,2024-11-03T16:46:49+00:00,2024-11-03T16:46:49+00:00
112680,51011000004,958.24,47,2024,2024-11-20T11:41:06+00:00,2024-11-20T11:41:06+00:00
116878,51011000004,1054.82,50,2024,2024-12-11T16:52:00+00:00,2024-12-11T16:52:00+00:00
121155,51011000004,899.48,51,2024,2024-12-18T12:35:48+00:00,2024-12-18T12:35:48+00:00
125358,51011000004,881.94,1,2025,2025-01-01T20:13:24+00:00,2025-01-01T20:13:24+00:00
129551,51011000004,861.92,3,2025,2025-01-15T21:08:24+00:00,2025-01-15T21:08:24+00:00
133826,51011000004,861.92,6,2025,2025-02-04T20:25:05+00:00,2025-02-04T20:25:05+00:00
138241,51011000004,808.67,10,2025,2025-03-03T17:25:50+00:00,2025-03-03T17:25:50+00:00
142778,51011000004,879.39,11,2025,2025-03-12T11:05:01+00:00,2025-03-12T11:05:01+00:00
147286,51011000004,919.78,13,2025,2025-03-26T16:30:13+00:00,2025-03-26T16:30:13+00:00
151807,51011000004,953.02,15,2025,2025-04-09T13:38:36+00:00,2025-04-09T13:38:36+00:00
156329,51011000004,863.76,17,2025,2025-04-23T12:08:05+00:00,2025-04-23T12:08:05+00:00
160787,51011000004,680.46,19,2025,2025-05-07T13:07:12+00:00,2025-05-07T13:07:12+00:00
165270,51011000004,622.42,21,2025,2025-05-21T19:50:54+00:00,2025-05-21T19:50:54+00:00
165271,51011000004,819.82,23,2025,2025-06-04T11:22:23+00:00,2025-06-04T11:22:23+00:00
165272,51011000004,800.75,25,2025,2025-06-18T11:57:34+00:00,2025-06-18T11:57:34+00:00
165273,51011000004,787.97,26,2025,2025-06-25T17:29:07+00:00,2025-06-25T17:29:07+00:00
165274,51011000004,858.62,28,2025,2025-07-09T13:09:49+00:00,2025-07-09T13:09:49+00:00
165275,51011000004,696.61,30,2025,2025-07-23T20:41:40+00:00,2025-07-23T20:41:40+00:00
165276,51011000004,696.61,32,2025,2025-08-06T13:30:49+00:00,2025-08-06T13:30:49+00:00
