id,item_id,price,week,year,date_created,date_updated
2197,51008000004,2163.69,11,2024,2024-03-17T14:19:23+00:00,2024-03-17T14:19:23+00:00
7206,51008000004,2464.34,13,2024,2024-03-25T15:24:46+00:00,2024-03-27T11:14:10+00:00
11589,51008000004,2464.34,14,2024,2024-04-03T10:45:56+00:00,2024-04-03T10:45:56+00:00
15762,51008000004,1993.41,15,2024,2024-04-10T12:45:43+00:00,2024-04-10T12:45:43+00:00
19971,51008000004,1993.41,16,2024,2024-04-17T11:29:04+00:00,2024-04-17T11:29:04+00:00
24145,51008000004,2786.43,17,2024,2024-04-24T19:29:31+00:00,2024-04-24T19:29:31+00:00
28320,51008000004,2786.43,18,2024,2024-05-01T10:43:21+00:00,2024-05-01T10:43:21+00:00
32469,51008000004,3418.89,19,2024,2024-05-08T18:04:44+00:00,2024-05-08T18:04:44+00:00
36609,51008000004,3418.89,20,2024,2024-05-15T18:21:24+00:00,2024-05-15T18:21:24+00:00
40773,51008000004,2627.74,21,2024,2024-05-22T14:13:18+00:00,2024-05-22T14:13:18+00:00
44929,51008000004,2627.74,22,2024,2024-05-30T22:17:34+00:00,2024-05-30T22:17:34+00:00
49119,51008000004,2555.31,23,2024,2024-06-06T20:47:48+00:00,2024-06-06T20:47:48+00:00
53287,51008000004,2555.31,24,2024,2024-06-14T11:00:33+00:00,2024-06-14T11:00:33+00:00
57429,51008000004,2221.76,25,2024,2024-06-19T19:44:04+00:00,2024-06-19T19:44:04+00:00
61586,51008000004,2221.76,26,2024,2024-06-26T13:26:17+00:00,2024-06-26T13:26:17+00:00
65751,51008000004,2394.75,27,2024,2024-07-05T19:31:38+00:00,2024-07-05T19:31:38+00:00
69929,51008000004,2394.75,28,2024,2024-07-11T08:57:19+00:00,2024-07-11T08:57:19+00:00
74168,51008000004,2384.06,29,2024,2024-07-21T13:29:37+00:00,2024-07-21T13:29:37+00:00
78434,51008000004,2384.06,30,2024,2024-07-26T16:29:57+00:00,2024-07-26T16:29:57+00:00
82643,51008000004,1910.94,32,2024,2024-08-07T20:20:09+00:00,2024-08-09T14:32:51+00:00
86951,51008000004,3210.20,35,2024,2024-08-30T14:17:02+00:00,2024-08-30T14:17:02+00:00
91290,51008000004,3117.63,37,2024,2024-09-11T14:23:52+00:00,2024-09-11T14:23:52+00:00
95609,51008000004,3117.63,38,2024,2024-09-18T15:01:59+00:00,2024-09-18T15:01:59+00:00
99922,51008000004,2651.04,39,2024,2024-09-25T12:13:20+00:00,2024-09-25T12:13:20+00:00
104174,51008000004,3035.04,41,2024,2024-10-11T17:09:08+00:00,2024-10-11T17:09:08+00:00
108431,51008000004,3119.07,44,2024,2024-11-03T16:46:48+00:00,2024-11-03T16:46:48+00:00
112671,51008000004,3084.03,47,2024,2024-11-20T11:41:05+00:00,2024-11-20T11:41:05+00:00
116870,51008000004,2626.24,50,2024,2024-12-11T16:51:59+00:00,2024-12-11T16:51:59+00:00
121146,51008000004,2403.90,51,2024,2024-12-18T12:35:48+00:00,2024-12-18T12:35:48+00:00
125349,51008000004,2558.25,1,2025,2025-01-01T20:13:23+00:00,2025-01-01T20:13:23+00:00
129542,51008000004,3036.78,3,2025,2025-01-15T21:08:24+00:00,2025-01-15T21:08:24+00:00
133817,51008000004,3036.78,6,2025,2025-02-04T20:25:04+00:00,2025-02-04T20:25:04+00:00
138232,51008000004,3094.35,10,2025,2025-03-03T17:25:49+00:00,2025-03-03T17:25:49+00:00
142769,51008000004,3431.18,11,2025,2025-03-12T11:05:00+00:00,2025-03-12T11:05:00+00:00
147277,51008000004,4039.71,13,2025,2025-03-26T16:30:12+00:00,2025-03-26T16:30:12+00:00
151799,51008000004,3912.18,15,2025,2025-04-09T13:38:36+00:00,2025-04-09T13:38:36+00:00
156321,51008000004,4115.04,17,2025,2025-04-23T12:08:04+00:00,2025-04-23T12:08:04+00:00
160778,51008000004,3167.43,19,2025,2025-05-07T13:07:11+00:00,2025-05-07T13:07:11+00:00
165262,51008000004,2946.18,21,2025,2025-05-21T19:50:53+00:00,2025-05-21T19:50:53+00:00
169753,51008000004,2818.87,23,2025,2025-06-04T11:22:23+00:00,2025-06-04T11:22:23+00:00
174237,51008000004,2742.82,25,2025,2025-06-18T11:57:33+00:00,2025-06-18T11:57:33+00:00
178784,51008000004,2838.41,26,2025,2025-06-25T17:29:06+00:00,2025-06-25T17:29:06+00:00
183221,51008000004,2690.52,28,2025,2025-07-09T13:09:48+00:00,2025-07-09T13:09:48+00:00
187672,51008000004,2908.77,30,2025,2025-07-23T20:41:39+00:00,2025-07-23T20:41:39+00:00
192076,51008000004,2908.77,32,2025,2025-08-06T13:30:48+00:00,2025-08-06T13:30:48+00:00
192077,51008000004,5009.18,36,2025,2025-09-02T09:20:08+00:00,2025-09-02T09:20:08+00:00
192078,51008000004,3745.70,37,2025,2025-09-10T21:59:38+00:00,2025-09-10T21:59:38+00:00
192079,51008000004,3427.12,39,2025,2025-09-24T16:19:20+00:00,2025-09-24T16:19:20+00:00
192080,51008000004,4658.99,43,2025,2025-10-22T17:35:39+00:00,2025-10-22T17:35:39+00:00
192081,51008000004,4219.97,51,2025,2025-12-20T14:25:32+00:00,2025-12-20T14:25:32+00:00
