id,item_id,price,week,year,date_created,date_updated
2548,14000010001,12000.00,11,2024,2024-03-17T14:19:38+00:00,2024-03-17T14:19:38+00:00
5866,14000010001,12000.00,13,2024,2024-03-25T15:23:48+00:00,2024-03-27T11:13:20+00:00
10332,14000010001,12000.00,14,2024,2024-04-03T10:45:02+00:00,2024-04-03T10:45:02+00:00
14470,14000010001,12000.00,15,2024,2024-04-10T12:44:45+00:00,2024-04-10T12:44:45+00:00
18679,14000010001,12000.00,16,2024,2024-04-17T11:28:06+00:00,2024-04-17T11:28:06+00:00
22868,14000010001,12000.00,17,2024,2024-04-24T19:28:35+00:00,2024-04-24T19:28:35+00:00
27043,14000010001,12000.00,18,2024,2024-05-01T10:42:28+00:00,2024-05-01T10:42:28+00:00
31216,14000010001,12000.00,19,2024,2024-05-08T18:03:50+00:00,2024-05-08T18:03:50+00:00
35356,14000010001,12000.00,20,2024,2024-05-15T18:20:31+00:00,2024-05-15T18:20:31+00:00
39502,14000010001,12000.00,21,2024,2024-05-22T14:12:23+00:00,2024-05-22T14:12:23+00:00
43658,14000010001,12000.00,22,2024,2024-05-30T22:16:35+00:00,2024-05-30T22:16:35+00:00
47821,14000010001,12000.00,23,2024,2024-06-06T20:46:49+00:00,2024-06-06T20:46:49+00:00
51989,14000010001,12000.00,24,2024,2024-06-14T10:59:30+00:00,2024-06-14T10:59:30+00:00
56157,14000010001,12000.00,25,2024,2024-06-19T19:43:07+00:00,2024-06-19T19:43:07+00:00
60314,14000010001,12000.00,26,2024,2024-06-26T13:25:13+00:00,2024-06-26T13:25:13+00:00
64493,14000010001,12000.00,27,2024,2024-07-05T19:30:38+00:00,2024-07-05T19:30:38+00:00
68671,14000010001,12000.00,28,2024,2024-07-11T08:56:20+00:00,2024-07-11T08:56:20+00:00
72863,14000010001,12000.00,29,2024,2024-07-21T13:28:33+00:00,2024-07-21T13:28:33+00:00
77129,14000010001,12000.00,30,2024,2024-07-26T16:28:51+00:00,2024-07-26T16:28:51+00:00
81375,14000010001,12000.00,32,2024,2024-08-07T20:19:05+00:00,2024-08-09T14:31:50+00:00
85674,14000010001,12000.00,35,2024,2024-08-30T14:16:00+00:00,2024-08-30T14:16:00+00:00
89964,14000010001,12000.00,37,2024,2024-09-11T14:22:46+00:00,2024-09-11T14:22:46+00:00
94283,14000010001,12000.00,38,2024,2024-09-18T15:00:50+00:00,2024-09-18T15:00:50+00:00
98632,14000010001,12000.00,39,2024,2024-09-25T12:12:11+00:00,2024-09-25T12:12:11+00:00
102894,14000010001,12000.00,41,2024,2024-10-11T17:06:47+00:00,2024-10-11T17:06:47+00:00
107138,14000010001,12000.00,44,2024,2024-11-03T16:45:22+00:00,2024-11-03T16:45:22+00:00
111422,14000010001,12000.00,47,2024,2024-11-20T11:39:34+00:00,2024-11-20T11:39:34+00:00
115627,14000010001,12000.00,50,2024,2024-12-11T16:50:17+00:00,2024-12-11T16:50:17+00:00
119861,14000010001,12000.00,51,2024,2024-12-18T12:34:00+00:00,2024-12-18T12:34:00+00:00
124081,14000010001,12000.00,1,2025,2025-01-01T20:11:48+00:00,2025-01-01T20:11:48+00:00
128260,14000010001,12000.00,3,2025,2025-01-15T21:06:47+00:00,2025-01-15T21:06:47+00:00
132535,14000010001,12000.00,6,2025,2025-02-04T20:22:51+00:00,2025-02-04T20:22:51+00:00
136845,14000010001,12000.00,10,2025,2025-03-03T17:24:08+00:00,2025-03-03T17:24:08+00:00
141386,14000010001,12000.00,11,2025,2025-03-12T11:03:14+00:00,2025-03-12T11:03:14+00:00
145927,14000010001,12000.00,13,2025,2025-03-26T16:28:28+00:00,2025-03-26T16:28:28+00:00
150407,14000010001,12000.00,15,2025,2025-04-09T13:36:09+00:00,2025-04-09T13:36:09+00:00
154956,14000010001,12000.00,17,2025,2025-04-23T12:06:22+00:00,2025-04-23T12:06:22+00:00
159426,14000010001,12000.00,19,2025,2025-05-07T13:05:31+00:00,2025-05-07T13:05:31+00:00
163894,14000010001,12000.00,21,2025,2025-05-21T19:49:08+00:00,2025-05-21T19:49:08+00:00
168430,14000010001,12000.00,23,2025,2025-06-04T11:20:34+00:00,2025-06-04T11:20:34+00:00
172833,14000010001,12000.00,25,2025,2025-06-18T11:55:50+00:00,2025-06-18T11:55:50+00:00
177406,14000010001,12000.00,26,2025,2025-06-25T17:27:20+00:00,2025-06-25T17:27:20+00:00
181858,14000010001,12000.00,28,2025,2025-07-09T13:06:09+00:00,2025-07-09T13:06:09+00:00
186300,14000010001,12000.00,30,2025,2025-07-23T20:39:57+00:00,2025-07-23T20:39:57+00:00
190704,14000010001,12000.00,32,2025,2025-08-06T13:29:03+00:00,2025-08-06T13:29:03+00:00
190705,14000010001,12000.00,36,2025,2025-09-02T09:18:24+00:00,2025-09-02T09:18:24+00:00
