id,item_id,price,week,year,date_created,date_updated
1998,14000230017,813395061.06,11,2024,2024-03-17T14:19:15+00:00,2024-03-17T14:19:15+00:00
5939,14000230017,794444444.22,13,2024,2024-03-25T15:23:51+00:00,2024-03-27T11:13:22+00:00
10402,14000230017,794444444.22,14,2024,2024-04-03T10:45:05+00:00,2024-04-03T10:45:05+00:00
14544,14000230017,756666666.03,15,2024,2024-04-10T12:44:47+00:00,2024-04-10T12:44:47+00:00
18753,14000230017,756666666.03,16,2024,2024-04-17T11:28:09+00:00,2024-04-17T11:28:09+00:00
22940,14000230017,713822222.00,17,2024,2024-04-24T19:28:37+00:00,2024-04-24T19:28:37+00:00
27115,14000230017,713822222.00,18,2024,2024-05-01T10:42:30+00:00,2024-05-01T10:42:30+00:00
31289,14000230017,780822856.86,19,2024,2024-05-08T18:03:52+00:00,2024-05-08T18:03:52+00:00
35429,14000230017,780822856.86,20,2024,2024-05-15T18:20:33+00:00,2024-05-15T18:20:33+00:00
39574,14000230017,955882351.94,21,2024,2024-05-22T14:12:26+00:00,2024-05-22T14:12:26+00:00
43730,14000230017,955882351.94,22,2024,2024-05-30T22:16:38+00:00,2024-05-30T22:16:38+00:00
47893,14000230017,914285713.77,23,2024,2024-06-06T20:46:51+00:00,2024-06-06T20:46:51+00:00
52061,14000230017,914285713.77,24,2024,2024-06-14T10:59:33+00:00,2024-06-14T10:59:33+00:00
56234,14000230017,771200000.00,25,2024,2024-06-19T19:43:09+00:00,2024-06-19T19:43:09+00:00
60391,14000230017,771200000.00,26,2024,2024-06-26T13:25:16+00:00,2024-06-26T13:25:16+00:00
64567,14000230017,701691176.47,27,2024,2024-07-05T19:30:41+00:00,2024-07-05T19:30:41+00:00
68745,14000230017,701691176.47,28,2024,2024-07-11T08:56:23+00:00,2024-07-11T08:56:23+00:00
72942,14000230017,671456481.48,29,2024,2024-07-21T13:28:37+00:00,2024-07-21T13:28:37+00:00
77208,14000230017,671456481.48,30,2024,2024-07-26T16:28:55+00:00,2024-07-26T16:28:55+00:00
81451,14000230017,554135576.92,32,2024,2024-08-07T20:19:08+00:00,2024-08-09T14:31:53+00:00
85749,14000230017,399937499.38,35,2024,2024-08-30T14:16:03+00:00,2024-08-30T14:16:03+00:00
90040,14000230017,682946428.57,37,2024,2024-09-11T14:22:49+00:00,2024-09-11T14:22:49+00:00
94359,14000230017,682946428.57,38,2024,2024-09-18T15:00:53+00:00,2024-09-18T15:00:53+00:00
98707,14000230017,728186440.68,39,2024,2024-09-25T12:12:14+00:00,2024-09-25T12:12:14+00:00
102970,14000230017,606285714.29,41,2024,2024-10-11T17:06:55+00:00,2024-10-11T17:06:55+00:00
107213,14000230017,576130434.39,44,2024,2024-11-03T16:45:26+00:00,2024-11-03T16:45:26+00:00
111499,14000230017,633333333.33,47,2024,2024-11-20T11:39:39+00:00,2024-11-20T11:39:39+00:00
115702,14000230017,621874999.75,50,2024,2024-12-11T16:50:22+00:00,2024-12-11T16:50:22+00:00
119935,14000230017,473028571.43,51,2024,2024-12-18T12:34:05+00:00,2024-12-18T12:34:05+00:00
124157,14000230017,482804347.54,1,2025,2025-01-01T20:11:53+00:00,2025-01-01T20:11:53+00:00
128335,14000230017,546979879.30,3,2025,2025-01-15T21:06:51+00:00,2025-01-15T21:06:51+00:00
132610,14000230017,546979879.30,6,2025,2025-02-04T20:22:58+00:00,2025-02-04T20:22:58+00:00
136922,14000230017,553513513.19,10,2025,2025-03-03T17:24:12+00:00,2025-03-03T17:24:12+00:00
141462,14000230017,522580644.77,11,2025,2025-03-12T11:03:19+00:00,2025-03-12T11:03:19+00:00
146001,14000230017,649999999.73,13,2025,2025-03-26T16:28:33+00:00,2025-03-26T16:28:33+00:00
150483,14000230017,604079500.04,15,2025,2025-04-09T13:36:16+00:00,2025-04-09T13:36:16+00:00
155031,14000230017,539997575.73,17,2025,2025-04-23T12:06:27+00:00,2025-04-23T12:06:27+00:00
159502,14000230017,460075757.23,19,2025,2025-05-07T13:05:37+00:00,2025-05-07T13:05:37+00:00
163972,14000230017,365854838.55,21,2025,2025-05-21T19:49:13+00:00,2025-05-21T19:49:13+00:00
168500,14000230017,255487178.96,23,2025,2025-06-04T11:20:40+00:00,2025-06-04T11:20:40+00:00
172912,14000230017,344918367.35,25,2025,2025-06-18T11:55:55+00:00,2025-06-18T11:55:55+00:00
177482,14000230017,334442856.76,26,2025,2025-06-25T17:27:25+00:00,2025-06-25T17:27:25+00:00
181937,14000230017,318815789.12,28,2025,2025-07-09T13:06:21+00:00,2025-07-09T13:06:21+00:00
186376,14000230017,395793650.62,30,2025,2025-07-23T20:40:02+00:00,2025-07-23T20:40:02+00:00
190780,14000230017,395793650.62,32,2025,2025-08-06T13:29:09+00:00,2025-08-06T13:29:09+00:00
190781,14000230017,372469386.98,36,2025,2025-09-02T09:18:31+00:00,2025-09-02T09:18:31+00:00
190782,14000230017,385031250.00,37,2025,2025-09-10T21:57:01+00:00,2025-09-10T21:57:01+00:00
190783,14000230017,398837209.30,39,2025,2025-09-24T16:17:38+00:00,2025-09-24T16:17:38+00:00
190784,14000230017,334146268.66,43,2025,2025-10-22T17:34:11+00:00,2025-10-22T17:34:11+00:00
