id,item_id,price,week,year,date_created,date_updated
1115,14000130017,299637930.67,11,2024,2024-03-17T14:18:48+00:00,2024-03-17T14:18:48+00:00
5917,14000130017,313963933.03,13,2024,2024-03-25T15:23:50+00:00,2024-03-27T11:13:22+00:00
10382,14000130017,313963933.03,14,2024,2024-04-03T10:45:04+00:00,2024-04-03T10:45:04+00:00
14523,14000130017,307894705.72,15,2024,2024-04-10T12:44:47+00:00,2024-04-10T12:44:47+00:00
18732,14000130017,307894705.72,16,2024,2024-04-17T11:28:08+00:00,2024-04-17T11:28:08+00:00
22920,14000130017,311438595.49,17,2024,2024-04-24T19:28:37+00:00,2024-04-24T19:28:37+00:00
27095,14000130017,311438595.49,18,2024,2024-05-01T10:42:30+00:00,2024-05-01T10:42:30+00:00
31269,14000130017,316352940.49,19,2024,2024-05-08T18:03:51+00:00,2024-05-08T18:03:51+00:00
35409,14000130017,316352940.49,20,2024,2024-05-15T18:20:33+00:00,2024-05-15T18:20:33+00:00
39553,14000130017,304906541.38,21,2024,2024-05-22T14:12:25+00:00,2024-05-22T14:12:25+00:00
43709,14000130017,304906541.38,22,2024,2024-05-30T22:16:37+00:00,2024-05-30T22:16:37+00:00
47873,14000130017,288370370.09,23,2024,2024-06-06T20:46:51+00:00,2024-06-06T20:46:51+00:00
52041,14000130017,288370370.09,24,2024,2024-06-14T10:59:32+00:00,2024-06-14T10:59:32+00:00
56210,14000130017,268081300.81,25,2024,2024-06-19T19:43:08+00:00,2024-06-19T19:43:08+00:00
60367,14000130017,268081300.81,26,2024,2024-06-26T13:25:15+00:00,2024-06-26T13:25:15+00:00
64546,14000130017,255534590.49,27,2024,2024-07-05T19:30:40+00:00,2024-07-05T19:30:40+00:00
68724,14000130017,255534590.49,28,2024,2024-07-11T08:56:22+00:00,2024-07-11T08:56:22+00:00
72918,14000130017,290975999.36,29,2024,2024-07-21T13:28:36+00:00,2024-07-21T13:28:36+00:00
77184,14000130017,290975999.36,30,2024,2024-07-26T16:28:54+00:00,2024-07-26T16:28:54+00:00
81429,14000130017,259047618.40,32,2024,2024-08-07T20:19:07+00:00,2024-08-09T14:31:52+00:00
85726,14000130017,270496226.04,35,2024,2024-08-30T14:16:02+00:00,2024-08-30T14:16:02+00:00
90019,14000130017,235765765.77,37,2024,2024-09-11T14:22:48+00:00,2024-09-11T14:22:48+00:00
94338,14000130017,235765765.77,38,2024,2024-09-18T15:00:52+00:00,2024-09-18T15:00:52+00:00
98686,14000130017,213711442.39,39,2024,2024-09-25T12:12:13+00:00,2024-09-25T12:12:13+00:00
102948,14000130017,226920634.70,41,2024,2024-10-11T17:06:52+00:00,2024-10-11T17:06:52+00:00
107191,14000130017,262277227.45,44,2024,2024-11-03T16:45:25+00:00,2024-11-03T16:45:25+00:00
111476,14000130017,267999999.74,47,2024,2024-11-20T11:39:37+00:00,2024-11-20T11:39:37+00:00
115680,14000130017,248215685.94,50,2024,2024-12-11T16:50:20+00:00,2024-12-11T16:50:20+00:00
119913,14000130017,266735293.06,51,2024,2024-12-18T12:34:03+00:00,2024-12-18T12:34:03+00:00
124135,14000130017,252473682.77,1,2025,2025-01-01T20:11:51+00:00,2025-01-01T20:11:51+00:00
128313,14000130017,242934579.12,3,2025,2025-01-15T21:06:50+00:00,2025-01-15T21:06:50+00:00
132588,14000130017,242934579.12,6,2025,2025-02-04T20:22:55+00:00,2025-02-04T20:22:55+00:00
136898,14000130017,214131782.64,10,2025,2025-03-03T17:24:11+00:00,2025-03-03T17:24:11+00:00
141439,14000130017,226876071.68,11,2025,2025-03-12T11:03:18+00:00,2025-03-12T11:03:18+00:00
145980,14000130017,215712812.79,13,2025,2025-03-26T16:28:31+00:00,2025-03-26T16:28:31+00:00
150461,14000130017,184560479.12,15,2025,2025-04-09T13:36:14+00:00,2025-04-09T13:36:14+00:00
155010,14000130017,186579162.92,17,2025,2025-04-23T12:06:26+00:00,2025-04-23T12:06:26+00:00
159480,14000130017,175029556.32,19,2025,2025-05-07T13:05:36+00:00,2025-05-07T13:05:36+00:00
163951,14000130017,154647058.46,21,2025,2025-05-21T19:49:12+00:00,2025-05-21T19:49:12+00:00
168482,14000130017,168540949.02,23,2025,2025-06-04T11:20:37+00:00,2025-06-04T11:20:37+00:00
172889,14000130017,178868115.62,25,2025,2025-06-18T11:55:54+00:00,2025-06-18T11:55:54+00:00
177458,14000130017,169406849.01,26,2025,2025-06-25T17:27:23+00:00,2025-06-25T17:27:23+00:00
181911,14000130017,152956989.25,28,2025,2025-07-09T13:06:18+00:00,2025-07-09T13:06:18+00:00
186353,14000130017,159814814.48,30,2025,2025-07-23T20:40:00+00:00,2025-07-23T20:40:00+00:00
190757,14000130017,159814814.48,32,2025,2025-08-06T13:29:07+00:00,2025-08-06T13:29:07+00:00
190758,14000130017,103210842.77,36,2025,2025-09-02T09:18:29+00:00,2025-09-02T09:18:29+00:00
190759,14000130017,124382716.05,37,2025,2025-09-10T21:56:58+00:00,2025-09-10T21:56:58+00:00
190760,14000130017,137941176.47,39,2025,2025-09-24T16:17:37+00:00,2025-09-24T16:17:37+00:00
