id,item_id,price,week,year,date_created,date_updated
3736,14505000017,870627118.64,11,2024,2024-03-17T14:20:46+00:00,2024-03-17T14:20:46+00:00
5982,14505000017,889285714.29,13,2024,2024-03-25T15:23:52+00:00,2024-03-27T11:13:24+00:00
10444,14505000017,889285714.29,14,2024,2024-04-03T10:45:06+00:00,2024-04-03T10:45:06+00:00
14587,14505000017,1013710525.95,15,2024,2024-04-10T12:44:49+00:00,2024-04-10T12:44:49+00:00
18796,14505000017,1013710525.95,16,2024,2024-04-17T11:28:10+00:00,2024-04-17T11:28:10+00:00
22981,14505000017,1286742856.46,17,2024,2024-04-24T19:28:39+00:00,2024-04-24T19:28:39+00:00
27156,14505000017,1286742856.46,18,2024,2024-05-01T10:42:32+00:00,2024-05-01T10:42:32+00:00
31333,14505000017,1455147058.82,19,2024,2024-05-08T18:03:54+00:00,2024-05-08T18:03:54+00:00
35473,14505000017,1455147058.82,20,2024,2024-05-15T18:20:35+00:00,2024-05-15T18:20:35+00:00
39618,14505000017,1057250552.67,21,2024,2024-05-22T14:12:28+00:00,2024-05-22T14:12:28+00:00
43774,14505000017,1057250552.67,22,2024,2024-05-30T22:16:40+00:00,2024-05-30T22:16:40+00:00
47937,14505000017,947925718.00,23,2024,2024-06-06T20:46:53+00:00,2024-06-06T20:46:53+00:00
52105,14505000017,947925718.00,24,2024,2024-06-14T10:59:35+00:00,2024-06-14T10:59:35+00:00
56277,14505000017,966774193.26,25,2024,2024-06-19T19:43:11+00:00,2024-06-19T19:43:11+00:00
60434,14505000017,966774193.26,26,2024,2024-06-26T13:25:18+00:00,2024-06-26T13:25:18+00:00
64609,14505000017,964054053.08,27,2024,2024-07-05T19:30:43+00:00,2024-07-05T19:30:43+00:00
68787,14505000017,964054053.08,28,2024,2024-07-11T08:56:24+00:00,2024-07-11T08:56:24+00:00
72982,14505000017,934511110.47,29,2024,2024-07-21T13:28:38+00:00,2024-07-21T13:28:38+00:00
77248,14505000017,934511110.47,30,2024,2024-07-26T16:28:56+00:00,2024-07-26T16:28:56+00:00
81495,14505000017,940749999.61,32,2024,2024-08-07T20:19:10+00:00,2024-08-09T14:31:54+00:00
85797,14505000017,1231428568.93,35,2024,2024-08-30T14:16:05+00:00,2024-08-30T14:16:05+00:00
90091,14505000017,1142607710.80,37,2024,2024-09-11T14:22:51+00:00,2024-09-11T14:22:51+00:00
94410,14505000017,1142607710.80,38,2024,2024-09-18T15:00:56+00:00,2024-09-18T15:00:56+00:00
98758,14505000017,1197043854.32,39,2024,2024-09-25T12:12:16+00:00,2024-09-25T12:12:16+00:00
103020,14505000017,1660000000.00,41,2024,2024-10-11T17:07:00+00:00,2024-10-11T17:07:00+00:00
107264,14505000017,1621250000.00,44,2024,2024-11-03T16:45:29+00:00,2024-11-03T16:45:29+00:00
111550,14505000017,1374000000.00,47,2024,2024-11-20T11:39:42+00:00,2024-11-20T11:39:42+00:00
115751,14505000017,1182777500.00,50,2024,2024-12-11T16:50:25+00:00,2024-12-11T16:50:25+00:00
119983,14505000017,966695651.91,51,2024,2024-12-18T12:34:08+00:00,2024-12-18T12:34:08+00:00
124208,14505000017,1099250000.00,1,2025,2025-01-01T20:11:56+00:00,2025-01-01T20:11:56+00:00
128385,14505000017,1035357142.86,3,2025,2025-01-15T21:06:54+00:00,2025-01-15T21:06:54+00:00
132660,14505000017,1035357142.86,6,2025,2025-02-04T20:23:03+00:00,2025-02-04T20:23:03+00:00
136977,14505000017,970851063.23,10,2025,2025-03-03T17:24:15+00:00,2025-03-03T17:24:15+00:00
141518,14505000017,881499999.00,11,2025,2025-03-12T11:03:23+00:00,2025-03-12T11:03:23+00:00
146053,14505000017,879999999.23,13,2025,2025-03-26T16:28:36+00:00,2025-03-26T16:28:36+00:00
150539,14505000017,1056559139.48,15,2025,2025-04-09T13:36:21+00:00,2025-04-09T13:36:21+00:00
155084,14505000017,1222222221.93,17,2025,2025-04-23T12:06:30+00:00,2025-04-23T12:06:30+00:00
159556,14505000017,1321321428.29,19,2025,2025-05-07T13:05:40+00:00,2025-05-07T13:05:40+00:00
164023,14505000017,1147740699.19,21,2025,2025-05-21T19:49:17+00:00,2025-05-21T19:49:17+00:00
168556,14505000017,1334103409.59,23,2025,2025-06-04T11:20:45+00:00,2025-06-04T11:20:45+00:00
172966,14505000017,1529166666.67,25,2025,2025-06-18T11:55:59+00:00,2025-06-18T11:55:59+00:00
177539,14505000017,1473148146.25,26,2025,2025-06-25T17:27:29+00:00,2025-06-25T17:27:29+00:00
181994,14505000017,1572826508.95,28,2025,2025-07-09T13:06:31+00:00,2025-07-09T13:06:31+00:00
186428,14505000017,1329264705.88,30,2025,2025-07-23T20:40:06+00:00,2025-07-23T20:40:06+00:00
190832,14505000017,1329264705.88,32,2025,2025-08-06T13:29:12+00:00,2025-08-06T13:29:12+00:00
