id,item_id,price,week,year,date_created,date_updated
2653,64000300017,99039999.84,11,2024,2024-03-17T14:19:43+00:00,2024-03-17T14:19:43+00:00
7917,64000300017,103333333.07,13,2024,2024-03-25T15:25:28+00:00,2024-03-27T11:14:47+00:00
12289,64000300017,103333333.07,14,2024,2024-04-03T10:46:38+00:00,2024-04-03T10:46:38+00:00
16501,64000300017,69247320.24,15,2024,2024-04-10T12:46:30+00:00,2024-04-10T12:46:30+00:00
20710,64000300017,69247320.24,16,2024,2024-04-17T11:29:52+00:00,2024-04-17T11:29:52+00:00
24882,64000300017,72894736.84,17,2024,2024-04-24T19:30:16+00:00,2024-04-24T19:30:16+00:00
29057,64000300017,72894736.84,18,2024,2024-05-01T10:44:06+00:00,2024-05-01T10:44:06+00:00
33195,64000300017,126190476.00,19,2024,2024-05-08T18:05:26+00:00,2024-05-08T18:05:26+00:00
37335,64000300017,126190476.00,20,2024,2024-05-15T18:22:06+00:00,2024-05-15T18:22:06+00:00
41511,64000300017,99473684.21,21,2024,2024-05-22T14:14:02+00:00,2024-05-22T14:14:02+00:00
45667,64000300017,99473684.21,22,2024,2024-05-30T22:18:20+00:00,2024-05-30T22:18:20+00:00
49843,64000300017,109090908.45,23,2024,2024-06-06T20:48:34+00:00,2024-06-06T20:48:34+00:00
54011,64000300017,109090908.45,24,2024,2024-06-14T11:01:24+00:00,2024-06-14T11:01:24+00:00
58173,64000300017,124703703.19,25,2024,2024-06-19T19:44:49+00:00,2024-06-19T19:44:49+00:00
62330,64000300017,124703703.19,26,2024,2024-06-26T13:27:06+00:00,2024-06-26T13:27:06+00:00
66501,64000300017,112514619.79,27,2024,2024-07-05T19:32:27+00:00,2024-07-05T19:32:27+00:00
70679,64000300017,112514619.79,28,2024,2024-07-11T08:58:07+00:00,2024-07-11T08:58:07+00:00
74914,64000300017,92938887.90,29,2024,2024-07-21T13:30:27+00:00,2024-07-21T13:30:27+00:00
79180,64000300017,92938887.90,30,2024,2024-07-26T16:30:47+00:00,2024-07-26T16:30:47+00:00
83393,64000300017,92812499.66,32,2024,2024-08-07T20:20:58+00:00,2024-08-09T14:33:41+00:00
87707,64000300017,27889000.00,35,2024,2024-08-30T14:17:52+00:00,2024-08-30T14:17:52+00:00
92043,64000300017,26777778.89,37,2024,2024-09-11T14:24:42+00:00,2024-09-11T14:24:42+00:00
96362,64000300017,26777778.89,38,2024,2024-09-18T15:02:49+00:00,2024-09-18T15:02:49+00:00
100664,64000300017,26411764.35,39,2024,2024-09-25T12:14:12+00:00,2024-09-25T12:14:12+00:00
104915,64000300017,22727272.45,41,2024,2024-10-11T17:10:38+00:00,2024-10-11T17:10:38+00:00
109195,64000300017,66333333.33,44,2024,2024-11-03T16:47:56+00:00,2024-11-03T16:47:56+00:00
113418,64000300017,13444444.44,47,2024,2024-11-20T11:42:15+00:00,2024-11-20T11:42:15+00:00
117615,64000300017,35205169.23,50,2024,2024-12-11T16:53:07+00:00,2024-12-11T16:53:07+00:00
121881,64000300017,33812485.29,51,2024,2024-12-18T12:36:56+00:00,2024-12-18T12:36:56+00:00
130296,64000300017,28666665.67,3,2025,2025-01-15T21:09:41+00:00,2025-01-15T21:09:41+00:00
134571,64000300017,28666665.67,6,2025,2025-02-04T20:27:34+00:00,2025-02-04T20:27:34+00:00
139029,64000300017,33749999.62,10,2025,2025-03-03T17:27:04+00:00,2025-03-03T17:27:04+00:00
143552,64000300017,36250014.17,11,2025,2025-03-12T11:06:18+00:00,2025-03-12T11:06:18+00:00
148042,64000300017,10218924.84,13,2025,2025-03-26T16:31:23+00:00,2025-03-26T16:31:23+00:00
152571,64000300017,4425160.00,15,2025,2025-04-09T13:40:11+00:00,2025-04-09T13:40:11+00:00
157069,64000300017,3090508.33,17,2025,2025-04-23T12:09:11+00:00,2025-04-23T12:09:11+00:00
161541,64000300017,2253029.22,19,2025,2025-05-07T13:08:19+00:00,2025-05-07T13:08:19+00:00
166054,64000300017,2176470.43,21,2025,2025-05-21T19:52:07+00:00,2025-05-21T19:52:07+00:00
166055,64000300017,1894436.98,23,2025,2025-06-04T11:23:31+00:00,2025-06-04T11:23:31+00:00
166056,64000300017,1542798.88,25,2025,2025-06-18T11:58:42+00:00,2025-06-18T11:58:42+00:00
166057,64000300017,1534578.44,26,2025,2025-06-25T17:30:09+00:00,2025-06-25T17:30:09+00:00
166058,64000300017,1751948.08,28,2025,2025-07-09T13:12:05+00:00,2025-07-09T13:12:05+00:00
