id,item_id,price,week,year,date_created,date_updated
2980,64000000010,3.09,11,2024,2024-03-17T14:20:00+00:00,2024-03-17T14:20:00+00:00
7847,64000000010,11.10,13,2024,2024-03-25T15:25:24+00:00,2024-03-27T11:14:43+00:00
12220,64000000010,11.10,14,2024,2024-04-03T10:46:33+00:00,2024-04-03T10:46:33+00:00
16430,64000000010,13.62,15,2024,2024-04-10T12:46:25+00:00,2024-04-10T12:46:25+00:00
20639,64000000010,13.62,16,2024,2024-04-17T11:29:47+00:00,2024-04-17T11:29:47+00:00
24816,64000000010,7.26,17,2024,2024-04-24T19:30:12+00:00,2024-04-24T19:30:12+00:00
28991,64000000010,7.26,18,2024,2024-05-01T10:44:01+00:00,2024-05-01T10:44:01+00:00
33121,64000000010,2.62,19,2024,2024-05-08T18:05:21+00:00,2024-05-08T18:05:21+00:00
37261,64000000010,2.62,20,2024,2024-05-15T18:22:02+00:00,2024-05-15T18:22:02+00:00
41435,64000000010,15942.74,21,2024,2024-05-22T14:13:57+00:00,2024-05-22T14:13:57+00:00
45591,64000000010,15942.74,22,2024,2024-05-30T22:18:15+00:00,2024-05-30T22:18:15+00:00
49767,64000000010,15353.39,23,2024,2024-06-06T20:48:28+00:00,2024-06-06T20:48:28+00:00
53935,64000000010,15353.39,24,2024,2024-06-14T11:01:18+00:00,2024-06-14T11:01:18+00:00
58096,64000000010,2.04,25,2024,2024-06-19T19:44:43+00:00,2024-06-19T19:44:43+00:00
62253,64000000010,2.04,26,2024,2024-06-26T13:27:01+00:00,2024-06-26T13:27:01+00:00
66427,64000000010,18123.87,27,2024,2024-07-05T19:32:22+00:00,2024-07-05T19:32:22+00:00
70605,64000000010,18123.87,28,2024,2024-07-11T08:58:02+00:00,2024-07-11T08:58:02+00:00
74838,64000000010,101287.58,29,2024,2024-07-21T13:30:21+00:00,2024-07-21T13:30:21+00:00
79104,64000000010,101287.58,30,2024,2024-07-26T16:30:42+00:00,2024-07-26T16:30:42+00:00
83317,64000000010,12898.95,32,2024,2024-08-07T20:20:53+00:00,2024-08-09T14:33:35+00:00
87633,64000000010,4.46,35,2024,2024-08-30T14:17:47+00:00,2024-08-30T14:17:47+00:00
91969,64000000010,3.31,37,2024,2024-09-11T14:24:36+00:00,2024-09-11T14:24:36+00:00
96288,64000000010,3.31,38,2024,2024-09-18T15:02:44+00:00,2024-09-18T15:02:44+00:00
100596,64000000010,38125.08,39,2024,2024-09-25T12:14:07+00:00,2024-09-25T12:14:07+00:00
104844,64000000010,15497.43,41,2024,2024-10-11T17:10:30+00:00,2024-10-11T17:10:30+00:00
109122,64000000010,5527.24,44,2024,2024-11-03T16:47:49+00:00,2024-11-03T16:47:49+00:00
113345,64000000010,102327.95,47,2024,2024-11-20T11:42:07+00:00,2024-11-20T11:42:07+00:00
121809,64000000010,22472.12,51,2024,2024-12-18T12:36:48+00:00,2024-12-18T12:36:48+00:00
125973,64000000010,26408.30,1,2025,2025-01-01T20:14:19+00:00,2025-01-01T20:14:19+00:00
130220,64000000010,23268.68,3,2025,2025-01-15T21:09:33+00:00,2025-01-15T21:09:33+00:00
134495,64000000010,23268.68,6,2025,2025-02-04T20:27:16+00:00,2025-02-04T20:27:16+00:00
138955,64000000010,18725.26,10,2025,2025-03-03T17:26:56+00:00,2025-03-03T17:26:56+00:00
143479,64000000010,114.06,11,2025,2025-03-12T11:06:10+00:00,2025-03-12T11:06:10+00:00
147964,64000000010,115.70,13,2025,2025-03-26T16:31:15+00:00,2025-03-26T16:31:15+00:00
152496,64000000010,839.61,15,2025,2025-04-09T13:40:00+00:00,2025-04-09T13:40:00+00:00
156996,64000000010,76455.87,17,2025,2025-04-23T12:09:05+00:00,2025-04-23T12:09:05+00:00
161468,64000000010,37088.56,19,2025,2025-05-07T13:08:12+00:00,2025-05-07T13:08:12+00:00
165983,64000000010,21790.61,21,2025,2025-05-21T19:52:00+00:00,2025-05-21T19:52:00+00:00
165984,64000000010,1.20,23,2025,2025-06-04T11:23:25+00:00,2025-06-04T11:23:25+00:00
165985,64000000010,19.82,25,2025,2025-06-18T11:58:34+00:00,2025-06-18T11:58:34+00:00
165986,64000000010,194.94,26,2025,2025-06-25T17:30:02+00:00,2025-06-25T17:30:02+00:00
