id,item_id,price,week,year,date_created,date_updated
988,64000010010,77757.05,11,2024,2024-03-17T14:18:45+00:00,2024-03-17T14:18:45+00:00
7854,64000010010,1.82,13,2024,2024-03-25T15:25:24+00:00,2024-03-27T11:14:44+00:00
12227,64000010010,1.82,14,2024,2024-04-03T10:46:34+00:00,2024-04-03T10:46:34+00:00
16437,64000010010,352.50,15,2024,2024-04-10T12:46:26+00:00,2024-04-10T12:46:26+00:00
20646,64000010010,352.50,16,2024,2024-04-17T11:29:47+00:00,2024-04-17T11:29:47+00:00
24823,64000010010,431.89,17,2024,2024-04-24T19:30:13+00:00,2024-04-24T19:30:13+00:00
28998,64000010010,431.89,18,2024,2024-05-01T10:44:02+00:00,2024-05-01T10:44:02+00:00
33128,64000010010,5.04,19,2024,2024-05-08T18:05:22+00:00,2024-05-08T18:05:22+00:00
37268,64000010010,5.04,20,2024,2024-05-15T18:22:02+00:00,2024-05-15T18:22:02+00:00
41443,64000010010,1.85,21,2024,2024-05-22T14:13:58+00:00,2024-05-22T14:13:58+00:00
45599,64000010010,1.85,22,2024,2024-05-30T22:18:15+00:00,2024-05-30T22:18:15+00:00
49774,64000010010,1.80,23,2024,2024-06-06T20:48:29+00:00,2024-06-06T20:48:29+00:00
53942,64000010010,1.80,24,2024,2024-06-14T11:01:19+00:00,2024-06-14T11:01:19+00:00
58103,64000010010,29070.50,25,2024,2024-06-19T19:44:44+00:00,2024-06-19T19:44:44+00:00
62260,64000010010,29070.50,26,2024,2024-06-26T13:27:02+00:00,2024-06-26T13:27:02+00:00
66434,64000010010,21181.63,27,2024,2024-07-05T19:32:22+00:00,2024-07-05T19:32:22+00:00
70612,64000010010,21181.63,28,2024,2024-07-11T08:58:02+00:00,2024-07-11T08:58:02+00:00
74846,64000010010,5000.00,29,2024,2024-07-21T13:30:22+00:00,2024-07-21T13:30:22+00:00
79112,64000010010,5000.00,30,2024,2024-07-26T16:30:43+00:00,2024-07-26T16:30:43+00:00
83325,64000010010,5001.77,32,2024,2024-08-07T20:20:53+00:00,2024-08-09T14:33:36+00:00
87640,64000010010,65.79,35,2024,2024-08-30T14:17:48+00:00,2024-08-30T14:17:48+00:00
91976,64000010010,106.07,37,2024,2024-09-11T14:24:37+00:00,2024-09-11T14:24:37+00:00
96295,64000010010,106.07,38,2024,2024-09-18T15:02:45+00:00,2024-09-18T15:02:45+00:00
100602,64000010010,9196.22,39,2024,2024-09-25T12:14:08+00:00,2024-09-25T12:14:08+00:00
104851,64000010010,28353.93,41,2024,2024-10-11T17:10:31+00:00,2024-10-11T17:10:31+00:00
109129,64000010010,11279.20,44,2024,2024-11-03T16:47:50+00:00,2024-11-03T16:47:50+00:00
113352,64000010010,101144.96,47,2024,2024-11-20T11:42:07+00:00,2024-11-20T11:42:07+00:00
117549,64000010010,47322.88,50,2024,2024-12-11T16:53:01+00:00,2024-12-11T16:53:01+00:00
121816,64000010010,91614.26,51,2024,2024-12-18T12:36:49+00:00,2024-12-18T12:36:49+00:00
125980,64000010010,101496.40,1,2025,2025-01-01T20:14:19+00:00,2025-01-01T20:14:19+00:00
130228,64000010010,101574.42,3,2025,2025-01-15T21:09:33+00:00,2025-01-15T21:09:33+00:00
134503,64000010010,101574.42,6,2025,2025-02-04T20:27:18+00:00,2025-02-04T20:27:18+00:00
138962,64000010010,106.47,10,2025,2025-03-03T17:26:57+00:00,2025-03-03T17:26:57+00:00
143486,64000010010,116.73,11,2025,2025-03-12T11:06:11+00:00,2025-03-12T11:06:11+00:00
147971,64000010010,114.15,13,2025,2025-03-26T16:31:15+00:00,2025-03-26T16:31:15+00:00
152503,64000010010,539.57,15,2025,2025-04-09T13:40:02+00:00,2025-04-09T13:40:02+00:00
157004,64000010010,654.63,17,2025,2025-04-23T12:09:05+00:00,2025-04-23T12:09:05+00:00
161476,64000010010,6.44,19,2025,2025-05-07T13:08:13+00:00,2025-05-07T13:08:13+00:00
165990,64000010010,1.92,21,2025,2025-05-21T19:52:00+00:00,2025-05-21T19:52:00+00:00
