id,item_id,price,week,year,date_created,date_updated
3577,64000130010,1238619.68,11,2024,2024-03-17T14:20:35+00:00,2024-03-17T14:20:35+00:00
7892,64000130010,1283380.11,13,2024,2024-03-25T15:25:27+00:00,2024-03-27T11:14:46+00:00
12264,64000130010,1283380.11,14,2024,2024-04-03T10:46:36+00:00,2024-04-03T10:46:36+00:00
16474,64000130010,1707161.46,15,2024,2024-04-10T12:46:28+00:00,2024-04-10T12:46:28+00:00
20683,64000130010,1707161.46,16,2024,2024-04-17T11:29:50+00:00,2024-04-17T11:29:50+00:00
24856,64000130010,1784090.91,17,2024,2024-04-24T19:30:15+00:00,2024-04-24T19:30:15+00:00
29031,64000130010,1784090.91,18,2024,2024-05-01T10:44:04+00:00,2024-05-01T10:44:04+00:00
33167,64000130010,721248.51,19,2024,2024-05-08T18:05:24+00:00,2024-05-08T18:05:24+00:00
37307,64000130010,721248.51,20,2024,2024-05-15T18:22:04+00:00,2024-05-15T18:22:04+00:00
41483,64000130010,844890.77,21,2024,2024-05-22T14:14:01+00:00,2024-05-22T14:14:01+00:00
45639,64000130010,844890.77,22,2024,2024-05-30T22:18:18+00:00,2024-05-30T22:18:18+00:00
49816,64000130010,1021004.57,23,2024,2024-06-06T20:48:32+00:00,2024-06-06T20:48:32+00:00
53984,64000130010,1021004.57,24,2024,2024-06-14T11:01:22+00:00,2024-06-14T11:01:22+00:00
58147,64000130010,1259188.03,25,2024,2024-06-19T19:44:47+00:00,2024-06-19T19:44:47+00:00
62304,64000130010,1259188.03,26,2024,2024-06-26T13:27:05+00:00,2024-06-26T13:27:05+00:00
66472,64000130010,1391084.34,27,2024,2024-07-05T19:32:25+00:00,2024-07-05T19:32:25+00:00
70650,64000130010,1391084.34,28,2024,2024-07-11T08:58:05+00:00,2024-07-11T08:58:05+00:00
74887,64000130010,1829057.38,29,2024,2024-07-21T13:30:25+00:00,2024-07-21T13:30:25+00:00
79153,64000130010,1829057.38,30,2024,2024-07-26T16:30:46+00:00,2024-07-26T16:30:46+00:00
83366,64000130010,1824285.71,32,2024,2024-08-07T20:20:56+00:00,2024-08-09T14:33:39+00:00
87682,64000130010,1904477.61,35,2024,2024-08-30T14:17:51+00:00,2024-08-30T14:17:51+00:00
92016,64000130010,1878006.87,37,2024,2024-09-11T14:24:40+00:00,2024-09-11T14:24:40+00:00
96335,64000130010,1878006.87,38,2024,2024-09-18T15:02:48+00:00,2024-09-18T15:02:48+00:00
100640,64000130010,1776243.09,39,2024,2024-09-25T12:14:10+00:00,2024-09-25T12:14:10+00:00
104888,64000130010,493212.01,41,2024,2024-10-11T17:10:35+00:00,2024-10-11T17:10:35+00:00
109169,64000130010,129895.07,44,2024,2024-11-03T16:47:53+00:00,2024-11-03T16:47:53+00:00
113390,64000130010,136799.09,47,2024,2024-11-20T11:42:11+00:00,2024-11-20T11:42:11+00:00
117589,64000130010,1120673.06,50,2024,2024-12-11T16:53:05+00:00,2024-12-11T16:53:05+00:00
121854,64000130010,1695589.45,51,2024,2024-12-18T12:36:53+00:00,2024-12-18T12:36:53+00:00
126016,64000130010,1915808.94,1,2025,2025-01-01T20:14:23+00:00,2025-01-01T20:14:23+00:00
130266,64000130010,2329673.59,3,2025,2025-01-15T21:09:37+00:00,2025-01-15T21:09:37+00:00
134541,64000130010,2329673.59,6,2025,2025-02-04T20:27:27+00:00,2025-02-04T20:27:27+00:00
139002,64000130010,91016.71,10,2025,2025-03-03T17:27:01+00:00,2025-03-03T17:27:01+00:00
143524,64000130010,59.59,11,2025,2025-03-12T11:06:15+00:00,2025-03-12T11:06:15+00:00
148013,64000130010,167882.10,13,2025,2025-03-26T16:31:19+00:00,2025-03-26T16:31:19+00:00
152542,64000130010,211756.04,15,2025,2025-04-09T13:40:08+00:00,2025-04-09T13:40:08+00:00
157042,64000130010,318067.94,17,2025,2025-04-23T12:09:09+00:00,2025-04-23T12:09:09+00:00
161514,64000130010,696934.87,19,2025,2025-05-07T13:08:16+00:00,2025-05-07T13:08:16+00:00
166028,64000130010,1150000.00,21,2025,2025-05-21T19:52:04+00:00,2025-05-21T19:52:04+00:00
166029,64000130010,578915.29,23,2025,2025-06-04T11:23:29+00:00,2025-06-04T11:23:29+00:00
166030,64000130010,726542.73,25,2025,2025-06-18T11:58:39+00:00,2025-06-18T11:58:39+00:00
166031,64000130010,730555.70,26,2025,2025-06-25T17:30:07+00:00,2025-06-25T17:30:07+00:00
166032,64000130010,240230.18,28,2025,2025-07-09T13:12:00+00:00,2025-07-09T13:12:00+00:00
166033,64000130010,261778.44,30,2025,2025-07-23T20:42:42+00:00,2025-07-23T20:42:42+00:00
