id,item_id,price,week,year,date_created,date_updated
139166,64710010510,30255571.43,10,2025,2025-03-03T17:27:17+00:00,2025-03-03T17:27:17+00:00
143688,64710010510,4197249.75,11,2025,2025-03-12T11:06:33+00:00,2025-03-12T11:06:33+00:00
148174,64710010510,27109999.00,13,2025,2025-03-26T16:31:36+00:00,2025-03-26T16:31:36+00:00
152706,64710010510,35171427.71,15,2025,2025-04-09T13:40:25+00:00,2025-04-09T13:40:25+00:00
161674,64710010510,35000000.00,19,2025,2025-05-07T13:08:31+00:00,2025-05-07T13:08:31+00:00
175113,64710010510,110000000.00,25,2025,2025-06-18T11:58:54+00:00,2025-06-18T11:58:54+00:00
184077,64710010510,2173333.33,28,2025,2025-07-09T13:12:30+00:00,2025-07-09T13:12:30+00:00
188514,64710010510,4393097.19,30,2025,2025-07-23T20:43:01+00:00,2025-07-23T20:43:01+00:00
192918,64710010510,4393097.19,32,2025,2025-08-06T13:32:07+00:00,2025-08-06T13:32:07+00:00
192919,64710010510,32161388.34,36,2025,2025-09-02T09:21:27+00:00,2025-09-02T09:21:27+00:00
192920,64710010510,25020000.00,37,2025,2025-09-10T22:01:27+00:00,2025-09-10T22:01:27+00:00
192921,64710010510,25857142.86,39,2025,2025-09-24T16:20:35+00:00,2025-09-24T16:20:35+00:00
