id,item_id,price,week,year,date_created,date_updated
2559,64710030110,48000000.00,11,2024,2024-03-17T14:19:38+00:00,2024-03-17T14:19:38+00:00
8023,64710030110,48000000.00,13,2024,2024-03-25T15:25:35+00:00,2024-03-27T11:14:54+00:00
12391,64710030110,48000000.00,14,2024,2024-04-03T10:46:45+00:00,2024-04-03T10:46:45+00:00
16614,64710030110,48000000.00,15,2024,2024-04-10T12:46:38+00:00,2024-04-10T12:46:38+00:00
20823,64710030110,48000000.00,16,2024,2024-04-17T11:30:00+00:00,2024-04-17T11:30:00+00:00
33301,64710030110,36000000.00,19,2024,2024-05-08T18:05:32+00:00,2024-05-08T18:05:32+00:00
37441,64710030110,36000000.00,20,2024,2024-05-15T18:22:14+00:00,2024-05-15T18:22:14+00:00
41624,64710030110,48000000.00,21,2024,2024-05-22T14:14:10+00:00,2024-05-22T14:14:10+00:00
45780,64710030110,48000000.00,22,2024,2024-05-30T22:18:27+00:00,2024-05-30T22:18:27+00:00
49949,64710030110,48000000.00,23,2024,2024-06-06T20:48:41+00:00,2024-06-06T20:48:41+00:00
54117,64710030110,48000000.00,24,2024,2024-06-14T11:01:32+00:00,2024-06-14T11:01:32+00:00
58279,64710030110,48000000.00,25,2024,2024-06-19T19:44:55+00:00,2024-06-19T19:44:55+00:00
62436,64710030110,48000000.00,26,2024,2024-06-26T13:27:14+00:00,2024-06-26T13:27:14+00:00
75021,64710030110,48000000.00,29,2024,2024-07-21T13:30:34+00:00,2024-07-21T13:30:34+00:00
79287,64710030110,48000000.00,30,2024,2024-07-26T16:30:55+00:00,2024-07-26T16:30:55+00:00
79288,64710030110,48000000.00,25,2025,2025-06-18T11:58:55+00:00,2025-06-18T11:58:55+00:00
