id,item_id,price,week,year,date_created,date_updated
24960,64600200021,1999999999.00,17,2024,2024-04-24T19:30:22+00:00,2024-04-24T19:30:22+00:00
29135,64600200021,1999999999.00,18,2024,2024-05-01T10:44:11+00:00,2024-05-01T10:44:11+00:00
33268,64600200021,1999999999.33,19,2024,2024-05-08T18:05:30+00:00,2024-05-08T18:05:30+00:00
37408,64600200021,1999999999.33,20,2024,2024-05-15T18:22:11+00:00,2024-05-15T18:22:11+00:00
74990,64600200021,2350000000.00,29,2024,2024-07-21T13:30:32+00:00,2024-07-21T13:30:32+00:00
79256,64600200021,2350000000.00,30,2024,2024-07-26T16:30:53+00:00,2024-07-26T16:30:53+00:00
83477,64600200021,1748436214.00,32,2024,2024-08-07T20:21:04+00:00,2024-08-09T14:33:47+00:00
87790,64600200021,1000000000.00,35,2024,2024-08-30T14:17:59+00:00,2024-08-30T14:17:59+00:00
126131,64600200021,550000000.00,1,2025,2025-01-01T20:14:34+00:00,2025-01-01T20:14:34+00:00
166159,64600200021,1000000000.00,21,2025,2025-05-21T19:52:17+00:00,2025-05-21T19:52:17+00:00
166160,64600200021,961081081.08,23,2025,2025-06-04T11:23:41+00:00,2025-06-04T11:23:41+00:00
166161,64600200021,998900000.00,26,2025,2025-06-25T17:30:19+00:00,2025-06-25T17:30:19+00:00
