id,item_id,price,week,year,date_created,date_updated
2560,64600230021,1044444444.44,11,2024,2024-03-17T14:19:38+00:00,2024-03-17T14:19:38+00:00
8004,64600230021,992105263.16,13,2024,2024-03-25T15:25:34+00:00,2024-03-25T15:25:34+00:00
24969,64600230021,2000000000.00,17,2024,2024-04-24T19:30:22+00:00,2024-04-24T19:30:22+00:00
29144,64600230021,2000000000.00,18,2024,2024-05-01T10:44:12+00:00,2024-05-01T10:44:12+00:00
33282,64600230021,1133333332.67,19,2024,2024-05-08T18:05:31+00:00,2024-05-08T18:05:31+00:00
37422,64600230021,1133333332.67,20,2024,2024-05-15T18:22:12+00:00,2024-05-15T18:22:12+00:00
41598,64600230021,592857142.29,21,2024,2024-05-22T14:14:08+00:00,2024-05-22T14:14:08+00:00
45754,64600230021,592857142.29,22,2024,2024-05-30T22:18:26+00:00,2024-05-30T22:18:26+00:00
49925,64600230021,1483333333.33,23,2024,2024-06-06T20:48:39+00:00,2024-06-06T20:48:39+00:00
54093,64600230021,1483333333.33,24,2024,2024-06-14T11:01:30+00:00,2024-06-14T11:01:30+00:00
87798,64600230021,450000000.00,35,2024,2024-08-30T14:17:59+00:00,2024-08-30T14:17:59+00:00
166168,64600230021,888888888.00,21,2025,2025-05-21T19:52:18+00:00,2025-05-21T19:52:18+00:00
166169,64600230021,6995200.00,26,2025,2025-06-25T17:30:20+00:00,2025-06-25T17:30:20+00:00
166170,64600230021,6997600.00,28,2025,2025-07-09T13:12:26+00:00,2025-07-09T13:12:26+00:00
