id,item_id,price,week,year,date_created,date_updated
8467,14000300021,6999999999.00,13,2024,2024-03-27T11:13:23+00:00,2024-03-27T11:13:23+00:00
10408,14000300021,6999999999.00,14,2024,2024-04-03T10:45:05+00:00,2024-04-03T10:45:05+00:00
22946,14000300021,7566666666.00,17,2024,2024-04-24T19:28:38+00:00,2024-04-24T19:28:38+00:00
27121,14000300021,7566666666.00,18,2024,2024-05-01T10:42:31+00:00,2024-05-01T10:42:31+00:00
31295,14000300021,6749999999.50,19,2024,2024-05-08T18:03:52+00:00,2024-05-08T18:03:52+00:00
35435,14000300021,6749999999.50,20,2024,2024-05-15T18:20:34+00:00,2024-05-15T18:20:34+00:00
47899,14000300021,6500000000.00,23,2024,2024-06-06T20:46:52+00:00,2024-06-06T20:46:52+00:00
52067,14000300021,6500000000.00,24,2024,2024-06-14T10:59:33+00:00,2024-06-14T10:59:33+00:00
56241,14000300021,5591666666.67,25,2024,2024-06-19T19:43:10+00:00,2024-06-19T19:43:10+00:00
60398,14000300021,5591666666.67,26,2024,2024-06-26T13:25:17+00:00,2024-06-26T13:25:17+00:00
85754,14000300021,6039999996.00,35,2024,2024-08-30T14:16:03+00:00,2024-08-30T14:16:03+00:00
90047,14000300021,3500500000.00,37,2024,2024-09-11T14:22:49+00:00,2024-09-11T14:22:49+00:00
94366,14000300021,3500500000.00,38,2024,2024-09-18T15:00:54+00:00,2024-09-18T15:00:54+00:00
98713,14000300021,2006000000.00,39,2024,2024-09-25T12:12:14+00:00,2024-09-25T12:12:14+00:00
107220,14000300021,1208166573.33,44,2024,2024-11-03T16:45:26+00:00,2024-11-03T16:45:26+00:00
115708,14000300021,1150000000.00,50,2024,2024-12-11T16:50:22+00:00,2024-12-11T16:50:22+00:00
124163,14000300021,2148880000.00,1,2025,2025-01-01T20:11:53+00:00,2025-01-01T20:11:53+00:00
136929,14000300021,1158749999.25,10,2025,2025-03-03T17:24:12+00:00,2025-03-03T17:24:12+00:00
141468,14000300021,1477555577.00,11,2025,2025-03-12T11:03:19+00:00,2025-03-12T11:03:19+00:00
146008,14000300021,885024690.67,13,2025,2025-03-26T16:28:33+00:00,2025-03-26T16:28:33+00:00
150491,14000300021,952518518.14,15,2025,2025-04-09T13:36:17+00:00,2025-04-09T13:36:17+00:00
159507,14000300021,1838800360.40,19,2025,2025-05-07T13:05:37+00:00,2025-05-07T13:05:37+00:00
159508,14000300021,996999999.00,23,2025,2025-06-04T11:20:41+00:00,2025-06-04T11:20:41+00:00
159509,14000300021,1089555555.09,25,2025,2025-06-18T11:55:55+00:00,2025-06-18T11:55:55+00:00
159510,14000300021,1082592592.08,26,2025,2025-06-25T17:27:25+00:00,2025-06-25T17:27:25+00:00
