id,item_id,price,week,year,date_created,date_updated
2501,14000100017,309999291.33,11,2024,2024-03-17T14:19:36+00:00,2024-03-17T14:19:36+00:00
5898,14000100017,298474576.27,13,2024,2024-03-25T15:23:49+00:00,2024-03-27T11:13:21+00:00
10363,14000100017,298474576.27,14,2024,2024-04-03T10:45:03+00:00,2024-04-03T10:45:03+00:00
14502,14000100017,282989999.67,15,2024,2024-04-10T12:44:46+00:00,2024-04-10T12:44:46+00:00
18711,14000100017,282989999.67,16,2024,2024-04-17T11:28:07+00:00,2024-04-17T11:28:07+00:00
22899,14000100017,309490228.55,17,2024,2024-04-24T19:28:36+00:00,2024-04-24T19:28:36+00:00
27074,14000100017,309490228.55,18,2024,2024-05-01T10:42:29+00:00,2024-05-01T10:42:29+00:00
31248,14000100017,330544943.32,19,2024,2024-05-08T18:03:51+00:00,2024-05-08T18:03:51+00:00
35388,14000100017,330544943.32,20,2024,2024-05-15T18:20:32+00:00,2024-05-15T18:20:32+00:00
39533,14000100017,338163207.55,21,2024,2024-05-22T14:12:25+00:00,2024-05-22T14:12:25+00:00
43689,14000100017,338163207.55,22,2024,2024-05-30T22:16:36+00:00,2024-05-30T22:16:36+00:00
47853,14000100017,340691588.79,23,2024,2024-06-06T20:46:50+00:00,2024-06-06T20:46:50+00:00
52021,14000100017,340691588.79,24,2024,2024-06-14T10:59:31+00:00,2024-06-14T10:59:31+00:00
56189,14000100017,323904761.52,25,2024,2024-06-19T19:43:08+00:00,2024-06-19T19:43:08+00:00
60346,14000100017,323904761.52,26,2024,2024-06-26T13:25:15+00:00,2024-06-26T13:25:15+00:00
64525,14000100017,295229357.43,27,2024,2024-07-05T19:30:39+00:00,2024-07-05T19:30:39+00:00
68703,14000100017,295229357.43,28,2024,2024-07-11T08:56:21+00:00,2024-07-11T08:56:21+00:00
72896,14000100017,302613333.06,29,2024,2024-07-21T13:28:35+00:00,2024-07-21T13:28:35+00:00
77162,14000100017,302613333.06,30,2024,2024-07-26T16:28:53+00:00,2024-07-26T16:28:53+00:00
81409,14000100017,283988603.03,32,2024,2024-08-07T20:19:07+00:00,2024-08-09T14:31:51+00:00
85706,14000100017,272020689.66,35,2024,2024-08-30T14:16:01+00:00,2024-08-30T14:16:01+00:00
89997,14000100017,236034658.25,37,2024,2024-09-11T14:22:47+00:00,2024-09-11T14:22:47+00:00
94316,14000100017,236034658.25,38,2024,2024-09-18T15:00:51+00:00,2024-09-18T15:00:51+00:00
98664,14000100017,217005476.77,39,2024,2024-09-25T12:12:12+00:00,2024-09-25T12:12:12+00:00
102926,14000100017,296885964.50,41,2024,2024-10-11T17:06:50+00:00,2024-10-11T17:06:50+00:00
107169,14000100017,297458457.91,44,2024,2024-11-03T16:45:24+00:00,2024-11-03T16:45:24+00:00
111455,14000100017,317231578.95,47,2024,2024-11-20T11:39:36+00:00,2024-11-20T11:39:36+00:00
115659,14000100017,354876543.21,50,2024,2024-12-11T16:50:19+00:00,2024-12-11T16:50:19+00:00
119892,14000100017,274533978.29,51,2024,2024-12-18T12:34:02+00:00,2024-12-18T12:34:02+00:00
124113,14000100017,269698037.97,1,2025,2025-01-01T20:11:50+00:00,2025-01-01T20:11:50+00:00
128292,14000100017,255904501.89,3,2025,2025-01-15T21:06:49+00:00,2025-01-15T21:06:49+00:00
132567,14000100017,255904501.89,6,2025,2025-02-04T20:22:54+00:00,2025-02-04T20:22:54+00:00
136876,14000100017,310405404.69,10,2025,2025-03-03T17:24:09+00:00,2025-03-03T17:24:09+00:00
141418,14000100017,254525541.36,11,2025,2025-03-12T11:03:16+00:00,2025-03-12T11:03:16+00:00
145959,14000100017,204156194.69,13,2025,2025-03-26T16:28:30+00:00,2025-03-26T16:28:30+00:00
150440,14000100017,189100431.03,15,2025,2025-04-09T13:36:12+00:00,2025-04-09T13:36:12+00:00
154989,14000100017,182253011.28,17,2025,2025-04-23T12:06:24+00:00,2025-04-23T12:06:24+00:00
159458,14000100017,175941175.81,19,2025,2025-05-07T13:05:34+00:00,2025-05-07T13:05:34+00:00
163927,14000100017,166102920.45,21,2025,2025-05-21T19:49:11+00:00,2025-05-21T19:49:11+00:00
