id,item_id,price,week,year,date_created,date_updated
630,14000120010,7632323.48,11,2024,2024-03-17T14:18:37+00:00,2024-03-17T14:18:37+00:00
5908,14000120010,6743864.93,13,2024,2024-03-25T15:23:50+00:00,2024-03-27T11:13:22+00:00
10373,14000120010,6743864.93,14,2024,2024-04-03T10:45:03+00:00,2024-04-03T10:45:03+00:00
14513,14000120010,6377644.47,15,2024,2024-04-10T12:44:46+00:00,2024-04-10T12:44:46+00:00
18722,14000120010,6377644.47,16,2024,2024-04-17T11:28:08+00:00,2024-04-17T11:28:08+00:00
22910,14000120010,6218939.50,17,2024,2024-04-24T19:28:36+00:00,2024-04-24T19:28:36+00:00
27085,14000120010,6218939.50,18,2024,2024-05-01T10:42:29+00:00,2024-05-01T10:42:29+00:00
31259,14000120010,7564639.97,19,2024,2024-05-08T18:03:51+00:00,2024-05-08T18:03:51+00:00
35399,14000120010,7564639.97,20,2024,2024-05-15T18:20:32+00:00,2024-05-15T18:20:32+00:00
39543,14000120010,8843902.83,21,2024,2024-05-22T14:12:25+00:00,2024-05-22T14:12:25+00:00
43699,14000120010,8843902.83,22,2024,2024-05-30T22:16:37+00:00,2024-05-30T22:16:37+00:00
47863,14000120010,9903900.05,23,2024,2024-06-06T20:46:50+00:00,2024-06-06T20:46:50+00:00
52031,14000120010,9903900.05,24,2024,2024-06-14T10:59:32+00:00,2024-06-14T10:59:32+00:00
56200,14000120010,9845640.61,25,2024,2024-06-19T19:43:08+00:00,2024-06-19T19:43:08+00:00
60357,14000120010,9845640.61,26,2024,2024-06-26T13:25:15+00:00,2024-06-26T13:25:15+00:00
64535,14000120010,10505617.81,27,2024,2024-07-05T19:30:40+00:00,2024-07-05T19:30:40+00:00
68713,14000120010,10505617.81,28,2024,2024-07-11T08:56:22+00:00,2024-07-11T08:56:22+00:00
72907,14000120010,11795202.72,29,2024,2024-07-21T13:28:35+00:00,2024-07-21T13:28:35+00:00
77173,14000120010,11795202.72,30,2024,2024-07-26T16:28:53+00:00,2024-07-26T16:28:53+00:00
81419,14000120010,12514983.24,32,2024,2024-08-07T20:19:07+00:00,2024-08-09T14:31:52+00:00
85716,14000120010,11382554.89,35,2024,2024-08-30T14:16:01+00:00,2024-08-30T14:16:01+00:00
90008,14000120010,10708861.36,37,2024,2024-09-11T14:22:48+00:00,2024-09-11T14:22:48+00:00
94327,14000120010,10708861.36,38,2024,2024-09-18T15:00:52+00:00,2024-09-18T15:00:52+00:00
98676,14000120010,9929446.14,39,2024,2024-09-25T12:12:13+00:00,2024-09-25T12:12:13+00:00
102937,14000120010,10806119.10,41,2024,2024-10-11T17:06:51+00:00,2024-10-11T17:06:51+00:00
107180,14000120010,11840787.58,44,2024,2024-11-03T16:45:24+00:00,2024-11-03T16:45:24+00:00
111466,14000120010,8473443.22,47,2024,2024-11-20T11:39:37+00:00,2024-11-20T11:39:37+00:00
115670,14000120010,9061917.75,50,2024,2024-12-11T16:50:20+00:00,2024-12-11T16:50:20+00:00
119902,14000120010,8454631.44,51,2024,2024-12-18T12:34:02+00:00,2024-12-18T12:34:02+00:00
124125,14000120010,7717044.08,1,2025,2025-01-01T20:11:51+00:00,2025-01-01T20:11:51+00:00
128303,14000120010,8528013.46,3,2025,2025-01-15T21:06:49+00:00,2025-01-15T21:06:49+00:00
132578,14000120010,8528013.46,6,2025,2025-02-04T20:22:54+00:00,2025-02-04T20:22:54+00:00
136888,14000120010,7886504.45,10,2025,2025-03-03T17:24:10+00:00,2025-03-03T17:24:10+00:00
141429,14000120010,6907577.22,11,2025,2025-03-12T11:03:17+00:00,2025-03-12T11:03:17+00:00
145970,14000120010,7070110.48,13,2025,2025-03-26T16:28:31+00:00,2025-03-26T16:28:31+00:00
150451,14000120010,7286274.58,15,2025,2025-04-09T13:36:13+00:00,2025-04-09T13:36:13+00:00
155000,14000120010,7257939.99,17,2025,2025-04-23T12:06:25+00:00,2025-04-23T12:06:25+00:00
159469,14000120010,7166056.87,19,2025,2025-05-07T13:05:35+00:00,2025-05-07T13:05:35+00:00
163940,14000120010,6959147.74,21,2025,2025-05-21T19:49:11+00:00,2025-05-21T19:49:11+00:00
163941,14000120010,7497227.28,23,2025,2025-06-04T11:20:36+00:00,2025-06-04T11:20:36+00:00
163942,14000120010,6638335.11,25,2025,2025-06-18T11:55:53+00:00,2025-06-18T11:55:53+00:00
163943,14000120010,6480130.50,26,2025,2025-06-25T17:27:23+00:00,2025-06-25T17:27:23+00:00
163944,14000120010,5450397.57,28,2025,2025-07-09T13:06:16+00:00,2025-07-09T13:06:16+00:00
163945,14000120010,5974300.34,30,2025,2025-07-23T20:40:00+00:00,2025-07-23T20:40:00+00:00
