id,item_id,price,week,year,date_created,date_updated
1112,14000130012,149166666.67,11,2024,2024-03-17T14:18:47+00:00,2024-03-17T14:18:47+00:00
5915,14000130012,135632183.91,13,2024,2024-03-25T15:23:50+00:00,2024-03-27T11:13:22+00:00
10380,14000130012,135632183.91,14,2024,2024-04-03T10:45:04+00:00,2024-04-03T10:45:04+00:00
14521,14000130012,152279069.44,15,2024,2024-04-10T12:44:46+00:00,2024-04-10T12:44:46+00:00
18730,14000130012,152279069.44,16,2024,2024-04-17T11:28:08+00:00,2024-04-17T11:28:08+00:00
22918,14000130012,142172839.16,17,2024,2024-04-24T19:28:37+00:00,2024-04-24T19:28:37+00:00
27093,14000130012,142172839.16,18,2024,2024-05-01T10:42:30+00:00,2024-05-01T10:42:30+00:00
31267,14000130012,146662337.27,19,2024,2024-05-08T18:03:51+00:00,2024-05-08T18:03:51+00:00
35407,14000130012,146662337.27,20,2024,2024-05-15T18:20:33+00:00,2024-05-15T18:20:33+00:00
39551,14000130012,173947367.89,21,2024,2024-05-22T14:12:25+00:00,2024-05-22T14:12:25+00:00
43707,14000130012,173947367.89,22,2024,2024-05-30T22:16:37+00:00,2024-05-30T22:16:37+00:00
47871,14000130012,120714285.35,23,2024,2024-06-06T20:46:51+00:00,2024-06-06T20:46:51+00:00
52039,14000130012,120714285.35,24,2024,2024-06-14T10:59:32+00:00,2024-06-14T10:59:32+00:00
56208,14000130012,160164690.26,25,2024,2024-06-19T19:43:08+00:00,2024-06-19T19:43:08+00:00
60365,14000130012,160164690.26,26,2024,2024-06-26T13:25:15+00:00,2024-06-26T13:25:15+00:00
64544,14000130012,184216450.06,27,2024,2024-07-05T19:30:40+00:00,2024-07-05T19:30:40+00:00
68722,14000130012,184216450.06,28,2024,2024-07-11T08:56:22+00:00,2024-07-11T08:56:22+00:00
72916,14000130012,206410256.41,29,2024,2024-07-21T13:28:36+00:00,2024-07-21T13:28:36+00:00
77182,14000130012,206410256.41,30,2024,2024-07-26T16:28:53+00:00,2024-07-26T16:28:53+00:00
81427,14000130012,197000000.00,32,2024,2024-08-07T20:19:07+00:00,2024-08-09T14:31:52+00:00
85724,14000130012,158000000.00,35,2024,2024-08-30T14:16:02+00:00,2024-08-30T14:16:02+00:00
90017,14000130012,134733333.33,37,2024,2024-09-11T14:22:48+00:00,2024-09-11T14:22:48+00:00
94336,14000130012,134733333.33,38,2024,2024-09-18T15:00:52+00:00,2024-09-18T15:00:52+00:00
98684,14000130012,107383018.87,39,2024,2024-09-25T12:12:13+00:00,2024-09-25T12:12:13+00:00
102946,14000130012,156274509.41,41,2024,2024-10-11T17:06:52+00:00,2024-10-11T17:06:52+00:00
107189,14000130012,129672726.91,44,2024,2024-11-03T16:45:25+00:00,2024-11-03T16:45:25+00:00
111474,14000130012,121933853.74,47,2024,2024-11-20T11:39:37+00:00,2024-11-20T11:39:37+00:00
115678,14000130012,128674465.89,50,2024,2024-12-11T16:50:20+00:00,2024-12-11T16:50:20+00:00
119911,14000130012,145133335.73,51,2024,2024-12-18T12:34:03+00:00,2024-12-18T12:34:03+00:00
124133,14000130012,100999999.23,1,2025,2025-01-01T20:11:51+00:00,2025-01-01T20:11:51+00:00
128311,14000130012,129999999.70,3,2025,2025-01-15T21:06:50+00:00,2025-01-15T21:06:50+00:00
132586,14000130012,129999999.70,6,2025,2025-02-04T20:22:55+00:00,2025-02-04T20:22:55+00:00
136896,14000130012,152102564.10,10,2025,2025-03-03T17:24:10+00:00,2025-03-03T17:24:10+00:00
141437,14000130012,279374999.88,11,2025,2025-03-12T11:03:18+00:00,2025-03-12T11:03:18+00:00
145978,14000130012,160476190.48,13,2025,2025-03-26T16:28:31+00:00,2025-03-26T16:28:31+00:00
150459,14000130012,185142857.14,15,2025,2025-04-09T13:36:14+00:00,2025-04-09T13:36:14+00:00
155008,14000130012,164571428.57,17,2025,2025-04-23T12:06:25+00:00,2025-04-23T12:06:25+00:00
159478,14000130012,141857142.86,19,2025,2025-05-07T13:05:35+00:00,2025-05-07T13:05:35+00:00
163949,14000130012,163000000.00,21,2025,2025-05-21T19:49:12+00:00,2025-05-21T19:49:12+00:00
163950,14000130012,140385714.00,23,2025,2025-06-04T11:20:37+00:00,2025-06-04T11:20:37+00:00
