id,item_id,price,week,year,date_created,date_updated
1951,14000320013,707916666.47,11,2024,2024-03-17T14:19:13+00:00,2024-03-17T14:19:13+00:00
5953,14000320013,525682298.08,13,2024,2024-03-25T15:23:51+00:00,2024-03-27T11:13:23+00:00
10416,14000320013,525682298.08,14,2024,2024-04-03T10:45:05+00:00,2024-04-03T10:45:05+00:00
14558,14000320013,535000000.00,15,2024,2024-04-10T12:44:48+00:00,2024-04-10T12:44:48+00:00
18767,14000320013,535000000.00,16,2024,2024-04-17T11:28:09+00:00,2024-04-17T11:28:09+00:00
22954,14000320013,609062499.51,17,2024,2024-04-24T19:28:38+00:00,2024-04-24T19:28:38+00:00
27129,14000320013,609062499.51,18,2024,2024-05-01T10:42:31+00:00,2024-05-01T10:42:31+00:00
31304,14000320013,662826086.39,19,2024,2024-05-08T18:03:53+00:00,2024-05-08T18:03:53+00:00
35444,14000320013,662826086.39,20,2024,2024-05-15T18:20:34+00:00,2024-05-15T18:20:34+00:00
39589,14000320013,981500000.00,21,2024,2024-05-22T14:12:27+00:00,2024-05-22T14:12:27+00:00
43745,14000320013,981500000.00,22,2024,2024-05-30T22:16:38+00:00,2024-05-30T22:16:38+00:00
47907,14000320013,745155279.50,23,2024,2024-06-06T20:46:52+00:00,2024-06-06T20:46:52+00:00
52075,14000320013,745155279.50,24,2024,2024-06-14T10:59:33+00:00,2024-06-14T10:59:33+00:00
56249,14000320013,983413170.42,25,2024,2024-06-19T19:43:10+00:00,2024-06-19T19:43:10+00:00
60406,14000320013,983413170.42,26,2024,2024-06-26T13:25:17+00:00,2024-06-26T13:25:17+00:00
64581,14000320013,1054426395.94,27,2024,2024-07-05T19:30:42+00:00,2024-07-05T19:30:42+00:00
68759,14000320013,1054426395.94,28,2024,2024-07-11T08:56:23+00:00,2024-07-11T08:56:23+00:00
72956,14000320013,998536082.47,29,2024,2024-07-21T13:28:37+00:00,2024-07-21T13:28:37+00:00
77222,14000320013,998536082.47,30,2024,2024-07-26T16:28:55+00:00,2024-07-26T16:28:55+00:00
81463,14000320013,1087647058.82,32,2024,2024-08-07T20:19:09+00:00,2024-08-09T14:31:53+00:00
85762,14000320013,887553299.23,35,2024,2024-08-30T14:16:03+00:00,2024-08-30T14:16:03+00:00
90056,14000320013,958153845.52,37,2024,2024-09-11T14:22:50+00:00,2024-09-11T14:22:50+00:00
94375,14000320013,958153845.52,38,2024,2024-09-18T15:00:54+00:00,2024-09-18T15:00:54+00:00
98722,14000320013,1052896039.29,39,2024,2024-09-25T12:12:15+00:00,2024-09-25T12:12:15+00:00
102985,14000320013,1055955056.18,41,2024,2024-10-11T17:06:56+00:00,2024-10-11T17:06:56+00:00
107229,14000320013,969312169.00,44,2024,2024-11-03T16:45:27+00:00,2024-11-03T16:45:27+00:00
111514,14000320013,1088643216.08,47,2024,2024-11-20T11:39:39+00:00,2024-11-20T11:39:39+00:00
115716,14000320013,1130538922.16,50,2024,2024-12-11T16:50:23+00:00,2024-12-11T16:50:23+00:00
119947,14000320013,1027230046.62,51,2024,2024-12-18T12:34:06+00:00,2024-12-18T12:34:06+00:00
124172,14000320013,1092688678.61,1,2025,2025-01-01T20:11:54+00:00,2025-01-01T20:11:54+00:00
128349,14000320013,937931033.97,3,2025,2025-01-15T21:06:52+00:00,2025-01-15T21:06:52+00:00
132624,14000320013,937931033.97,6,2025,2025-02-04T20:23:00+00:00,2025-02-04T20:23:00+00:00
136939,14000320013,928406976.74,10,2025,2025-03-03T17:24:13+00:00,2025-03-03T17:24:13+00:00
141477,14000320013,934739130.43,11,2025,2025-03-12T11:03:20+00:00,2025-03-12T11:03:20+00:00
146016,14000320013,806524663.37,13,2025,2025-03-26T16:28:34+00:00,2025-03-26T16:28:34+00:00
150500,14000320013,677130356.73,15,2025,2025-04-09T13:36:18+00:00,2025-04-09T13:36:18+00:00
155045,14000320013,569506849.32,17,2025,2025-04-23T12:06:28+00:00,2025-04-23T12:06:28+00:00
159516,14000320013,565141660.38,19,2025,2025-05-07T13:05:38+00:00,2025-05-07T13:05:38+00:00
163983,14000320013,468393597.78,21,2025,2025-05-21T19:49:14+00:00,2025-05-21T19:49:14+00:00
163984,14000320013,402337745.75,23,2025,2025-06-04T11:20:42+00:00,2025-06-04T11:20:42+00:00
163985,14000320013,314138461.15,25,2025,2025-06-18T11:55:56+00:00,2025-06-18T11:55:56+00:00
163986,14000320013,330814229.25,26,2025,2025-06-25T17:27:26+00:00,2025-06-25T17:27:26+00:00
163987,14000320013,409859762.17,28,2025,2025-07-09T13:06:24+00:00,2025-07-09T13:06:24+00:00
163988,14000320013,358014705.50,30,2025,2025-07-23T20:40:03+00:00,2025-07-23T20:40:03+00:00
