id,item_id,price,week,year,date_created,date_updated
28,14600020010,90062458.76,11,2024,2024-03-17T13:13:15+00:00,2024-03-17T14:18:30+00:00
5991,14600020010,76197219.27,13,2024,2024-03-25T15:23:52+00:00,2024-03-27T11:13:24+00:00
10453,14600020010,76197219.27,14,2024,2024-04-03T10:45:06+00:00,2024-04-03T10:45:06+00:00
14596,14600020010,69626890.98,15,2024,2024-04-10T12:44:49+00:00,2024-04-10T12:44:49+00:00
18805,14600020010,69626890.98,16,2024,2024-04-17T11:28:11+00:00,2024-04-17T11:28:11+00:00
22990,14600020010,72516096.58,17,2024,2024-04-24T19:28:39+00:00,2024-04-24T19:28:39+00:00
27165,14600020010,72516096.58,18,2024,2024-05-01T10:42:32+00:00,2024-05-01T10:42:32+00:00
31342,14600020010,68352800.95,19,2024,2024-05-08T18:03:54+00:00,2024-05-08T18:03:54+00:00
35482,14600020010,68352800.95,20,2024,2024-05-15T18:20:35+00:00,2024-05-15T18:20:35+00:00
39627,14600020010,62803475.94,21,2024,2024-05-22T14:12:28+00:00,2024-05-22T14:12:28+00:00
43783,14600020010,62803475.94,22,2024,2024-05-30T22:16:40+00:00,2024-05-30T22:16:40+00:00
47945,14600020010,63631874.02,23,2024,2024-06-06T20:46:53+00:00,2024-06-06T20:46:53+00:00
52113,14600020010,63631874.02,24,2024,2024-06-14T10:59:35+00:00,2024-06-14T10:59:35+00:00
56286,14600020010,73244583.26,25,2024,2024-06-19T19:43:12+00:00,2024-06-19T19:43:12+00:00
60443,14600020010,73244583.26,26,2024,2024-06-26T13:25:18+00:00,2024-06-26T13:25:18+00:00
64618,14600020010,85153788.14,27,2024,2024-07-05T19:30:43+00:00,2024-07-05T19:30:43+00:00
68796,14600020010,85153788.14,28,2024,2024-07-11T08:56:25+00:00,2024-07-11T08:56:25+00:00
72991,14600020010,81137748.03,29,2024,2024-07-21T13:28:39+00:00,2024-07-21T13:28:39+00:00
77257,14600020010,81137748.03,30,2024,2024-07-26T16:28:57+00:00,2024-07-26T16:28:57+00:00
81503,14600020010,57732958.15,32,2024,2024-08-07T20:19:10+00:00,2024-08-09T14:31:55+00:00
85805,14600020010,45290598.29,35,2024,2024-08-30T14:16:05+00:00,2024-08-30T14:16:05+00:00
90098,14600020010,42950000.00,37,2024,2024-09-11T14:22:51+00:00,2024-09-11T14:22:51+00:00
94417,14600020010,42950000.00,38,2024,2024-09-18T15:00:56+00:00,2024-09-18T15:00:56+00:00
98766,14600020010,43911977.01,39,2024,2024-09-25T12:12:17+00:00,2024-09-25T12:12:17+00:00
103029,14600020010,56215222.90,41,2024,2024-10-11T17:07:01+00:00,2024-10-11T17:07:01+00:00
107273,14600020010,49778723.15,44,2024,2024-11-03T16:45:30+00:00,2024-11-03T16:45:30+00:00
111557,14600020010,46673984.86,47,2024,2024-11-20T11:39:42+00:00,2024-11-20T11:39:42+00:00
115759,14600020010,52437159.14,50,2024,2024-12-11T16:50:25+00:00,2024-12-11T16:50:25+00:00
119991,14600020010,63544371.93,51,2024,2024-12-18T12:34:08+00:00,2024-12-18T12:34:08+00:00
124218,14600020010,72124193.55,1,2025,2025-01-01T20:11:57+00:00,2025-01-01T20:11:57+00:00
128394,14600020010,78491211.73,3,2025,2025-01-15T21:06:55+00:00,2025-01-15T21:06:55+00:00
132669,14600020010,78491211.73,6,2025,2025-02-04T20:23:04+00:00,2025-02-04T20:23:04+00:00
136987,14600020010,60265281.17,10,2025,2025-03-03T17:24:16+00:00,2025-03-03T17:24:16+00:00
141526,14600020010,62531313.13,11,2025,2025-03-12T11:03:23+00:00,2025-03-12T11:03:23+00:00
146063,14600020010,78131067.96,13,2025,2025-03-26T16:28:37+00:00,2025-03-26T16:28:37+00:00
150548,14600020010,74425963.29,15,2025,2025-04-09T13:36:22+00:00,2025-04-09T13:36:22+00:00
155094,14600020010,74545300.90,17,2025,2025-04-23T12:06:31+00:00,2025-04-23T12:06:31+00:00
159566,14600020010,66253544.60,19,2025,2025-05-07T13:05:41+00:00,2025-05-07T13:05:41+00:00
164034,14600020010,56129633.59,21,2025,2025-05-21T19:49:18+00:00,2025-05-21T19:49:18+00:00
164035,14600020010,58487244.21,23,2025,2025-06-04T11:20:46+00:00,2025-06-04T11:20:46+00:00
164036,14600020010,43025171.62,25,2025,2025-06-18T11:55:59+00:00,2025-06-18T11:55:59+00:00
164037,14600020010,31686868.69,26,2025,2025-06-25T17:27:30+00:00,2025-06-25T17:27:30+00:00
