id,item_id,price,week,year,date_created,date_updated
1911,14600130012,150664788.73,11,2024,2024-03-17T14:19:12+00:00,2024-03-17T14:19:12+00:00
6014,14600130012,169794701.99,13,2024,2024-03-25T15:23:53+00:00,2024-03-27T11:13:25+00:00
10475,14600130012,169794701.99,14,2024,2024-04-03T10:45:07+00:00,2024-04-03T10:45:07+00:00
14618,14600130012,176382352.94,15,2024,2024-04-10T12:44:50+00:00,2024-04-10T12:44:50+00:00
18827,14600130012,176382352.94,16,2024,2024-04-17T11:28:12+00:00,2024-04-17T11:28:12+00:00
23011,14600130012,162378378.38,17,2024,2024-04-24T19:28:40+00:00,2024-04-24T19:28:40+00:00
27186,14600130012,162378378.38,18,2024,2024-05-01T10:42:33+00:00,2024-05-01T10:42:33+00:00
31364,14600130012,179069767.44,19,2024,2024-05-08T18:03:55+00:00,2024-05-08T18:03:55+00:00
35504,14600130012,179069767.44,20,2024,2024-05-15T18:20:36+00:00,2024-05-15T18:20:36+00:00
39649,14600130012,158361344.54,21,2024,2024-05-22T14:12:29+00:00,2024-05-22T14:12:29+00:00
43805,14600130012,158361344.54,22,2024,2024-05-30T22:16:41+00:00,2024-05-30T22:16:41+00:00
47967,14600130012,144298780.49,23,2024,2024-06-06T20:46:54+00:00,2024-06-06T20:46:54+00:00
52135,14600130012,144298780.49,24,2024,2024-06-14T10:59:36+00:00,2024-06-14T10:59:36+00:00
56306,14600130012,171768888.89,25,2024,2024-06-19T19:43:12+00:00,2024-06-19T19:43:12+00:00
60463,14600130012,171768888.89,26,2024,2024-06-26T13:25:19+00:00,2024-06-26T13:25:19+00:00
64639,14600130012,156257510.73,27,2024,2024-07-05T19:30:44+00:00,2024-07-05T19:30:44+00:00
68817,14600130012,156257510.73,28,2024,2024-07-11T08:56:26+00:00,2024-07-11T08:56:26+00:00
73011,14600130012,133928861.68,29,2024,2024-07-21T13:28:39+00:00,2024-07-21T13:28:39+00:00
77277,14600130012,133928861.68,30,2024,2024-07-26T16:28:57+00:00,2024-07-26T16:28:57+00:00
81527,14600130012,109569343.07,32,2024,2024-08-07T20:19:11+00:00,2024-08-09T14:31:56+00:00
85826,14600130012,80074999.85,35,2024,2024-08-30T14:16:06+00:00,2024-08-30T14:16:06+00:00
90122,14600130012,78260233.68,37,2024,2024-09-11T14:22:52+00:00,2024-09-11T14:22:52+00:00
94441,14600130012,78260233.68,38,2024,2024-09-18T15:00:57+00:00,2024-09-18T15:00:57+00:00
98790,14600130012,87081818.18,39,2024,2024-09-25T12:12:18+00:00,2024-09-25T12:12:18+00:00
103052,14600130012,94465648.85,41,2024,2024-10-11T17:07:05+00:00,2024-10-11T17:07:05+00:00
107296,14600130012,186100000.00,44,2024,2024-11-03T16:45:31+00:00,2024-11-03T16:45:31+00:00
111581,14600130012,122878787.37,47,2024,2024-11-20T11:39:44+00:00,2024-11-20T11:39:44+00:00
115783,14600130012,115193797.93,50,2024,2024-12-11T16:50:27+00:00,2024-12-11T16:50:27+00:00
120017,14600130012,113257052.63,51,2024,2024-12-18T12:34:10+00:00,2024-12-18T12:34:10+00:00
124240,14600130012,99986666.67,1,2025,2025-01-01T20:11:58+00:00,2025-01-01T20:11:58+00:00
128417,14600130012,118307692.31,3,2025,2025-01-15T21:06:56+00:00,2025-01-15T21:06:56+00:00
132692,14600130012,118307692.31,6,2025,2025-02-04T20:23:06+00:00,2025-02-04T20:23:06+00:00
137013,14600130012,61497325.57,10,2025,2025-03-03T17:24:18+00:00,2025-03-03T17:24:18+00:00
141552,14600130012,59565978.76,11,2025,2025-03-12T11:03:25+00:00,2025-03-12T11:03:25+00:00
146088,14600130012,51926612.23,13,2025,2025-03-26T16:28:38+00:00,2025-03-26T16:28:38+00:00
150573,14600130012,44227890.27,15,2025,2025-04-09T13:36:25+00:00,2025-04-09T13:36:25+00:00
155121,14600130012,60339743.27,17,2025,2025-04-23T12:06:33+00:00,2025-04-23T12:06:33+00:00
159594,14600130012,87396225.69,19,2025,2025-05-07T13:05:43+00:00,2025-05-07T13:05:43+00:00
164061,14600130012,79561403.51,21,2025,2025-05-21T19:49:19+00:00,2025-05-21T19:49:19+00:00
164062,14600130012,63717948.72,23,2025,2025-06-04T11:20:47+00:00,2025-06-04T11:20:47+00:00
164063,14600130012,65941176.47,25,2025,2025-06-18T11:56:01+00:00,2025-06-18T11:56:01+00:00
164064,14600130012,61167714.83,26,2025,2025-06-25T17:27:33+00:00,2025-06-25T17:27:33+00:00
