id,item_id,price,week,year,date_created,date_updated
1274,16900000003,57587444.74,11,2024,2024-03-17T14:18:51+00:00,2024-03-17T14:18:51+00:00
6675,16900000003,58181239.78,13,2024,2024-03-25T15:24:19+00:00,2024-03-27T11:13:47+00:00
11071,16900000003,58181239.78,14,2024,2024-04-03T10:45:31+00:00,2024-04-03T10:45:31+00:00
15238,16900000003,60355017.21,15,2024,2024-04-10T12:45:16+00:00,2024-04-10T12:45:16+00:00
19447,16900000003,60355017.21,16,2024,2024-04-17T11:28:38+00:00,2024-04-17T11:28:38+00:00
23604,16900000003,59805359.42,17,2024,2024-04-24T19:29:04+00:00,2024-04-24T19:29:04+00:00
27779,16900000003,59805359.42,18,2024,2024-05-01T10:42:56+00:00,2024-05-01T10:42:56+00:00
31925,16900000003,58190675.52,19,2024,2024-05-08T18:04:18+00:00,2024-05-08T18:04:18+00:00
36065,16900000003,58190675.52,20,2024,2024-05-15T18:20:58+00:00,2024-05-15T18:20:58+00:00
40234,16900000003,58991117.59,21,2024,2024-05-22T14:12:52+00:00,2024-05-22T14:12:52+00:00
44390,16900000003,58991117.59,22,2024,2024-05-30T22:17:06+00:00,2024-05-30T22:17:06+00:00
48583,16900000003,67360966.04,23,2024,2024-06-06T20:47:20+00:00,2024-06-06T20:47:20+00:00
52751,16900000003,67360966.04,24,2024,2024-06-14T11:00:04+00:00,2024-06-14T11:00:04+00:00
56890,16900000003,74732542.73,25,2024,2024-06-19T19:43:36+00:00,2024-06-19T19:43:36+00:00
61047,16900000003,74732542.73,26,2024,2024-06-26T13:25:45+00:00,2024-06-26T13:25:45+00:00
65237,16900000003,74660352.71,27,2024,2024-07-05T19:31:12+00:00,2024-07-05T19:31:12+00:00
69415,16900000003,74660352.71,28,2024,2024-07-11T08:56:52+00:00,2024-07-11T08:56:52+00:00
73628,16900000003,77903340.58,29,2024,2024-07-21T13:29:08+00:00,2024-07-21T13:29:08+00:00
77894,16900000003,77903340.58,30,2024,2024-07-26T16:29:26+00:00,2024-07-26T16:29:26+00:00
82119,16900000003,75947468.62,32,2024,2024-08-07T20:19:39+00:00,2024-08-09T14:32:22+00:00
86415,16900000003,73598954.76,35,2024,2024-08-30T14:16:33+00:00,2024-08-30T14:16:33+00:00
90754,16900000003,68688434.29,37,2024,2024-09-11T14:23:23+00:00,2024-09-11T14:23:23+00:00
95073,16900000003,68688434.29,38,2024,2024-09-18T15:01:28+00:00,2024-09-18T15:01:28+00:00
99378,16900000003,67540417.38,39,2024,2024-09-25T12:12:49+00:00,2024-09-25T12:12:49+00:00
103625,16900000003,66573774.70,41,2024,2024-10-11T17:08:06+00:00,2024-10-11T17:08:06+00:00
107908,16900000003,61408704.09,44,2024,2024-11-03T16:46:11+00:00,2024-11-03T16:46:11+00:00
112138,16900000003,55810943.61,47,2024,2024-11-20T11:40:24+00:00,2024-11-20T11:40:24+00:00
116339,16900000003,51092803.77,50,2024,2024-12-11T16:51:05+00:00,2024-12-11T16:51:05+00:00
120606,16900000003,51053520.02,51,2024,2024-12-18T12:35:00+00:00,2024-12-18T12:35:00+00:00
124808,16900000003,53404607.64,1,2025,2025-01-01T20:12:39+00:00,2025-01-01T20:12:39+00:00
128995,16900000003,52319919.87,3,2025,2025-01-15T21:07:37+00:00,2025-01-15T21:07:37+00:00
133270,16900000003,52319919.87,6,2025,2025-02-04T20:24:05+00:00,2025-02-04T20:24:05+00:00
137690,16900000003,48927911.28,10,2025,2025-03-03T17:25:06+00:00,2025-03-03T17:25:06+00:00
142224,16900000003,49217865.31,11,2025,2025-03-12T11:04:16+00:00,2025-03-12T11:04:16+00:00
146747,16900000003,49180719.12,13,2025,2025-03-26T16:29:28+00:00,2025-03-26T16:29:28+00:00
151244,16900000003,49067571.98,15,2025,2025-04-09T13:37:30+00:00,2025-04-09T13:37:30+00:00
155775,16900000003,48617707.42,17,2025,2025-04-23T12:07:20+00:00,2025-04-23T12:07:20+00:00
160242,16900000003,48942591.28,19,2025,2025-05-07T13:06:29+00:00,2025-05-07T13:06:29+00:00
164712,16900000003,50505562.54,21,2025,2025-05-21T19:50:09+00:00,2025-05-21T19:50:09+00:00
164713,16900000003,49120928.71,23,2025,2025-06-04T11:21:35+00:00,2025-06-04T11:21:35+00:00
164714,16900000003,48562653.18,25,2025,2025-06-18T11:56:50+00:00,2025-06-18T11:56:50+00:00
164715,16900000003,47836037.23,26,2025,2025-06-25T17:28:23+00:00,2025-06-25T17:28:23+00:00
164716,16900000003,47054938.92,28,2025,2025-07-09T13:08:13+00:00,2025-07-09T13:08:13+00:00
164717,16900000003,46610686.06,30,2025,2025-07-23T20:40:55+00:00,2025-07-23T20:40:55+00:00
