id,item_id,price,week,year,date_created,date_updated
282,16500032031,5526767.57,11,2024,2024-03-17T14:18:32+00:00,2024-03-17T14:18:32+00:00
6412,16500032031,11522290.91,13,2024,2024-03-25T15:24:08+00:00,2024-03-27T11:13:38+00:00
10850,16500032031,11522290.91,14,2024,2024-04-03T10:45:21+00:00,2024-04-03T10:45:21+00:00
15004,16500032031,14336476.92,15,2024,2024-04-10T12:45:05+00:00,2024-04-10T12:45:05+00:00
19213,16500032031,14336476.92,16,2024,2024-04-17T11:28:27+00:00,2024-04-17T11:28:27+00:00
23393,16500032031,4545454.18,17,2024,2024-04-24T19:28:54+00:00,2024-04-24T19:28:54+00:00
27568,16500032031,4545454.18,18,2024,2024-05-01T10:42:47+00:00,2024-05-01T10:42:47+00:00
31722,16500032031,10474839.60,19,2024,2024-05-08T18:04:09+00:00,2024-05-08T18:04:09+00:00
35862,16500032031,10474839.60,20,2024,2024-05-15T18:20:49+00:00,2024-05-15T18:20:49+00:00
48370,16500032031,4760000.00,23,2024,2024-06-06T20:47:11+00:00,2024-06-06T20:47:11+00:00
52538,16500032031,4760000.00,24,2024,2024-06-14T10:59:53+00:00,2024-06-14T10:59:53+00:00
56672,16500032031,16937499.88,25,2024,2024-06-19T19:43:27+00:00,2024-06-19T19:43:27+00:00
60829,16500032031,16937499.88,26,2024,2024-06-26T13:25:34+00:00,2024-06-26T13:25:34+00:00
65023,16500032031,59262142.64,27,2024,2024-07-05T19:31:02+00:00,2024-07-05T19:31:02+00:00
69201,16500032031,59262142.64,28,2024,2024-07-11T08:56:42+00:00,2024-07-11T08:56:42+00:00
73417,16500032031,22554099.70,29,2024,2024-07-21T13:28:57+00:00,2024-07-21T13:28:57+00:00
77683,16500032031,22554099.70,30,2024,2024-07-26T16:29:15+00:00,2024-07-26T16:29:15+00:00
81908,16500032031,8175905.88,32,2024,2024-08-07T20:19:29+00:00,2024-08-09T14:32:12+00:00
86208,16500032031,14020295.69,35,2024,2024-08-30T14:16:23+00:00,2024-08-30T14:16:23+00:00
90532,16500032031,15223186.94,37,2024,2024-09-11T14:23:11+00:00,2024-09-11T14:23:11+00:00
94851,16500032031,15223186.94,38,2024,2024-09-18T15:01:17+00:00,2024-09-18T15:01:17+00:00
99170,16500032031,6277099.80,39,2024,2024-09-25T12:12:38+00:00,2024-09-25T12:12:38+00:00
103428,16500032031,4237500.00,41,2024,2024-10-11T17:07:44+00:00,2024-10-11T17:07:44+00:00
107688,16500032031,4248000.00,44,2024,2024-11-03T16:45:56+00:00,2024-11-03T16:45:56+00:00
111950,16500032031,7949679.40,47,2024,2024-11-20T11:40:10+00:00,2024-11-20T11:40:10+00:00
116159,16500032031,6374200.00,50,2024,2024-12-11T16:50:52+00:00,2024-12-11T16:50:52+00:00
128805,16500032031,4249467.00,3,2025,2025-01-15T21:07:23+00:00,2025-01-15T21:07:23+00:00
133080,16500032031,4249467.00,6,2025,2025-02-04T20:23:44+00:00,2025-02-04T20:23:44+00:00
137476,16500032031,5000000.00,10,2025,2025-03-03T17:24:49+00:00,2025-03-03T17:24:49+00:00
142009,16500032031,4942628.57,11,2025,2025-03-12T11:03:59+00:00,2025-03-12T11:03:59+00:00
155556,16500032031,10687100.00,17,2025,2025-04-23T12:07:03+00:00,2025-04-23T12:07:03+00:00
160026,16500032031,49000000.00,19,2025,2025-05-07T13:06:13+00:00,2025-05-07T13:06:13+00:00
164503,16500032031,29719025.14,21,2025,2025-05-21T19:49:54+00:00,2025-05-21T19:49:54+00:00
164504,16500032031,6374200.00,25,2025,2025-06-18T11:56:33+00:00,2025-06-18T11:56:33+00:00
164505,16500032031,19499644.44,26,2025,2025-06-25T17:28:09+00:00,2025-06-25T17:28:09+00:00
164506,16500032031,19499622.22,28,2025,2025-07-09T13:07:42+00:00,2025-07-09T13:07:42+00:00
164507,16500032031,9249400.00,30,2025,2025-07-23T20:40:40+00:00,2025-07-23T20:40:40+00:00
