id,item_id,price,week,year,date_created,date_updated
2490,16500024091,325555555.56,11,2024,2024-03-17T14:19:35+00:00,2024-03-17T14:19:35+00:00
6350,16500024091,299999999.25,13,2024,2024-03-25T15:24:06+00:00,2024-03-27T11:13:36+00:00
10800,16500024091,299999999.25,14,2024,2024-04-03T10:45:19+00:00,2024-04-03T10:45:19+00:00
14956,16500024091,277999999.10,15,2024,2024-04-10T12:45:03+00:00,2024-04-10T12:45:03+00:00
19165,16500024091,277999999.10,16,2024,2024-04-17T11:28:25+00:00,2024-04-17T11:28:25+00:00
23342,16500024091,320580768.38,17,2024,2024-04-24T19:28:52+00:00,2024-04-24T19:28:52+00:00
27517,16500024091,320580768.38,18,2024,2024-05-01T10:42:45+00:00,2024-05-01T10:42:45+00:00
31677,16500024091,276734615.08,19,2024,2024-05-08T18:04:07+00:00,2024-05-08T18:04:07+00:00
35817,16500024091,276734615.08,20,2024,2024-05-15T18:20:48+00:00,2024-05-15T18:20:48+00:00
39989,16500024091,189111111.11,21,2024,2024-05-22T14:12:42+00:00,2024-05-22T14:12:42+00:00
44145,16500024091,189111111.11,22,2024,2024-05-30T22:16:55+00:00,2024-05-30T22:16:55+00:00
48313,16500024091,137000000.00,23,2024,2024-06-06T20:47:08+00:00,2024-06-06T20:47:08+00:00
52481,16500024091,137000000.00,24,2024,2024-06-14T10:59:51+00:00,2024-06-14T10:59:51+00:00
56630,16500024091,278571428.57,25,2024,2024-06-19T19:43:25+00:00,2024-06-19T19:43:25+00:00
60787,16500024091,278571428.57,26,2024,2024-06-26T13:25:32+00:00,2024-06-26T13:25:32+00:00
64968,16500024091,369980000.00,27,2024,2024-07-05T19:30:59+00:00,2024-07-05T19:30:59+00:00
69146,16500024091,369980000.00,28,2024,2024-07-11T08:56:39+00:00,2024-07-11T08:56:39+00:00
73369,16500024091,207491666.67,29,2024,2024-07-21T13:28:55+00:00,2024-07-21T13:28:55+00:00
77635,16500024091,207491666.67,30,2024,2024-07-26T16:29:13+00:00,2024-07-26T16:29:13+00:00
81860,16500024091,224833333.33,32,2024,2024-08-07T20:19:27+00:00,2024-08-09T14:32:10+00:00
86164,16500024091,172222221.44,35,2024,2024-08-30T14:16:20+00:00,2024-08-30T14:16:20+00:00
90480,16500024091,280158729.71,37,2024,2024-09-11T14:23:09+00:00,2024-09-11T14:23:09+00:00
94799,16500024091,280158729.71,38,2024,2024-09-18T15:01:14+00:00,2024-09-18T15:01:14+00:00
99130,16500024091,301904761.71,39,2024,2024-09-25T12:12:36+00:00,2024-09-25T12:12:36+00:00
103388,16500024091,203333333.33,41,2024,2024-10-11T17:07:40+00:00,2024-10-11T17:07:40+00:00
107649,16500024091,227333333.33,44,2024,2024-11-03T16:45:53+00:00,2024-11-03T16:45:53+00:00
111914,16500024091,79285713.86,47,2024,2024-11-20T11:40:07+00:00,2024-11-20T11:40:07+00:00
116119,16500024091,107444444.44,50,2024,2024-12-11T16:50:49+00:00,2024-12-11T16:50:49+00:00
120377,16500024091,160249999.88,51,2024,2024-12-18T12:34:36+00:00,2024-12-18T12:34:36+00:00
124584,16500024091,154230769.23,1,2025,2025-01-01T20:12:23+00:00,2025-01-01T20:12:23+00:00
128766,16500024091,149000000.00,3,2025,2025-01-15T21:07:20+00:00,2025-01-15T21:07:20+00:00
133041,16500024091,149000000.00,6,2025,2025-02-04T20:23:41+00:00,2025-02-04T20:23:41+00:00
137434,16500024091,108888888.89,10,2025,2025-03-03T17:24:46+00:00,2025-03-03T17:24:46+00:00
141961,16500024091,91333333.33,11,2025,2025-03-12T11:03:55+00:00,2025-03-12T11:03:55+00:00
146495,16500024091,170707692.31,13,2025,2025-03-26T16:29:10+00:00,2025-03-26T16:29:10+00:00
150992,16500024091,333351851.67,15,2025,2025-04-09T13:37:06+00:00,2025-04-09T13:37:06+00:00
155512,16500024091,118293650.71,17,2025,2025-04-23T12:06:59+00:00,2025-04-23T12:06:59+00:00
159983,16500024091,104090909.09,19,2025,2025-05-07T13:06:10+00:00,2025-05-07T13:06:10+00:00
164460,16500024091,126791666.67,21,2025,2025-05-21T19:49:51+00:00,2025-05-21T19:49:51+00:00
