id,item_id,price,week,year,date_created,date_updated
1725,16500010061,38510869.48,11,2024,2024-03-17T14:19:05+00:00,2024-03-17T14:19:05+00:00
6222,16500010061,31559062.50,13,2024,2024-03-25T15:24:01+00:00,2024-03-27T11:13:32+00:00
10679,16500010061,31559062.50,14,2024,2024-04-03T10:45:15+00:00,2024-04-03T10:45:15+00:00
14835,16500010061,25581764.71,15,2024,2024-04-10T12:44:58+00:00,2024-04-10T12:44:58+00:00
19044,16500010061,25581764.71,16,2024,2024-04-17T11:28:20+00:00,2024-04-17T11:28:20+00:00
23220,16500010061,19199999.60,17,2024,2024-04-24T19:28:48+00:00,2024-04-24T19:28:48+00:00
27395,16500010061,19199999.60,18,2024,2024-05-01T10:42:41+00:00,2024-05-01T10:42:41+00:00
31565,16500010061,33030302.55,19,2024,2024-05-08T18:04:03+00:00,2024-05-08T18:04:03+00:00
35705,16500010061,33030302.55,20,2024,2024-05-15T18:20:43+00:00,2024-05-15T18:20:43+00:00
39866,16500010061,81399999.40,21,2024,2024-05-22T14:12:37+00:00,2024-05-22T14:12:37+00:00
44022,16500010061,81399999.40,22,2024,2024-05-30T22:16:49+00:00,2024-05-30T22:16:49+00:00
48192,16500010061,41111110.67,23,2024,2024-06-06T20:47:03+00:00,2024-06-06T20:47:03+00:00
52360,16500010061,41111110.67,24,2024,2024-06-14T10:59:45+00:00,2024-06-14T10:59:45+00:00
56518,16500010061,49533333.07,25,2024,2024-06-19T19:43:20+00:00,2024-06-19T19:43:20+00:00
60675,16500010061,49533333.07,26,2024,2024-06-26T13:25:28+00:00,2024-06-26T13:25:28+00:00
64857,16500010061,50882352.94,27,2024,2024-07-05T19:30:53+00:00,2024-07-05T19:30:53+00:00
69035,16500010061,50882352.94,28,2024,2024-07-11T08:56:34+00:00,2024-07-11T08:56:34+00:00
73242,16500010061,40140000.00,29,2024,2024-07-21T13:28:49+00:00,2024-07-21T13:28:49+00:00
77508,16500010061,40140000.00,30,2024,2024-07-26T16:29:07+00:00,2024-07-26T16:29:07+00:00
81747,16500010061,39007615.38,32,2024,2024-08-07T20:19:22+00:00,2024-08-09T14:32:05+00:00
86057,16500010061,29327272.73,35,2024,2024-08-30T14:16:16+00:00,2024-08-30T14:16:16+00:00
90356,16500010061,24181818.18,37,2024,2024-09-11T14:23:03+00:00,2024-09-11T14:23:03+00:00
94675,16500010061,24181818.18,38,2024,2024-09-18T15:01:08+00:00,2024-09-18T15:01:08+00:00
99019,16500010061,30971428.57,39,2024,2024-09-25T12:12:29+00:00,2024-09-25T12:12:29+00:00
103285,16500010061,24103703.22,41,2024,2024-10-11T17:07:30+00:00,2024-10-11T17:07:30+00:00
107534,16500010061,7866666.20,44,2024,2024-11-03T16:45:46+00:00,2024-11-03T16:45:46+00:00
111805,16500010061,7999999.56,47,2024,2024-11-20T11:39:59+00:00,2024-11-20T11:39:59+00:00
116015,16500010061,27923076.92,50,2024,2024-12-11T16:50:42+00:00,2024-12-11T16:50:42+00:00
120271,16500010061,41999999.33,51,2024,2024-12-18T12:34:28+00:00,2024-12-18T12:34:28+00:00
124477,16500010061,34666665.83,1,2025,2025-01-01T20:12:15+00:00,2025-01-01T20:12:15+00:00
128663,16500010061,15184126.86,3,2025,2025-01-15T21:07:13+00:00,2025-01-15T21:07:13+00:00
132938,16500010061,15184126.86,6,2025,2025-02-04T20:23:31+00:00,2025-02-04T20:23:31+00:00
137305,16500010061,24666666.33,10,2025,2025-03-03T17:24:38+00:00,2025-03-03T17:24:38+00:00
141852,16500010061,14888888.60,11,2025,2025-03-12T11:03:47+00:00,2025-03-12T11:03:47+00:00
150864,16500010061,13999999.67,15,2025,2025-04-09T13:36:52+00:00,2025-04-09T13:36:52+00:00
155397,16500010061,17433332.50,17,2025,2025-04-23T12:06:51+00:00,2025-04-23T12:06:51+00:00
159865,16500010061,12516665.83,19,2025,2025-05-07T13:06:02+00:00,2025-05-07T13:06:02+00:00
173298,16500010061,12291666.38,25,2025,2025-06-18T11:56:21+00:00,2025-06-18T11:56:21+00:00
177882,16500010061,13037036.78,26,2025,2025-06-25T17:27:56+00:00,2025-06-25T17:27:56+00:00
182349,16500010061,1727373.64,28,2025,2025-07-09T13:07:24+00:00,2025-07-09T13:07:24+00:00
186786,16500010061,714376.57,30,2025,2025-07-23T20:40:30+00:00,2025-07-23T20:40:30+00:00
191190,16500010061,714376.57,32,2025,2025-08-06T13:29:39+00:00,2025-08-06T13:29:39+00:00
191191,16500010061,8250000.00,36,2025,2025-09-02T09:18:59+00:00,2025-09-02T09:18:59+00:00
191192,16500010061,22285713.86,37,2025,2025-09-10T21:57:44+00:00,2025-09-10T21:57:44+00:00
191193,16500010061,40777777.56,43,2025,2025-10-22T17:34:37+00:00,2025-10-22T17:34:37+00:00
191194,16500010061,16666666.67,51,2025,2025-12-20T14:25:07+00:00,2025-12-20T14:25:07+00:00
