id,item_id,price,week,year,date_created,date_updated
3940,16500030031,242500.00,11,2024,2024-03-17T14:21:00+00:00,2024-03-17T14:21:00+00:00
6395,16500030031,1449333.33,13,2024,2024-03-25T15:24:08+00:00,2024-03-25T15:24:08+00:00
23380,16500030031,446000.00,17,2024,2024-04-24T19:28:54+00:00,2024-04-24T19:28:54+00:00
27555,16500030031,446000.00,18,2024,2024-05-01T10:42:47+00:00,2024-05-01T10:42:47+00:00
40024,16500030031,415740.67,21,2024,2024-05-22T14:12:43+00:00,2024-05-22T14:12:43+00:00
44180,16500030031,415740.67,22,2024,2024-05-30T22:16:56+00:00,2024-05-30T22:16:56+00:00
65006,16500030031,2333332.00,27,2024,2024-07-05T19:31:01+00:00,2024-07-05T19:31:01+00:00
69184,16500030031,2333332.00,28,2024,2024-07-11T08:56:41+00:00,2024-07-11T08:56:41+00:00
90517,16500030031,4444444.00,37,2024,2024-09-11T14:23:11+00:00,2024-09-11T14:23:11+00:00
94836,16500030031,4444444.00,38,2024,2024-09-18T15:01:16+00:00,2024-09-18T15:01:16+00:00
99158,16500030031,2722221.50,39,2024,2024-09-25T12:12:37+00:00,2024-09-25T12:12:37+00:00
111939,16500030031,5400000.00,47,2024,2024-11-20T11:40:09+00:00,2024-11-20T11:40:09+00:00
146524,16500030031,900000.00,13,2025,2025-03-26T16:29:12+00:00,2025-03-26T16:29:12+00:00
146525,16500030031,103.00,37,2025,2025-09-10T21:58:03+00:00,2025-09-10T21:58:03+00:00
