id,item_id,price,week,year,date_created,date_updated
2556,16500065071,51666666.67,11,2024,2024-03-17T14:19:38+00:00,2024-03-17T14:19:38+00:00
6669,16500065071,16000000.00,13,2024,2024-03-25T15:24:19+00:00,2024-03-27T11:13:46+00:00
11065,16500065071,16000000.00,14,2024,2024-04-03T10:45:31+00:00,2024-04-03T10:45:31+00:00
15232,16500065071,30116993.33,15,2024,2024-04-10T12:45:16+00:00,2024-04-10T12:45:16+00:00
19441,16500065071,30116993.33,16,2024,2024-04-17T11:28:37+00:00,2024-04-17T11:28:37+00:00
23598,16500065071,56000326.67,17,2024,2024-04-24T19:29:03+00:00,2024-04-24T19:29:03+00:00
27773,16500065071,56000326.67,18,2024,2024-05-01T10:42:55+00:00,2024-05-01T10:42:55+00:00
40228,16500065071,39500000.00,21,2024,2024-05-22T14:12:52+00:00,2024-05-22T14:12:52+00:00
44384,16500065071,39500000.00,22,2024,2024-05-30T22:17:06+00:00,2024-05-30T22:17:06+00:00
48577,16500065071,59500000.00,23,2024,2024-06-06T20:47:20+00:00,2024-06-06T20:47:20+00:00
52745,16500065071,59500000.00,24,2024,2024-06-14T11:00:03+00:00,2024-06-14T11:00:03+00:00
56883,16500065071,64750000.00,25,2024,2024-06-19T19:43:36+00:00,2024-06-19T19:43:36+00:00
61040,16500065071,64750000.00,26,2024,2024-06-26T13:25:45+00:00,2024-06-26T13:25:45+00:00
65228,16500065071,37666666.33,27,2024,2024-07-05T19:31:11+00:00,2024-07-05T19:31:11+00:00
69406,16500065071,37666666.33,28,2024,2024-07-11T08:56:52+00:00,2024-07-11T08:56:52+00:00
73619,16500065071,33999999.80,29,2024,2024-07-21T13:29:07+00:00,2024-07-21T13:29:07+00:00
77885,16500065071,33999999.80,30,2024,2024-07-26T16:29:26+00:00,2024-07-26T16:29:26+00:00
82108,16500065071,33800000.00,32,2024,2024-08-07T20:19:39+00:00,2024-08-09T14:32:22+00:00
99366,16500065071,47000000.00,39,2024,2024-09-25T12:12:48+00:00,2024-09-25T12:12:48+00:00
116329,16500065071,19200039.60,50,2024,2024-12-11T16:51:05+00:00,2024-12-11T16:51:05+00:00
124799,16500065071,40500000.00,1,2025,2025-01-01T20:12:39+00:00,2025-01-01T20:12:39+00:00
146736,16500065071,9340665.93,13,2025,2025-03-26T16:29:27+00:00,2025-03-26T16:29:27+00:00
151234,16500065071,10673540.81,15,2025,2025-04-09T13:37:29+00:00,2025-04-09T13:37:29+00:00
155764,16500065071,31799999.40,17,2025,2025-04-23T12:07:19+00:00,2025-04-23T12:07:19+00:00
160233,16500065071,24374999.62,19,2025,2025-05-07T13:06:28+00:00,2025-05-07T13:06:28+00:00
164700,16500065071,42916666.50,21,2025,2025-05-21T19:50:09+00:00,2025-05-21T19:50:09+00:00
164701,16500065071,41819999.20,23,2025,2025-06-04T11:21:35+00:00,2025-06-04T11:21:35+00:00
164702,16500065071,28333039.00,25,2025,2025-06-18T11:56:49+00:00,2025-06-18T11:56:49+00:00
