id,item_id,price,week,year,date_created,date_updated
89,16500007051,69459459.46,11,2024,2024-03-17T14:18:31+00:00,2024-03-17T14:18:31+00:00
6191,16500007051,104464285.71,13,2024,2024-03-25T15:24:00+00:00,2024-03-27T11:13:31+00:00
10652,16500007051,104464285.71,14,2024,2024-04-03T10:45:13+00:00,2024-04-03T10:45:13+00:00
14804,16500007051,208333332.83,15,2024,2024-04-10T12:44:57+00:00,2024-04-10T12:44:57+00:00
19013,16500007051,208333332.83,16,2024,2024-04-17T11:28:19+00:00,2024-04-17T11:28:19+00:00
23191,16500007051,141540540.14,17,2024,2024-04-24T19:28:46+00:00,2024-04-24T19:28:46+00:00
27366,16500007051,141540540.14,18,2024,2024-05-01T10:42:39+00:00,2024-05-01T10:42:39+00:00
31539,16500007051,100000000.00,19,2024,2024-05-08T18:04:01+00:00,2024-05-08T18:04:01+00:00
35679,16500007051,100000000.00,20,2024,2024-05-15T18:20:42+00:00,2024-05-15T18:20:42+00:00
39836,16500007051,220454545.14,21,2024,2024-05-22T14:12:36+00:00,2024-05-22T14:12:36+00:00
43992,16500007051,220454545.14,22,2024,2024-05-30T22:16:48+00:00,2024-05-30T22:16:48+00:00
48164,16500007051,291428571.03,23,2024,2024-06-06T20:47:02+00:00,2024-06-06T20:47:02+00:00
52332,16500007051,291428571.03,24,2024,2024-06-14T10:59:44+00:00,2024-06-14T10:59:44+00:00
56490,16500007051,320740740.74,25,2024,2024-06-19T19:43:19+00:00,2024-06-19T19:43:19+00:00
60647,16500007051,320740740.74,26,2024,2024-06-26T13:25:27+00:00,2024-06-26T13:25:27+00:00
64829,16500007051,258333333.33,27,2024,2024-07-05T19:30:52+00:00,2024-07-05T19:30:52+00:00
69007,16500007051,258333333.33,28,2024,2024-07-11T08:56:33+00:00,2024-07-11T08:56:33+00:00
73211,16500007051,195714285.71,29,2024,2024-07-21T13:28:48+00:00,2024-07-21T13:28:48+00:00
77477,16500007051,195714285.71,30,2024,2024-07-26T16:29:06+00:00,2024-07-26T16:29:06+00:00
81718,16500007051,164370588.03,32,2024,2024-08-07T20:19:20+00:00,2024-08-09T14:32:04+00:00
86027,16500007051,229032257.77,35,2024,2024-08-30T14:16:14+00:00,2024-08-30T14:16:14+00:00
90326,16500007051,340370369.94,37,2024,2024-09-11T14:23:01+00:00,2024-09-11T14:23:01+00:00
94645,16500007051,340370369.94,38,2024,2024-09-18T15:01:07+00:00,2024-09-18T15:01:07+00:00
98992,16500007051,325285500.33,39,2024,2024-09-25T12:12:28+00:00,2024-09-25T12:12:28+00:00
103259,16500007051,164651985.65,41,2024,2024-10-11T17:07:27+00:00,2024-10-11T17:07:27+00:00
107506,16500007051,157788619.56,44,2024,2024-11-03T16:45:44+00:00,2024-11-03T16:45:44+00:00
111778,16500007051,66686274.51,47,2024,2024-11-20T11:39:57+00:00,2024-11-20T11:39:57+00:00
115986,16500007051,71500000.00,50,2024,2024-12-11T16:50:40+00:00,2024-12-11T16:50:40+00:00
120243,16500007051,71107142.71,51,2024,2024-12-18T12:34:26+00:00,2024-12-18T12:34:26+00:00
124449,16500007051,76231034.34,1,2025,2025-01-01T20:12:13+00:00,2025-01-01T20:12:13+00:00
128637,16500007051,115865957.45,3,2025,2025-01-15T21:07:11+00:00,2025-01-15T21:07:11+00:00
132912,16500007051,115865957.45,6,2025,2025-02-04T20:23:28+00:00,2025-02-04T20:23:28+00:00
137277,16500007051,86764705.88,10,2025,2025-03-03T17:24:36+00:00,2025-03-03T17:24:36+00:00
141823,16500007051,87117647.06,11,2025,2025-03-12T11:03:45+00:00,2025-03-12T11:03:45+00:00
146342,16500007051,90181818.00,13,2025,2025-03-26T16:28:57+00:00,2025-03-26T16:28:57+00:00
150837,16500007051,82959999.36,15,2025,2025-04-09T13:36:49+00:00,2025-04-09T13:36:49+00:00
155371,16500007051,88272727.27,17,2025,2025-04-23T12:06:49+00:00,2025-04-23T12:06:49+00:00
159841,16500007051,88424242.36,19,2025,2025-05-07T13:06:00+00:00,2025-05-07T13:06:00+00:00
164312,16500007051,75022222.13,21,2025,2025-05-21T19:49:39+00:00,2025-05-21T19:49:39+00:00
168844,16500007051,81221883.22,23,2025,2025-06-04T11:21:05+00:00,2025-06-04T11:21:05+00:00
173271,16500007051,58081103.76,25,2025,2025-06-18T11:56:19+00:00,2025-06-18T11:56:19+00:00
177857,16500007051,37333565.05,26,2025,2025-06-25T17:27:54+00:00,2025-06-25T17:27:54+00:00
182318,16500007051,43636774.77,28,2025,2025-07-09T13:07:21+00:00,2025-07-09T13:07:21+00:00
186758,16500007051,84761904.76,30,2025,2025-07-23T20:40:28+00:00,2025-07-23T20:40:28+00:00
191162,16500007051,84761904.76,32,2025,2025-08-06T13:29:37+00:00,2025-08-06T13:29:37+00:00
191163,16500007051,94227272.27,36,2025,2025-09-02T09:18:57+00:00,2025-09-02T09:18:57+00:00
191164,16500007051,114149877.71,37,2025,2025-09-10T21:57:41+00:00,2025-09-10T21:57:41+00:00
