id,item_id,price,week,year,date_created,date_updated
31902,16500059101,6342000000.00,19,2024,2024-05-08T18:04:17+00:00,2024-05-08T18:04:17+00:00
36042,16500059101,6342000000.00,20,2024,2024-05-15T18:20:57+00:00,2024-05-15T18:20:57+00:00
56858,16500059101,4999999999.00,25,2024,2024-06-19T19:43:35+00:00,2024-06-19T19:43:35+00:00
61015,16500059101,4999999999.00,26,2024,2024-06-26T13:25:43+00:00,2024-06-26T13:25:43+00:00
82083,16500059101,6000000000.00,32,2024,2024-08-07T20:19:37+00:00,2024-08-09T14:32:20+00:00
90720,16500059101,1233333333.00,37,2024,2024-09-11T14:23:21+00:00,2024-09-11T14:23:21+00:00
95039,16500059101,1233333333.00,38,2024,2024-09-18T15:01:26+00:00,2024-09-18T15:01:26+00:00
99345,16500059101,1716666666.50,39,2024,2024-09-25T12:12:47+00:00,2024-09-25T12:12:47+00:00
103600,16500059101,1683333335.33,41,2024,2024-10-11T17:08:03+00:00,2024-10-11T17:08:03+00:00
120571,16500059101,1000000000.00,51,2024,2024-12-18T12:34:54+00:00,2024-12-18T12:34:54+00:00
124774,16500059101,1500005061.50,1,2025,2025-01-01T20:12:37+00:00,2025-01-01T20:12:37+00:00
137658,16500059101,7556807807.17,10,2025,2025-03-03T17:25:03+00:00,2025-03-03T17:25:03+00:00
142190,16500059101,6865666666.67,11,2025,2025-03-12T11:04:13+00:00,2025-03-12T11:04:13+00:00
146711,16500059101,8200000000.00,13,2025,2025-03-26T16:29:25+00:00,2025-03-26T16:29:25+00:00
160209,16500059101,8885000000.00,19,2025,2025-05-07T13:06:26+00:00,2025-05-07T13:06:26+00:00
164682,16500059101,11735353533.33,21,2025,2025-05-21T19:50:07+00:00,2025-05-21T19:50:07+00:00
169184,16500059101,12238535353.50,23,2025,2025-06-04T11:21:33+00:00,2025-06-04T11:21:33+00:00
182667,16500059101,12000000000.00,28,2025,2025-07-09T13:08:07+00:00,2025-07-09T13:08:07+00:00
187102,16500059101,9833333333.33,30,2025,2025-07-23T20:40:53+00:00,2025-07-23T20:40:53+00:00
191506,16500059101,9833333333.33,32,2025,2025-08-06T13:30:03+00:00,2025-08-06T13:30:03+00:00
191507,16500059101,9650000000.00,36,2025,2025-09-02T09:19:21+00:00,2025-09-02T09:19:21+00:00
191508,16500059101,7556500000.00,43,2025,2025-10-22T17:34:57+00:00,2025-10-22T17:34:57+00:00
