id,item_id,price,week,year,date_created,date_updated
3494,16500049011,10000.00,11,2024,2024-03-17T14:20:30+00:00,2024-03-17T14:20:30+00:00
6556,16500049011,10001.04,13,2024,2024-03-25T15:24:14+00:00,2024-03-27T11:13:43+00:00
10978,16500049011,10001.04,14,2024,2024-04-03T10:45:27+00:00,2024-04-03T10:45:27+00:00
23515,16500049011,13565.22,17,2024,2024-04-24T19:29:00+00:00,2024-04-24T19:29:00+00:00
27690,16500049011,13565.22,18,2024,2024-05-01T10:42:52+00:00,2024-05-01T10:42:52+00:00
31849,16500049011,17333.33,19,2024,2024-05-08T18:04:15+00:00,2024-05-08T18:04:15+00:00
35989,16500049011,17333.33,20,2024,2024-05-15T18:20:55+00:00,2024-05-15T18:20:55+00:00
48490,16500049011,200.00,23,2024,2024-06-06T20:47:16+00:00,2024-06-06T20:47:16+00:00
52658,16500049011,200.00,24,2024,2024-06-14T10:59:59+00:00,2024-06-14T10:59:59+00:00
56792,16500049011,280040.00,25,2024,2024-06-19T19:43:32+00:00,2024-06-19T19:43:32+00:00
60949,16500049011,280040.00,26,2024,2024-06-26T13:25:40+00:00,2024-06-26T13:25:40+00:00
65153,16500049011,493650.43,27,2024,2024-07-05T19:31:08+00:00,2024-07-05T19:31:08+00:00
69331,16500049011,493650.43,28,2024,2024-07-11T08:56:48+00:00,2024-07-11T08:56:48+00:00
99283,16500049011,11111.00,39,2024,2024-09-25T12:12:44+00:00,2024-09-25T12:12:44+00:00
124719,16500049011,111.00,1,2025,2025-01-01T20:12:33+00:00,2025-01-01T20:12:33+00:00
142137,16500049011,457998.20,11,2025,2025-03-12T11:04:09+00:00,2025-03-12T11:04:09+00:00
155661,16500049011,11.48,17,2025,2025-04-23T12:07:11+00:00,2025-04-23T12:07:11+00:00
160142,16500049011,11.55,19,2025,2025-05-07T13:06:22+00:00,2025-05-07T13:06:22+00:00
