id,item_id,price,week,year,date_created,date_updated
3246,16500005071,193953488.37,11,2024,2024-03-17T14:20:15+00:00,2024-03-17T14:20:15+00:00
6174,16500005071,206071097.56,13,2024,2024-03-25T15:23:59+00:00,2024-03-27T11:13:30+00:00
10634,16500005071,206071097.56,14,2024,2024-04-03T10:45:13+00:00,2024-04-03T10:45:13+00:00
14787,16500005071,294998068.18,15,2024,2024-04-10T12:44:56+00:00,2024-04-10T12:44:56+00:00
18996,16500005071,294998068.18,16,2024,2024-04-17T11:28:18+00:00,2024-04-17T11:28:18+00:00
23174,16500005071,292105263.16,17,2024,2024-04-24T19:28:46+00:00,2024-04-24T19:28:46+00:00
27349,16500005071,292105263.16,18,2024,2024-05-01T10:42:39+00:00,2024-05-01T10:42:39+00:00
31523,16500005071,249117264.71,19,2024,2024-05-08T18:04:01+00:00,2024-05-08T18:04:01+00:00
35663,16500005071,249117264.71,20,2024,2024-05-15T18:20:42+00:00,2024-05-15T18:20:42+00:00
39819,16500005071,278766259.23,21,2024,2024-05-22T14:12:35+00:00,2024-05-22T14:12:35+00:00
43975,16500005071,278766259.23,22,2024,2024-05-30T22:16:47+00:00,2024-05-30T22:16:47+00:00
48146,16500005071,274705882.35,23,2024,2024-06-06T20:47:01+00:00,2024-06-06T20:47:01+00:00
52314,16500005071,274705882.35,24,2024,2024-06-14T10:59:43+00:00,2024-06-14T10:59:43+00:00
56473,16500005071,279538461.23,25,2024,2024-06-19T19:43:19+00:00,2024-06-19T19:43:19+00:00
60630,16500005071,279538461.23,26,2024,2024-06-26T13:25:26+00:00,2024-06-26T13:25:26+00:00
64814,16500005071,263181817.84,27,2024,2024-07-05T19:30:52+00:00,2024-07-05T19:30:52+00:00
68992,16500005071,263181817.84,28,2024,2024-07-11T08:56:33+00:00,2024-07-11T08:56:33+00:00
73194,16500005071,247254901.33,29,2024,2024-07-21T13:28:47+00:00,2024-07-21T13:28:47+00:00
77460,16500005071,247254901.33,30,2024,2024-07-26T16:29:05+00:00,2024-07-26T16:29:05+00:00
81702,16500005071,218418604.65,32,2024,2024-08-07T20:19:20+00:00,2024-08-09T14:32:03+00:00
86009,16500005071,144822221.93,35,2024,2024-08-30T14:16:14+00:00,2024-08-30T14:16:14+00:00
90312,16500005071,194272727.27,37,2024,2024-09-11T14:23:01+00:00,2024-09-11T14:23:01+00:00
94631,16500005071,194272727.27,38,2024,2024-09-18T15:01:06+00:00,2024-09-18T15:01:06+00:00
98975,16500005071,213267796.61,39,2024,2024-09-25T12:12:27+00:00,2024-09-25T12:12:27+00:00
103244,16500005071,218080000.00,41,2024,2024-10-11T17:07:26+00:00,2024-10-11T17:07:26+00:00
107488,16500005071,186783783.78,44,2024,2024-11-03T16:45:43+00:00,2024-11-03T16:45:43+00:00
111762,16500005071,167812499.78,47,2024,2024-11-20T11:39:56+00:00,2024-11-20T11:39:56+00:00
115970,16500005071,223999999.74,50,2024,2024-12-11T16:50:39+00:00,2024-12-11T16:50:39+00:00
120225,16500005071,261838709.32,51,2024,2024-12-18T12:34:25+00:00,2024-12-18T12:34:25+00:00
124432,16500005071,182617646.53,1,2025,2025-01-01T20:12:12+00:00,2025-01-01T20:12:12+00:00
128621,16500005071,146216216.22,3,2025,2025-01-15T21:07:10+00:00,2025-01-15T21:07:10+00:00
132896,16500005071,146216216.22,6,2025,2025-02-04T20:23:27+00:00,2025-02-04T20:23:27+00:00
137261,16500005071,112652329.55,10,2025,2025-03-03T17:24:34+00:00,2025-03-03T17:24:34+00:00
141806,16500005071,133293649.29,11,2025,2025-03-12T11:03:43+00:00,2025-03-12T11:03:43+00:00
146324,16500005071,105299999.20,13,2025,2025-03-26T16:28:56+00:00,2025-03-26T16:28:56+00:00
150821,16500005071,103633633.32,15,2025,2025-04-09T13:36:47+00:00,2025-04-09T13:36:47+00:00
155354,16500005071,144148148.10,17,2025,2025-04-23T12:06:48+00:00,2025-04-23T12:06:48+00:00
159824,16500005071,105517237.59,19,2025,2025-05-07T13:05:59+00:00,2025-05-07T13:05:59+00:00
164298,16500005071,119565212.61,21,2025,2025-05-21T19:49:38+00:00,2025-05-21T19:49:38+00:00
168829,16500005071,95862068.97,23,2025,2025-06-04T11:21:03+00:00,2025-06-04T11:21:03+00:00
173257,16500005071,111554285.71,25,2025,2025-06-18T11:56:18+00:00,2025-06-18T11:56:18+00:00
177841,16500005071,123575000.00,26,2025,2025-06-25T17:27:53+00:00,2025-06-25T17:27:53+00:00
182303,16500005071,133095238.00,28,2025,2025-07-09T13:07:19+00:00,2025-07-09T13:07:19+00:00
186744,16500005071,120939999.90,30,2025,2025-07-23T20:40:27+00:00,2025-07-23T20:40:27+00:00
191148,16500005071,120939999.90,32,2025,2025-08-06T13:29:36+00:00,2025-08-06T13:29:36+00:00
191149,16500005071,111679979.80,36,2025,2025-09-02T09:18:56+00:00,2025-09-02T09:18:56+00:00
191150,16500005071,160961538.46,37,2025,2025-09-10T21:57:39+00:00,2025-09-10T21:57:39+00:00
