id,item_id,price,week,year,date_created,date_updated
3792,16500004041,2000000.39,11,2024,2024-03-17T14:20:50+00:00,2024-03-17T14:20:50+00:00
8482,16500004041,3333333.27,13,2024,2024-03-27T11:13:30+00:00,2024-03-27T11:13:30+00:00
10621,16500004041,3333333.27,14,2024,2024-04-03T10:45:12+00:00,2024-04-03T10:45:12+00:00
23161,16500004041,2845000.00,17,2024,2024-04-24T19:28:45+00:00,2024-04-24T19:28:45+00:00
27336,16500004041,2845000.00,18,2024,2024-05-01T10:42:38+00:00,2024-05-01T10:42:38+00:00
56461,16500004041,4000000.00,25,2024,2024-06-19T19:43:18+00:00,2024-06-19T19:43:18+00:00
60618,16500004041,4000000.00,26,2024,2024-06-26T13:25:25+00:00,2024-06-26T13:25:25+00:00
64801,16500004041,5849999.50,27,2024,2024-07-05T19:30:51+00:00,2024-07-05T19:30:51+00:00
68979,16500004041,5849999.50,28,2024,2024-07-11T08:56:32+00:00,2024-07-11T08:56:32+00:00
73181,16500004041,2433836.25,29,2024,2024-07-21T13:28:47+00:00,2024-07-21T13:28:47+00:00
77447,16500004041,2433836.25,30,2024,2024-07-26T16:29:04+00:00,2024-07-26T16:29:04+00:00
90299,16500004041,300000.50,37,2024,2024-09-11T14:23:00+00:00,2024-09-11T14:23:00+00:00
94618,16500004041,300000.50,38,2024,2024-09-18T15:01:05+00:00,2024-09-18T15:01:05+00:00
107476,16500004041,1799999.00,44,2024,2024-11-03T16:45:42+00:00,2024-11-03T16:45:42+00:00
124420,16500004041,4899999.00,1,2025,2025-01-01T20:12:11+00:00,2025-01-01T20:12:11+00:00
128611,16500004041,4266666.00,3,2025,2025-01-15T21:07:09+00:00,2025-01-15T21:07:09+00:00
132886,16500004041,4266666.00,6,2025,2025-02-04T20:23:26+00:00,2025-02-04T20:23:26+00:00
141793,16500004041,10.00,11,2025,2025-03-12T11:03:42+00:00,2025-03-12T11:03:42+00:00
146312,16500004041,2025030.25,13,2025,2025-03-26T16:28:55+00:00,2025-03-26T16:28:55+00:00
150808,16500004041,227.56,15,2025,2025-04-09T13:36:46+00:00,2025-04-09T13:36:46+00:00
164286,16500004041,41.00,21,2025,2025-05-21T19:49:37+00:00,2025-05-21T19:49:37+00:00
164287,16500004041,375009.50,23,2025,2025-06-04T11:21:02+00:00,2025-06-04T11:21:02+00:00
