id,item_id,price,week,year,date_created,date_updated
6586,16500052051,4499999.00,13,2024,2024-03-25T15:24:15+00:00,2024-03-25T15:24:15+00:00
40166,16500052051,4000000.00,21,2024,2024-05-22T14:12:49+00:00,2024-05-22T14:12:49+00:00
44322,16500052051,4000000.00,22,2024,2024-05-30T22:17:03+00:00,2024-05-30T22:17:03+00:00
56814,16500052051,200000.00,25,2024,2024-06-19T19:43:33+00:00,2024-06-19T19:43:33+00:00
60971,16500052051,200000.00,26,2024,2024-06-26T13:25:41+00:00,2024-06-26T13:25:41+00:00
82043,16500052051,1999995.00,32,2024,2024-08-07T20:19:35+00:00,2024-08-09T14:32:18+00:00
90682,16500052051,1500000.00,37,2024,2024-09-11T14:23:19+00:00,2024-09-11T14:23:19+00:00
95001,16500052051,1500000.00,38,2024,2024-09-18T15:01:24+00:00,2024-09-18T15:01:24+00:00
155688,16500052051,51.40,17,2025,2025-04-23T12:07:13+00:00,2025-04-23T12:07:13+00:00
164632,16500052051,500000.00,21,2025,2025-05-21T19:50:03+00:00,2025-05-21T19:50:03+00:00
164633,16500052051,19130532.80,25,2025,2025-06-18T11:56:44+00:00,2025-06-18T11:56:44+00:00
