id,item_id,price,week,year,date_created,date_updated
6361,16500026031,988888.00,13,2024,2024-03-25T15:24:06+00:00,2024-03-25T15:24:06+00:00
23352,16500026031,10000.00,17,2024,2024-04-24T19:28:53+00:00,2024-04-24T19:28:53+00:00
27527,16500026031,10000.00,18,2024,2024-05-01T10:42:46+00:00,2024-05-01T10:42:46+00:00
31686,16500026031,1249499.50,19,2024,2024-05-08T18:04:08+00:00,2024-05-08T18:04:08+00:00
35826,16500026031,1249499.50,20,2024,2024-05-15T18:20:48+00:00,2024-05-15T18:20:48+00:00
39996,16500026031,755000.00,21,2024,2024-05-22T14:12:42+00:00,2024-05-22T14:12:42+00:00
44152,16500026031,755000.00,22,2024,2024-05-30T22:16:55+00:00,2024-05-30T22:16:55+00:00
48323,16500026031,7537.50,23,2024,2024-06-06T20:47:09+00:00,2024-06-06T20:47:09+00:00
52491,16500026031,7537.50,24,2024,2024-06-14T10:59:51+00:00,2024-06-14T10:59:51+00:00
64979,16500026031,99666.00,27,2024,2024-07-05T19:30:59+00:00,2024-07-05T19:30:59+00:00
69157,16500026031,99666.00,28,2024,2024-07-11T08:56:40+00:00,2024-07-11T08:56:40+00:00
107655,16500026031,700000.00,44,2024,2024-11-03T16:45:53+00:00,2024-11-03T16:45:53+00:00
146501,16500026031,6.00,13,2025,2025-03-26T16:29:10+00:00,2025-03-26T16:29:10+00:00
173426,16500026031,500000.00,25,2025,2025-06-18T11:56:30+00:00,2025-06-18T11:56:30+00:00
178008,16500026031,2166666.67,26,2025,2025-06-25T17:28:06+00:00,2025-06-25T17:28:06+00:00
186897,16500026031,2900000.00,30,2025,2025-07-23T20:40:38+00:00,2025-07-23T20:40:38+00:00
191301,16500026031,2900000.00,32,2025,2025-08-06T13:29:47+00:00,2025-08-06T13:29:47+00:00
191302,16500026031,3000000.00,39,2025,2025-09-24T16:18:18+00:00,2025-09-24T16:18:18+00:00
