id,item_id,price,week,year,date_created,date_updated
3916,16500039071,11700000.00,11,2024,2024-03-17T14:20:58+00:00,2024-03-17T14:20:58+00:00
31785,16500039071,9333333.33,19,2024,2024-05-08T18:04:12+00:00,2024-05-08T18:04:12+00:00
35925,16500039071,9333333.33,20,2024,2024-05-15T18:20:52+00:00,2024-05-15T18:20:52+00:00
48433,16500039071,28000.00,23,2024,2024-06-06T20:47:14+00:00,2024-06-06T20:47:14+00:00
52601,16500039071,28000.00,24,2024,2024-06-14T10:59:56+00:00,2024-06-14T10:59:56+00:00
56732,16500039071,4458444.00,25,2024,2024-06-19T19:43:29+00:00,2024-06-19T19:43:29+00:00
60889,16500039071,4458444.00,26,2024,2024-06-26T13:25:37+00:00,2024-06-26T13:25:37+00:00
86269,16500039071,20000000.00,35,2024,2024-08-30T14:16:26+00:00,2024-08-30T14:16:26+00:00
90596,16500039071,16571428.57,37,2024,2024-09-11T14:23:14+00:00,2024-09-11T14:23:14+00:00
94915,16500039071,16571428.57,38,2024,2024-09-18T15:01:20+00:00,2024-09-18T15:01:20+00:00
103486,16500039071,5000000.00,41,2024,2024-10-11T17:07:50+00:00,2024-10-11T17:07:50+00:00
112009,16500039071,9928928.57,47,2024,2024-11-20T11:40:14+00:00,2024-11-20T11:40:14+00:00
116216,16500039071,12501666.50,50,2024,2024-12-11T16:50:56+00:00,2024-12-11T16:50:56+00:00
124674,16500039071,100.00,1,2025,2025-01-01T20:12:29+00:00,2025-01-01T20:12:29+00:00
142071,16500039071,20000000.00,11,2025,2025-03-12T11:04:04+00:00,2025-03-12T11:04:04+00:00
164562,16500039071,25000000.50,21,2025,2025-05-21T19:49:58+00:00,2025-05-21T19:49:58+00:00
164563,16500039071,14082749.38,23,2025,2025-06-04T11:21:24+00:00,2025-06-04T11:21:24+00:00
164564,16500039071,20384614.62,25,2025,2025-06-18T11:56:38+00:00,2025-06-18T11:56:38+00:00
164565,16500039071,15666667.00,26,2025,2025-06-25T17:28:13+00:00,2025-06-25T17:28:13+00:00
164566,16500039071,11285714.14,28,2025,2025-07-09T13:07:49+00:00,2025-07-09T13:07:49+00:00
