id,item_id,price,week,year,date_created,date_updated
6279,16500017021,278400.00,13,2024,2024-03-25T15:24:03+00:00,2024-03-27T11:13:34+00:00
10735,16500017021,278400.00,14,2024,2024-04-03T10:45:17+00:00,2024-04-03T10:45:17+00:00
23277,16500017021,10001.00,17,2024,2024-04-24T19:28:50+00:00,2024-04-24T19:28:50+00:00
27452,16500017021,10001.00,18,2024,2024-05-01T10:42:43+00:00,2024-05-01T10:42:43+00:00
39923,16500017021,601428.57,21,2024,2024-05-22T14:12:39+00:00,2024-05-22T14:12:39+00:00
44079,16500017021,601428.57,22,2024,2024-05-30T22:16:52+00:00,2024-05-30T22:16:52+00:00
48249,16500017021,1111000.00,23,2024,2024-06-06T20:47:05+00:00,2024-06-06T20:47:05+00:00
52417,16500017021,1111000.00,24,2024,2024-06-14T10:59:48+00:00,2024-06-14T10:59:48+00:00
73304,16500017021,1006.00,29,2024,2024-07-21T13:28:52+00:00,2024-07-21T13:28:52+00:00
77570,16500017021,1006.00,30,2024,2024-07-26T16:29:10+00:00,2024-07-26T16:29:10+00:00
86108,16500017021,1066666.67,35,2024,2024-08-30T14:16:18+00:00,2024-08-30T14:16:18+00:00
90410,16500017021,2209333.33,37,2024,2024-09-11T14:23:05+00:00,2024-09-11T14:23:05+00:00
94729,16500017021,2209333.33,38,2024,2024-09-18T15:01:11+00:00,2024-09-18T15:01:11+00:00
99070,16500017021,2210500.00,39,2024,2024-09-25T12:12:32+00:00,2024-09-25T12:12:32+00:00
103334,16500017021,2075000.00,41,2024,2024-10-11T17:07:35+00:00,2024-10-11T17:07:35+00:00
107587,16500017021,1850000.00,44,2024,2024-11-03T16:45:49+00:00,2024-11-03T16:45:49+00:00
111856,16500017021,1666666.67,47,2024,2024-11-20T11:40:03+00:00,2024-11-20T11:40:03+00:00
120323,16500017021,2212000.00,51,2024,2024-12-18T12:34:32+00:00,2024-12-18T12:34:32+00:00
128709,16500017021,2210999.50,3,2025,2025-01-15T21:07:16+00:00,2025-01-15T21:07:16+00:00
132984,16500017021,2210999.50,6,2025,2025-02-04T20:23:35+00:00,2025-02-04T20:23:35+00:00
137365,16500017021,380804.80,10,2025,2025-03-03T17:24:42+00:00,2025-03-03T17:24:42+00:00
141899,16500017021,824.40,11,2025,2025-03-12T11:03:51+00:00,2025-03-12T11:03:51+00:00
146427,16500017021,98.58,13,2025,2025-03-26T16:29:03+00:00,2025-03-26T16:29:03+00:00
150924,16500017021,96.25,15,2025,2025-04-09T13:36:59+00:00,2025-04-09T13:36:59+00:00
155454,16500017021,98.12,17,2025,2025-04-23T12:06:55+00:00,2025-04-23T12:06:55+00:00
164391,16500017021,93.50,21,2025,2025-05-21T19:49:45+00:00,2025-05-21T19:49:45+00:00
164392,16500017021,94.29,23,2025,2025-06-04T11:21:11+00:00,2025-06-04T11:21:11+00:00
164393,16500017021,90.36,25,2025,2025-06-18T11:56:25+00:00,2025-06-18T11:56:25+00:00
164394,16500017021,92.95,26,2025,2025-06-25T17:27:59+00:00,2025-06-25T17:27:59+00:00
