id,item_id,price,week,year,date_created,date_updated
2650,16500012011,10055.33,11,2024,2024-03-17T14:19:43+00:00,2024-03-17T14:19:43+00:00
6235,16500012011,16411.34,13,2024,2024-03-25T15:24:01+00:00,2024-03-27T11:13:32+00:00
10694,16500012011,16411.34,14,2024,2024-04-03T10:45:15+00:00,2024-04-03T10:45:15+00:00
14850,16500012011,24027.78,15,2024,2024-04-10T12:44:59+00:00,2024-04-10T12:44:59+00:00
19059,16500012011,24027.78,16,2024,2024-04-17T11:28:21+00:00,2024-04-17T11:28:21+00:00
23235,16500012011,709999.80,17,2024,2024-04-24T19:28:48+00:00,2024-04-24T19:28:48+00:00
27410,16500012011,709999.80,18,2024,2024-05-01T10:42:41+00:00,2024-05-01T10:42:41+00:00
31580,16500012011,54545.36,19,2024,2024-05-08T18:04:03+00:00,2024-05-08T18:04:03+00:00
35720,16500012011,54545.36,20,2024,2024-05-15T18:20:44+00:00,2024-05-15T18:20:44+00:00
48207,16500012011,275000.00,23,2024,2024-06-06T20:47:04+00:00,2024-06-06T20:47:04+00:00
52375,16500012011,275000.00,24,2024,2024-06-14T10:59:46+00:00,2024-06-14T10:59:46+00:00
56533,16500012011,318500.00,25,2024,2024-06-19T19:43:21+00:00,2024-06-19T19:43:21+00:00
60690,16500012011,318500.00,26,2024,2024-06-26T13:25:28+00:00,2024-06-26T13:25:28+00:00
73257,16500012011,1006.00,29,2024,2024-07-21T13:28:50+00:00,2024-07-21T13:28:50+00:00
77523,16500012011,1006.00,30,2024,2024-07-26T16:29:08+00:00,2024-07-26T16:29:08+00:00
81762,16500012011,15130.75,32,2024,2024-08-07T20:19:22+00:00,2024-08-09T14:32:05+00:00
86072,16500012011,56665.00,35,2024,2024-08-30T14:16:16+00:00,2024-08-30T14:16:16+00:00
99034,16500012011,85000.00,39,2024,2024-09-25T12:12:30+00:00,2024-09-25T12:12:30+00:00
103300,16500012011,84500.00,41,2024,2024-10-11T17:07:31+00:00,2024-10-11T17:07:31+00:00
111820,16500012011,85764284.00,47,2024,2024-11-20T11:40:00+00:00,2024-11-20T11:40:00+00:00
116030,16500012011,247141.00,50,2024,2024-12-11T16:50:43+00:00,2024-12-11T16:50:43+00:00
120286,16500012011,491666.17,51,2024,2024-12-18T12:34:29+00:00,2024-12-18T12:34:29+00:00
124491,16500012011,342856.86,1,2025,2025-01-01T20:12:16+00:00,2025-01-01T20:12:16+00:00
137320,16500012011,849.52,10,2025,2025-03-03T17:24:38+00:00,2025-03-03T17:24:38+00:00
141867,16500012011,783.42,11,2025,2025-03-12T11:03:48+00:00,2025-03-12T11:03:48+00:00
146382,16500012011,296.30,13,2025,2025-03-26T16:29:00+00:00,2025-03-26T16:29:00+00:00
150877,16500012011,76662.94,15,2025,2025-04-09T13:36:54+00:00,2025-04-09T13:36:54+00:00
155411,16500012011,102.26,17,2025,2025-04-23T12:06:52+00:00,2025-04-23T12:06:52+00:00
159880,16500012011,11.75,19,2025,2025-05-07T13:06:03+00:00,2025-05-07T13:06:03+00:00
164354,16500012011,125008.38,21,2025,2025-05-21T19:49:42+00:00,2025-05-21T19:49:42+00:00
164355,16500012011,499999.67,23,2025,2025-06-04T11:21:08+00:00,2025-06-04T11:21:08+00:00
