id,item_id,price,week,year,date_created,date_updated
1866,16006000004,3664999982.50,11,2024,2024-03-17T14:19:10+00:00,2024-03-17T14:19:10+00:00
6069,16006000004,3209666660.33,13,2024,2024-03-25T15:23:55+00:00,2024-03-27T11:13:26+00:00
10529,16006000004,3209666660.33,14,2024,2024-04-03T10:45:09+00:00,2024-04-03T10:45:09+00:00
14684,16006000004,4374999966.29,15,2024,2024-04-10T12:44:53+00:00,2024-04-10T12:44:53+00:00
18893,16006000004,4374999966.29,16,2024,2024-04-17T11:28:14+00:00,2024-04-17T11:28:14+00:00
31425,16006000004,4715714226.71,19,2024,2024-05-08T18:03:57+00:00,2024-05-08T18:03:57+00:00
35565,16006000004,4715714226.71,20,2024,2024-05-15T18:20:38+00:00,2024-05-15T18:20:38+00:00
39715,16006000004,4641764692.00,21,2024,2024-05-22T14:12:31+00:00,2024-05-22T14:12:31+00:00
43871,16006000004,4641764692.00,22,2024,2024-05-30T22:16:43+00:00,2024-05-30T22:16:43+00:00
48034,16006000004,4794333326.78,23,2024,2024-06-06T20:46:57+00:00,2024-06-06T20:46:57+00:00
52202,16006000004,4794333326.78,24,2024,2024-06-14T10:59:38+00:00,2024-06-14T10:59:38+00:00
64698,16006000004,4900000000.00,27,2024,2024-07-05T19:30:46+00:00,2024-07-05T19:30:46+00:00
68876,16006000004,4900000000.00,28,2024,2024-07-11T08:56:28+00:00,2024-07-11T08:56:28+00:00
73078,16006000004,4779090909.09,29,2024,2024-07-21T13:28:42+00:00,2024-07-21T13:28:42+00:00
77344,16006000004,4779090909.09,30,2024,2024-07-26T16:29:00+00:00,2024-07-26T16:29:00+00:00
85895,16006000004,2340000000.00,35,2024,2024-08-30T14:16:08+00:00,2024-08-30T14:16:08+00:00
90194,16006000004,3892333313.67,37,2024,2024-09-11T14:22:55+00:00,2024-09-11T14:22:55+00:00
94513,16006000004,3892333313.67,38,2024,2024-09-18T15:01:00+00:00,2024-09-18T15:01:00+00:00
98856,16006000004,3871166656.83,39,2024,2024-09-25T12:12:21+00:00,2024-09-25T12:12:21+00:00
103120,16006000004,3055599866.53,41,2024,2024-10-11T17:07:12+00:00,2024-10-11T17:07:12+00:00
107366,16006000004,2732999801.91,44,2024,2024-11-03T16:45:35+00:00,2024-11-03T16:45:35+00:00
111645,16006000004,4628999758.11,47,2024,2024-11-20T11:39:49+00:00,2024-11-20T11:39:49+00:00
115855,16006000004,3882307682.85,50,2024,2024-12-11T16:50:31+00:00,2024-12-11T16:50:31+00:00
120093,16006000004,2578166630.33,51,2024,2024-12-18T12:34:15+00:00,2024-12-18T12:34:15+00:00
124311,16006000004,2981399976.40,1,2025,2025-01-01T20:12:03+00:00,2025-01-01T20:12:03+00:00
128491,16006000004,2415411733.47,3,2025,2025-01-15T21:07:01+00:00,2025-01-15T21:07:01+00:00
132766,16006000004,2415411733.47,6,2025,2025-02-04T20:23:13+00:00,2025-02-04T20:23:13+00:00
137097,16006000004,4366019853.17,10,2025,2025-03-03T17:24:24+00:00,2025-03-03T17:24:24+00:00
141631,16006000004,3903999992.62,11,2025,2025-03-12T11:03:31+00:00,2025-03-12T11:03:31+00:00
146163,16006000004,3593066666.67,13,2025,2025-03-26T16:28:45+00:00,2025-03-26T16:28:45+00:00
150654,16006000004,5008909090.91,15,2025,2025-04-09T13:36:32+00:00,2025-04-09T13:36:32+00:00
155193,16006000004,5351000000.00,17,2025,2025-04-23T12:06:37+00:00,2025-04-23T12:06:37+00:00
159668,16006000004,5972200000.00,19,2025,2025-05-07T13:05:48+00:00,2025-05-07T13:05:48+00:00
164137,16006000004,6416666667.67,21,2025,2025-05-21T19:49:24+00:00,2025-05-21T19:49:24+00:00
168670,16006000004,5151800001.20,23,2025,2025-06-04T11:20:52+00:00,2025-06-04T11:20:52+00:00
173076,16006000004,4858333333.33,25,2025,2025-06-18T11:56:06+00:00,2025-06-18T11:56:06+00:00
177657,16006000004,4951499977.88,26,2025,2025-06-25T17:27:40+00:00,2025-06-25T17:27:40+00:00
182106,16006000004,4594999980.33,28,2025,2025-07-09T13:06:52+00:00,2025-07-09T13:06:52+00:00
186540,16006000004,3818692307.69,30,2025,2025-07-23T20:40:13+00:00,2025-07-23T20:40:13+00:00
190944,16006000004,3818692307.69,32,2025,2025-08-06T13:29:19+00:00,2025-08-06T13:29:19+00:00
190945,16006000004,3514333333.33,36,2025,2025-09-02T09:18:42+00:00,2025-09-02T09:18:42+00:00
190946,16006000004,3865499996.70,37,2025,2025-09-10T21:57:18+00:00,2025-09-10T21:57:18+00:00
