id,item_id,price,week,year,date_created,date_updated
2166,16007000001,1526363577.36,11,2024,2024-03-17T14:19:21+00:00,2024-03-17T14:19:21+00:00
6070,16007000001,1691357117.57,13,2024,2024-03-25T15:23:55+00:00,2024-03-27T11:13:26+00:00
10530,16007000001,1691357117.57,14,2024,2024-04-03T10:45:09+00:00,2024-04-03T10:45:09+00:00
14685,16007000001,1738266666.67,15,2024,2024-04-10T12:44:53+00:00,2024-04-10T12:44:53+00:00
18894,16007000001,1738266666.67,16,2024,2024-04-17T11:28:14+00:00,2024-04-17T11:28:14+00:00
31426,16007000001,2290000000.00,19,2024,2024-05-08T18:03:57+00:00,2024-05-08T18:03:57+00:00
35566,16007000001,2290000000.00,20,2024,2024-05-15T18:20:38+00:00,2024-05-15T18:20:38+00:00
39716,16007000001,1939250000.50,21,2024,2024-05-22T14:12:31+00:00,2024-05-22T14:12:31+00:00
43872,16007000001,1939250000.50,22,2024,2024-05-30T22:16:43+00:00,2024-05-30T22:16:43+00:00
56368,16007000001,1847999977.88,25,2024,2024-06-19T19:43:15+00:00,2024-06-19T19:43:15+00:00
60525,16007000001,1847999977.88,26,2024,2024-06-26T13:25:22+00:00,2024-06-26T13:25:22+00:00
64699,16007000001,1843499994.10,27,2024,2024-07-05T19:30:46+00:00,2024-07-05T19:30:46+00:00
68877,16007000001,1843499994.10,28,2024,2024-07-11T08:56:28+00:00,2024-07-11T08:56:28+00:00
81590,16007000001,1627333333.33,32,2024,2024-08-07T20:19:14+00:00,2024-08-09T14:31:58+00:00
85896,16007000001,1645555555.56,35,2024,2024-08-30T14:16:09+00:00,2024-08-30T14:16:09+00:00
98857,16007000001,1659799964.60,39,2024,2024-09-25T12:12:21+00:00,2024-09-25T12:12:21+00:00
103121,16007000001,1359200000.00,41,2024,2024-10-11T17:07:12+00:00,2024-10-11T17:07:12+00:00
107367,16007000001,1128066666.67,44,2024,2024-11-03T16:45:35+00:00,2024-11-03T16:45:35+00:00
111646,16007000001,1419152307.69,47,2024,2024-11-20T11:39:49+00:00,2024-11-20T11:39:49+00:00
115856,16007000001,1624363620.27,50,2024,2024-12-11T16:50:31+00:00,2024-12-11T16:50:31+00:00
120094,16007000001,1541857117.57,51,2024,2024-12-18T12:34:15+00:00,2024-12-18T12:34:15+00:00
124312,16007000001,1486272727.27,1,2025,2025-01-01T20:12:03+00:00,2025-01-01T20:12:03+00:00
128492,16007000001,1346874977.88,3,2025,2025-01-15T21:07:01+00:00,2025-01-15T21:07:01+00:00
132767,16007000001,1346874977.88,6,2025,2025-02-04T20:23:14+00:00,2025-02-04T20:23:14+00:00
141632,16007000001,2226200000.00,11,2025,2025-03-12T11:03:31+00:00,2025-03-12T11:03:31+00:00
146164,16007000001,1891992500.00,13,2025,2025-03-26T16:28:45+00:00,2025-03-26T16:28:45+00:00
150655,16007000001,1587132857.14,15,2025,2025-04-09T13:36:32+00:00,2025-04-09T13:36:32+00:00
155194,16007000001,1473418571.43,17,2025,2025-04-23T12:06:37+00:00,2025-04-23T12:06:37+00:00
164138,16007000001,1939106666.67,21,2025,2025-05-21T19:49:24+00:00,2025-05-21T19:49:24+00:00
164139,16007000001,2521368727.88,23,2025,2025-06-04T11:20:52+00:00,2025-06-04T11:20:52+00:00
164140,16007000001,2168663294.00,25,2025,2025-06-18T11:56:06+00:00,2025-06-18T11:56:06+00:00
164141,16007000001,1655163323.50,26,2025,2025-06-25T17:27:40+00:00,2025-06-25T17:27:40+00:00
