id,item_id,price,week,year,date_created,date_updated
459,41900000102,82109.14,11,2024,2024-03-17T14:18:35+00:00,2024-03-17T14:18:35+00:00
7046,41900000102,136594.68,13,2024,2024-03-25T15:24:38+00:00,2024-03-27T11:14:03+00:00
11428,41900000102,136594.68,14,2024,2024-04-03T10:45:48+00:00,2024-04-03T10:45:48+00:00
15604,41900000102,11594.91,15,2024,2024-04-10T12:45:35+00:00,2024-04-10T12:45:35+00:00
19813,41900000102,11594.91,16,2024,2024-04-17T11:28:56+00:00,2024-04-17T11:28:56+00:00
23986,41900000102,54070.23,17,2024,2024-04-24T19:29:22+00:00,2024-04-24T19:29:22+00:00
28161,41900000102,54070.23,18,2024,2024-05-01T10:43:13+00:00,2024-05-01T10:43:13+00:00
32308,41900000102,33416.68,19,2024,2024-05-08T18:04:36+00:00,2024-05-08T18:04:36+00:00
36448,41900000102,33416.68,20,2024,2024-05-15T18:21:16+00:00,2024-05-15T18:21:16+00:00
40612,41900000102,21175.24,21,2024,2024-05-22T14:13:10+00:00,2024-05-22T14:13:10+00:00
44768,41900000102,21175.24,22,2024,2024-05-30T22:17:25+00:00,2024-05-30T22:17:25+00:00
48957,41900000102,29247.30,23,2024,2024-06-06T20:47:39+00:00,2024-06-06T20:47:39+00:00
53125,41900000102,29247.30,24,2024,2024-06-14T11:00:24+00:00,2024-06-14T11:00:24+00:00
57267,41900000102,284495.05,25,2024,2024-06-19T19:43:55+00:00,2024-06-19T19:43:55+00:00
61424,41900000102,284495.05,26,2024,2024-06-26T13:26:07+00:00,2024-06-26T13:26:07+00:00
65589,41900000102,210390.36,27,2024,2024-07-05T19:31:30+00:00,2024-07-05T19:31:30+00:00
69767,41900000102,210390.36,28,2024,2024-07-11T08:57:11+00:00,2024-07-11T08:57:11+00:00
74006,41900000102,2709.50,29,2024,2024-07-21T13:29:28+00:00,2024-07-21T13:29:28+00:00
78272,41900000102,2709.50,30,2024,2024-07-26T16:29:47+00:00,2024-07-26T16:29:47+00:00
82482,41900000102,96577.78,32,2024,2024-08-07T20:19:59+00:00,2024-08-09T14:32:41+00:00
86790,41900000102,15511.24,35,2024,2024-08-30T14:16:53+00:00,2024-08-30T14:16:53+00:00
91128,41900000102,4215.34,37,2024,2024-09-11T14:23:43+00:00,2024-09-11T14:23:43+00:00
95447,41900000102,4215.34,38,2024,2024-09-18T15:01:49+00:00,2024-09-18T15:01:49+00:00
99760,41900000102,735.49,39,2024,2024-09-25T12:13:10+00:00,2024-09-25T12:13:10+00:00
104012,41900000102,21812.58,41,2024,2024-10-11T17:08:50+00:00,2024-10-11T17:08:50+00:00
108269,41900000102,69.18,44,2024,2024-11-03T16:46:36+00:00,2024-11-03T16:46:36+00:00
112508,41900000102,2599.87,47,2024,2024-11-20T11:40:52+00:00,2024-11-20T11:40:52+00:00
116707,41900000102,4835.18,50,2024,2024-12-11T16:51:38+00:00,2024-12-11T16:51:38+00:00
120981,41900000102,3639.45,51,2024,2024-12-18T12:35:33+00:00,2024-12-18T12:35:33+00:00
125182,41900000102,2128.03,1,2025,2025-01-01T20:13:09+00:00,2025-01-01T20:13:09+00:00
129378,41900000102,98.14,3,2025,2025-01-15T21:08:09+00:00,2025-01-15T21:08:09+00:00
133653,41900000102,98.14,6,2025,2025-02-04T20:24:46+00:00,2025-02-04T20:24:46+00:00
138069,41900000102,564.73,10,2025,2025-03-03T17:25:36+00:00,2025-03-03T17:25:36+00:00
142603,41900000102,1076.23,11,2025,2025-03-12T11:04:46+00:00,2025-03-12T11:04:46+00:00
147111,41900000102,555.28,13,2025,2025-03-26T16:29:57+00:00,2025-03-26T16:29:57+00:00
151632,41900000102,501.00,15,2025,2025-04-09T13:38:14+00:00,2025-04-09T13:38:14+00:00
156157,41900000102,502.92,17,2025,2025-04-23T12:07:50+00:00,2025-04-23T12:07:50+00:00
160613,41900000102,1647.92,19,2025,2025-05-07T13:06:57+00:00,2025-05-07T13:06:57+00:00
165093,41900000102,2161.55,21,2025,2025-05-21T19:50:39+00:00,2025-05-21T19:50:39+00:00
169588,41900000102,78020.89,23,2025,2025-06-04T11:22:09+00:00,2025-06-04T11:22:09+00:00
174072,41900000102,56524.07,25,2025,2025-06-18T11:57:19+00:00,2025-06-18T11:57:19+00:00
178620,41900000102,33737.37,26,2025,2025-06-25T17:28:52+00:00,2025-06-25T17:28:52+00:00
183056,41900000102,12874.10,28,2025,2025-07-09T13:09:20+00:00,2025-07-09T13:09:20+00:00
187503,41900000102,164536.36,30,2025,2025-07-23T20:41:24+00:00,2025-07-23T20:41:24+00:00
191907,41900000102,164536.36,32,2025,2025-08-06T13:30:34+00:00,2025-08-06T13:30:34+00:00
191908,41900000102,9678.45,36,2025,2025-09-02T09:19:54+00:00,2025-09-02T09:19:54+00:00
191909,41900000102,501.36,37,2025,2025-09-10T21:59:18+00:00,2025-09-10T21:59:18+00:00
191910,41900000102,608.70,39,2025,2025-09-24T16:19:07+00:00,2025-09-24T16:19:07+00:00
