id,item_id,price,week,year,date_created,date_updated
951,41900001001,23500.82,11,2024,2024-03-17T14:18:44+00:00,2024-03-17T14:18:44+00:00
7066,41900001001,21817.03,13,2024,2024-03-25T15:24:39+00:00,2024-03-27T11:14:04+00:00
11449,41900001001,21817.03,14,2024,2024-04-03T10:45:49+00:00,2024-04-03T10:45:49+00:00
15623,41900001001,23387.07,15,2024,2024-04-10T12:45:36+00:00,2024-04-10T12:45:36+00:00
19832,41900001001,23387.07,16,2024,2024-04-17T11:28:57+00:00,2024-04-17T11:28:57+00:00
24005,41900001001,8390.76,17,2024,2024-04-24T19:29:23+00:00,2024-04-24T19:29:23+00:00
28180,41900001001,8390.76,18,2024,2024-05-01T10:43:14+00:00,2024-05-01T10:43:14+00:00
32329,41900001001,19469.51,19,2024,2024-05-08T18:04:37+00:00,2024-05-08T18:04:37+00:00
36469,41900001001,19469.51,20,2024,2024-05-15T18:21:17+00:00,2024-05-15T18:21:17+00:00
40632,41900001001,12655.20,21,2024,2024-05-22T14:13:11+00:00,2024-05-22T14:13:11+00:00
44788,41900001001,12655.20,22,2024,2024-05-30T22:17:26+00:00,2024-05-30T22:17:26+00:00
48978,41900001001,14049.48,23,2024,2024-06-06T20:47:40+00:00,2024-06-06T20:47:40+00:00
53146,41900001001,14049.48,24,2024,2024-06-14T11:00:25+00:00,2024-06-14T11:00:25+00:00
57288,41900001001,14150.25,25,2024,2024-06-19T19:43:56+00:00,2024-06-19T19:43:56+00:00
61445,41900001001,14150.25,26,2024,2024-06-26T13:26:08+00:00,2024-06-26T13:26:08+00:00
65610,41900001001,6632.40,27,2024,2024-07-05T19:31:31+00:00,2024-07-05T19:31:31+00:00
69788,41900001001,6632.40,28,2024,2024-07-11T08:57:12+00:00,2024-07-11T08:57:12+00:00
74027,41900001001,8923.35,29,2024,2024-07-21T13:29:29+00:00,2024-07-21T13:29:29+00:00
78293,41900001001,8923.35,30,2024,2024-07-26T16:29:48+00:00,2024-07-26T16:29:48+00:00
82502,41900001001,5998.63,32,2024,2024-08-07T20:20:01+00:00,2024-08-09T14:32:42+00:00
86810,41900001001,6716.24,35,2024,2024-08-30T14:16:54+00:00,2024-08-30T14:16:54+00:00
91149,41900001001,4121.67,37,2024,2024-09-11T14:23:44+00:00,2024-09-11T14:23:44+00:00
95468,41900001001,4121.67,38,2024,2024-09-18T15:01:50+00:00,2024-09-18T15:01:50+00:00
99780,41900001001,4093.89,39,2024,2024-09-25T12:13:12+00:00,2024-09-25T12:13:12+00:00
104033,41900001001,4792.65,41,2024,2024-10-11T17:08:53+00:00,2024-10-11T17:08:53+00:00
108290,41900001001,9169.86,44,2024,2024-11-03T16:46:37+00:00,2024-11-03T16:46:37+00:00
112529,41900001001,2405.42,47,2024,2024-11-20T11:40:54+00:00,2024-11-20T11:40:54+00:00
116728,41900001001,4315.96,50,2024,2024-12-11T16:51:41+00:00,2024-12-11T16:51:41+00:00
121004,41900001001,5223.92,51,2024,2024-12-18T12:35:35+00:00,2024-12-18T12:35:35+00:00
125203,41900001001,12986.04,1,2025,2025-01-01T20:13:11+00:00,2025-01-01T20:13:11+00:00
129397,41900001001,17973.39,3,2025,2025-01-15T21:08:11+00:00,2025-01-15T21:08:11+00:00
133672,41900001001,17973.39,6,2025,2025-02-04T20:24:48+00:00,2025-02-04T20:24:48+00:00
138088,41900001001,15601.08,10,2025,2025-03-03T17:25:37+00:00,2025-03-03T17:25:37+00:00
142623,41900001001,29393.65,11,2025,2025-03-12T11:04:48+00:00,2025-03-12T11:04:48+00:00
147131,41900001001,27444.30,13,2025,2025-03-26T16:29:59+00:00,2025-03-26T16:29:59+00:00
151653,41900001001,56163.88,15,2025,2025-04-09T13:38:18+00:00,2025-04-09T13:38:18+00:00
156176,41900001001,68161.97,17,2025,2025-04-23T12:07:52+00:00,2025-04-23T12:07:52+00:00
160633,41900001001,65919.05,19,2025,2025-05-07T13:06:59+00:00,2025-05-07T13:06:59+00:00
165116,41900001001,65614.93,21,2025,2025-05-21T19:50:41+00:00,2025-05-21T19:50:41+00:00
169609,41900001001,81033.03,23,2025,2025-06-04T11:22:11+00:00,2025-06-04T11:22:11+00:00
174092,41900001001,108261.11,25,2025,2025-06-18T11:57:21+00:00,2025-06-18T11:57:21+00:00
178641,41900001001,95619.52,26,2025,2025-06-25T17:28:54+00:00,2025-06-25T17:28:54+00:00
183078,41900001001,60286.65,28,2025,2025-07-09T13:09:23+00:00,2025-07-09T13:09:23+00:00
187526,41900001001,87046.14,30,2025,2025-07-23T20:41:27+00:00,2025-07-23T20:41:27+00:00
191930,41900001001,87046.14,32,2025,2025-08-06T13:30:36+00:00,2025-08-06T13:30:36+00:00
