id,item_id,price,week,year,date_created,date_updated
887,41802000016,1129629629.33,11,2024,2024-03-17T14:18:42+00:00,2024-03-17T14:18:42+00:00
7028,41802000016,995833333.12,13,2024,2024-03-25T15:24:38+00:00,2024-03-27T11:14:02+00:00
11410,41802000016,995833333.12,14,2024,2024-04-03T10:45:47+00:00,2024-04-03T10:45:47+00:00
15586,41802000016,968800000.20,15,2024,2024-04-10T12:45:34+00:00,2024-04-10T12:45:34+00:00
19795,41802000016,968800000.20,16,2024,2024-04-17T11:28:55+00:00,2024-04-17T11:28:55+00:00
23968,41802000016,1102315789.47,17,2024,2024-04-24T19:29:21+00:00,2024-04-24T19:29:21+00:00
28143,41802000016,1102315789.47,18,2024,2024-05-01T10:43:12+00:00,2024-05-01T10:43:12+00:00
32290,41802000016,568597014.93,19,2024,2024-05-08T18:04:35+00:00,2024-05-08T18:04:35+00:00
36430,41802000016,568597014.93,20,2024,2024-05-15T18:21:15+00:00,2024-05-15T18:21:15+00:00
40594,41802000016,461255736.90,21,2024,2024-05-22T14:13:09+00:00,2024-05-22T14:13:09+00:00
44750,41802000016,461255736.90,22,2024,2024-05-30T22:17:24+00:00,2024-05-30T22:17:24+00:00
48939,41802000016,455753212.67,23,2024,2024-06-06T20:47:38+00:00,2024-06-06T20:47:38+00:00
53107,41802000016,455753212.67,24,2024,2024-06-14T11:00:23+00:00,2024-06-14T11:00:23+00:00
57248,41802000016,457617994.10,25,2024,2024-06-19T19:43:54+00:00,2024-06-19T19:43:54+00:00
61405,41802000016,457617994.10,26,2024,2024-06-26T13:26:05+00:00,2024-06-26T13:26:05+00:00
65570,41802000016,413954007.64,27,2024,2024-07-05T19:31:29+00:00,2024-07-05T19:31:29+00:00
69748,41802000016,413954007.64,28,2024,2024-07-11T08:57:09+00:00,2024-07-11T08:57:09+00:00
73987,41802000016,254205569.49,29,2024,2024-07-21T13:29:27+00:00,2024-07-21T13:29:27+00:00
78253,41802000016,254205569.49,30,2024,2024-07-26T16:29:45+00:00,2024-07-26T16:29:45+00:00
82463,41802000016,242795483.68,32,2024,2024-08-07T20:19:58+00:00,2024-08-09T14:32:40+00:00
86771,41802000016,286928046.99,35,2024,2024-08-30T14:16:52+00:00,2024-08-30T14:16:52+00:00
91109,41802000016,275400000.00,37,2024,2024-09-11T14:23:42+00:00,2024-09-11T14:23:42+00:00
95428,41802000016,275400000.00,38,2024,2024-09-18T15:01:48+00:00,2024-09-18T15:01:48+00:00
99742,41802000016,258778280.13,39,2024,2024-09-25T12:13:09+00:00,2024-09-25T12:13:09+00:00
103994,41802000016,260234876.02,41,2024,2024-10-11T17:08:48+00:00,2024-10-11T17:08:48+00:00
108251,41802000016,244401125.16,44,2024,2024-11-03T16:46:34+00:00,2024-11-03T16:46:34+00:00
112490,41802000016,266678456.59,47,2024,2024-11-20T11:40:51+00:00,2024-11-20T11:40:51+00:00
116688,41802000016,261747582.82,50,2024,2024-12-11T16:51:35+00:00,2024-12-11T16:51:35+00:00
120962,41802000016,267296692.31,51,2024,2024-12-18T12:35:31+00:00,2024-12-18T12:35:31+00:00
125163,41802000016,272618852.46,1,2025,2025-01-01T20:13:07+00:00,2025-01-01T20:13:07+00:00
129359,41802000016,326041825.10,3,2025,2025-01-15T21:08:07+00:00,2025-01-15T21:08:07+00:00
133634,41802000016,326041825.10,6,2025,2025-02-04T20:24:44+00:00,2025-02-04T20:24:44+00:00
138050,41802000016,403685161.86,10,2025,2025-03-03T17:25:34+00:00,2025-03-03T17:25:34+00:00
142584,41802000016,453399015.35,11,2025,2025-03-12T11:04:44+00:00,2025-03-12T11:04:44+00:00
147092,41802000016,450287081.89,13,2025,2025-03-26T16:29:55+00:00,2025-03-26T16:29:55+00:00
151614,41802000016,466411458.15,15,2025,2025-04-09T13:38:12+00:00,2025-04-09T13:38:12+00:00
156138,41802000016,479319031.18,17,2025,2025-04-23T12:07:49+00:00,2025-04-23T12:07:49+00:00
160594,41802000016,617258426.45,19,2025,2025-05-07T13:06:56+00:00,2025-05-07T13:06:56+00:00
165074,41802000016,591884792.63,21,2025,2025-05-21T19:50:37+00:00,2025-05-21T19:50:37+00:00
165075,41802000016,589952380.95,23,2025,2025-06-04T11:22:07+00:00,2025-06-04T11:22:07+00:00
165076,41802000016,536731601.43,25,2025,2025-06-18T11:57:18+00:00,2025-06-18T11:57:18+00:00
165077,41802000016,524404605.03,26,2025,2025-06-25T17:28:50+00:00,2025-06-25T17:28:50+00:00
165078,41802000016,503605633.80,28,2025,2025-07-09T13:09:16+00:00,2025-07-09T13:09:16+00:00
