id,item_id,price,week,year,date_created,date_updated
8262,81000220311,108261111.11,13,2024,2024-03-25T15:25:51+00:00,2024-03-27T11:15:09+00:00
12637,81000220311,108261111.11,14,2024,2024-04-03T10:47:02+00:00,2024-04-03T10:47:02+00:00
16853,81000220311,129844444.44,15,2024,2024-04-10T12:46:55+00:00,2024-04-10T12:46:55+00:00
21062,81000220311,129844444.44,16,2024,2024-04-17T11:30:18+00:00,2024-04-17T11:30:18+00:00
25235,81000220311,96125000.00,17,2024,2024-04-24T19:30:41+00:00,2024-04-24T19:30:41+00:00
29410,81000220311,96125000.00,18,2024,2024-05-01T10:44:30+00:00,2024-05-01T10:44:30+00:00
33562,81000220311,107970000.00,19,2024,2024-05-08T18:05:49+00:00,2024-05-08T18:05:49+00:00
37702,81000220311,107970000.00,20,2024,2024-05-15T18:22:31+00:00,2024-05-15T18:22:31+00:00
41852,81000220311,99510000.00,21,2024,2024-05-22T14:14:26+00:00,2024-05-22T14:14:26+00:00
46008,81000220311,99510000.00,22,2024,2024-05-30T22:18:44+00:00,2024-05-30T22:18:44+00:00
50174,81000220311,77600000.00,23,2024,2024-06-06T20:48:57+00:00,2024-06-06T20:48:57+00:00
54342,81000220311,77600000.00,24,2024,2024-06-14T11:01:52+00:00,2024-06-14T11:01:52+00:00
58507,81000220311,76666666.67,25,2024,2024-06-19T19:45:11+00:00,2024-06-19T19:45:11+00:00
62664,81000220311,76666666.67,26,2024,2024-06-26T13:27:30+00:00,2024-06-26T13:27:30+00:00
66831,81000220311,112666665.22,27,2024,2024-07-05T19:32:51+00:00,2024-07-05T19:32:51+00:00
71009,81000220311,112666665.22,28,2024,2024-07-11T08:58:31+00:00,2024-07-11T08:58:31+00:00
75268,81000220311,99999999.75,29,2024,2024-07-21T13:30:53+00:00,2024-07-21T13:30:53+00:00
79534,81000220311,99999999.75,30,2024,2024-07-26T16:31:13+00:00,2024-07-26T16:31:13+00:00
88103,81000220311,88000000.00,35,2024,2024-08-30T14:18:26+00:00,2024-08-30T14:18:26+00:00
92429,81000220311,92363635.64,37,2024,2024-09-11T14:25:14+00:00,2024-09-11T14:25:14+00:00
96748,81000220311,92363635.64,38,2024,2024-09-18T15:03:18+00:00,2024-09-18T15:03:18+00:00
101039,81000220311,109227272.18,39,2024,2024-09-25T12:14:42+00:00,2024-09-25T12:14:42+00:00
105280,81000220311,84966666.00,41,2024,2024-10-11T17:11:27+00:00,2024-10-11T17:11:27+00:00
109565,81000220311,60749999.50,44,2024,2024-11-03T16:48:33+00:00,2024-11-03T16:48:33+00:00
113784,81000220311,63316666.67,47,2024,2024-11-20T11:42:52+00:00,2024-11-20T11:42:52+00:00
117997,81000220311,60430555.00,50,2024,2024-12-11T16:53:47+00:00,2024-12-11T16:53:47+00:00
122220,81000220311,91075000.00,51,2024,2024-12-18T12:37:30+00:00,2024-12-18T12:37:30+00:00
126390,81000220311,87362500.00,1,2025,2025-01-01T20:15:01+00:00,2025-01-01T20:15:01+00:00
130668,81000220311,78044444.44,3,2025,2025-01-15T21:10:49+00:00,2025-01-15T21:10:49+00:00
134943,81000220311,78044444.44,6,2025,2025-02-04T20:29:12+00:00,2025-02-04T20:29:12+00:00
139438,81000220311,119333324.67,10,2025,2025-03-03T17:27:46+00:00,2025-03-03T17:27:46+00:00
143953,81000220311,20000000.00,11,2025,2025-03-12T11:07:01+00:00,2025-03-12T11:07:01+00:00
148438,81000220311,56500000.00,13,2025,2025-03-26T16:32:03+00:00,2025-03-26T16:32:03+00:00
152991,81000220311,79375000.00,15,2025,2025-04-09T13:40:52+00:00,2025-04-09T13:40:52+00:00
157463,81000220311,95166666.50,17,2025,2025-04-23T12:09:49+00:00,2025-04-23T12:09:49+00:00
161930,81000220311,126249999.75,19,2025,2025-05-07T13:08:57+00:00,2025-05-07T13:08:57+00:00
170846,81000220311,193000000.00,23,2025,2025-06-04T11:24:09+00:00,2025-06-04T11:24:09+00:00
175413,81000220311,191500000.00,25,2025,2025-06-18T11:59:26+00:00,2025-06-18T11:59:26+00:00
