id,item_id,price,week,year,date_created,date_updated
3268,81000680027,98556713.73,11,2024,2024-03-17T14:20:17+00:00,2024-03-17T14:20:17+00:00
8368,81000680027,158571462.86,13,2024,2024-03-25T15:25:58+00:00,2024-03-27T11:15:17+00:00
12748,81000680027,158571462.86,14,2024,2024-04-03T10:47:10+00:00,2024-04-03T10:47:10+00:00
16959,81000680027,114272772.36,15,2024,2024-04-10T12:47:04+00:00,2024-04-10T12:47:04+00:00
21168,81000680027,114272772.36,16,2024,2024-04-17T11:30:26+00:00,2024-04-17T11:30:26+00:00
25342,81000680027,187856861.71,17,2024,2024-04-24T19:30:49+00:00,2024-04-24T19:30:49+00:00
29517,81000680027,187856861.71,18,2024,2024-05-01T10:44:38+00:00,2024-05-01T10:44:38+00:00
33657,81000680027,133863095.31,19,2024,2024-05-08T18:05:56+00:00,2024-05-08T18:05:56+00:00
37797,81000680027,133863095.31,20,2024,2024-05-15T18:22:38+00:00,2024-05-15T18:22:38+00:00
41954,81000680027,111171428.57,21,2024,2024-05-22T14:14:34+00:00,2024-05-22T14:14:34+00:00
46110,81000680027,111171428.57,22,2024,2024-05-30T22:18:51+00:00,2024-05-30T22:18:51+00:00
50276,81000680027,150122643.14,23,2024,2024-06-06T20:49:05+00:00,2024-06-06T20:49:05+00:00
54444,81000680027,150122643.14,24,2024,2024-06-14T11:02:01+00:00,2024-06-14T11:02:01+00:00
58603,81000680027,47071755.61,25,2024,2024-06-19T19:45:18+00:00,2024-06-19T19:45:18+00:00
62760,81000680027,47071755.61,26,2024,2024-06-26T13:27:37+00:00,2024-06-26T13:27:37+00:00
66935,81000680027,123866671.40,27,2024,2024-07-05T19:32:59+00:00,2024-07-05T19:32:59+00:00
71113,81000680027,123866671.40,28,2024,2024-07-11T08:58:39+00:00,2024-07-11T08:58:39+00:00
75375,81000680027,126666671.12,29,2024,2024-07-21T13:31:01+00:00,2024-07-21T13:31:01+00:00
79641,81000680027,126666671.12,30,2024,2024-07-26T16:31:22+00:00,2024-07-26T16:31:22+00:00
83930,81000680027,152777791.11,32,2024,2024-08-07T20:21:39+00:00,2024-08-09T14:34:21+00:00
88202,81000680027,172000000.00,35,2024,2024-08-30T14:18:34+00:00,2024-08-30T14:18:34+00:00
92526,81000680027,137857147.14,37,2024,2024-09-11T14:25:22+00:00,2024-09-11T14:25:22+00:00
96845,81000680027,137857147.14,38,2024,2024-09-18T15:03:26+00:00,2024-09-18T15:03:26+00:00
101143,81000680027,210499999.62,39,2024,2024-09-25T12:14:51+00:00,2024-09-25T12:14:51+00:00
109669,81000680027,167000000.00,44,2024,2024-11-03T16:48:44+00:00,2024-11-03T16:48:44+00:00
113878,81000680027,109454546.91,47,2024,2024-11-20T11:43:02+00:00,2024-11-20T11:43:02+00:00
118093,81000680027,156250001.75,50,2024,2024-12-11T16:54:01+00:00,2024-12-11T16:54:01+00:00
122311,81000680027,171363637.00,51,2024,2024-12-18T12:37:39+00:00,2024-12-18T12:37:39+00:00
126485,81000680027,96100001.60,1,2025,2025-01-01T20:15:11+00:00,2025-01-01T20:15:11+00:00
130761,81000680027,108535715.43,3,2025,2025-01-15T21:11:04+00:00,2025-01-15T21:11:04+00:00
135036,81000680027,108535715.43,6,2025,2025-02-04T20:29:35+00:00,2025-02-04T20:29:35+00:00
139536,81000680027,167000000.00,10,2025,2025-03-03T17:27:57+00:00,2025-03-03T17:27:57+00:00
144047,81000680027,147750000.25,11,2025,2025-03-12T11:07:12+00:00,2025-03-12T11:07:12+00:00
148526,81000680027,121066668.70,13,2025,2025-03-26T16:32:13+00:00,2025-03-26T16:32:13+00:00
153081,81000680027,98333336.00,15,2025,2025-04-09T13:41:01+00:00,2025-04-09T13:41:01+00:00
157546,81000680027,79500000.12,17,2025,2025-04-23T12:09:58+00:00,2025-04-23T12:09:58+00:00
162023,81000680027,124090909.09,19,2025,2025-05-07T13:09:07+00:00,2025-05-07T13:09:07+00:00
162024,81000680027,180800000.00,23,2025,2025-06-04T11:24:17+00:00,2025-06-04T11:24:17+00:00
162025,81000680027,134500000.00,26,2025,2025-06-25T17:31:00+00:00,2025-06-25T17:31:00+00:00
162026,81000680027,138500000.00,28,2025,2025-07-09T13:13:29+00:00,2025-07-09T13:13:29+00:00
