id,item_id,price,week,year,date_created,date_updated
1993,81000640123,40897435.51,11,2024,2024-03-17T14:19:15+00:00,2024-03-17T14:19:15+00:00
8359,81000640123,39677418.87,13,2024,2024-03-25T15:25:58+00:00,2024-03-27T11:15:16+00:00
12739,81000640123,39677418.87,14,2024,2024-04-03T10:47:09+00:00,2024-04-03T10:47:09+00:00
16950,81000640123,35000000.00,15,2024,2024-04-10T12:47:03+00:00,2024-04-10T12:47:03+00:00
21159,81000640123,35000000.00,16,2024,2024-04-17T11:30:26+00:00,2024-04-17T11:30:26+00:00
25333,81000640123,41545454.55,17,2024,2024-04-24T19:30:48+00:00,2024-04-24T19:30:48+00:00
29508,81000640123,41545454.55,18,2024,2024-05-01T10:44:37+00:00,2024-05-01T10:44:37+00:00
33648,81000640123,26775250.00,19,2024,2024-05-08T18:05:55+00:00,2024-05-08T18:05:55+00:00
37788,81000640123,26775250.00,20,2024,2024-05-15T18:22:38+00:00,2024-05-15T18:22:38+00:00
41947,81000640123,32326933.33,21,2024,2024-05-22T14:14:33+00:00,2024-05-22T14:14:33+00:00
46103,81000640123,32326933.33,22,2024,2024-05-30T22:18:50+00:00,2024-05-30T22:18:50+00:00
50267,81000640123,28900004.07,23,2024,2024-06-06T20:49:04+00:00,2024-06-06T20:49:04+00:00
54435,81000640123,28900004.07,24,2024,2024-06-14T11:02:01+00:00,2024-06-14T11:02:01+00:00
58593,81000640123,31727780.67,25,2024,2024-06-19T19:45:18+00:00,2024-06-19T19:45:18+00:00
62750,81000640123,31727780.67,26,2024,2024-06-26T13:27:36+00:00,2024-06-26T13:27:36+00:00
66927,81000640123,29519999.76,27,2024,2024-07-05T19:32:59+00:00,2024-07-05T19:32:59+00:00
71105,81000640123,29519999.76,28,2024,2024-07-11T08:58:39+00:00,2024-07-11T08:58:39+00:00
75366,81000640123,39960000.00,29,2024,2024-07-21T13:31:00+00:00,2024-07-21T13:31:00+00:00
79632,81000640123,39960000.00,30,2024,2024-07-26T16:31:21+00:00,2024-07-26T16:31:21+00:00
83920,81000640123,39194444.14,32,2024,2024-08-07T20:21:39+00:00,2024-08-09T14:34:20+00:00
88193,81000640123,40666666.47,35,2024,2024-08-30T14:18:33+00:00,2024-08-30T14:18:33+00:00
92517,81000640123,39333333.33,37,2024,2024-09-11T14:25:21+00:00,2024-09-11T14:25:21+00:00
96836,81000640123,39333333.33,38,2024,2024-09-18T15:03:25+00:00,2024-09-18T15:03:25+00:00
101134,81000640123,21428571.43,39,2024,2024-09-25T12:14:50+00:00,2024-09-25T12:14:50+00:00
105372,81000640123,35911764.15,41,2024,2024-10-11T17:11:39+00:00,2024-10-11T17:11:39+00:00
109660,81000640123,39416667.17,44,2024,2024-11-03T16:48:43+00:00,2024-11-03T16:48:43+00:00
113869,81000640123,22166503.50,47,2024,2024-11-20T11:43:01+00:00,2024-11-20T11:43:01+00:00
118084,81000640123,14387501.75,50,2024,2024-12-11T16:54:00+00:00,2024-12-11T16:54:00+00:00
122304,81000640123,25181816.64,51,2024,2024-12-18T12:37:39+00:00,2024-12-18T12:37:39+00:00
126476,81000640123,43599999.40,1,2025,2025-01-01T20:15:10+00:00,2025-01-01T20:15:10+00:00
130752,81000640123,22319999.88,3,2025,2025-01-15T21:11:03+00:00,2025-01-15T21:11:03+00:00
135027,81000640123,22319999.88,6,2025,2025-02-04T20:29:33+00:00,2025-02-04T20:29:33+00:00
139527,81000640123,32823529.47,10,2025,2025-03-03T17:27:56+00:00,2025-03-03T17:27:56+00:00
144038,81000640123,30775038.06,11,2025,2025-03-12T11:07:11+00:00,2025-03-12T11:07:11+00:00
148517,81000640123,31935483.87,13,2025,2025-03-26T16:32:12+00:00,2025-03-26T16:32:12+00:00
153072,81000640123,27374999.72,15,2025,2025-04-09T13:41:00+00:00,2025-04-09T13:41:00+00:00
157539,81000640123,15200000.00,17,2025,2025-04-23T12:09:57+00:00,2025-04-23T12:09:57+00:00
162014,81000640123,19428571.43,19,2025,2025-05-07T13:09:06+00:00,2025-05-07T13:09:06+00:00
166539,81000640123,11395092.80,21,2025,2025-05-21T19:52:56+00:00,2025-05-21T19:52:56+00:00
170922,81000640123,18513976.84,23,2025,2025-06-04T11:24:17+00:00,2025-06-04T11:24:17+00:00
175502,81000640123,12045454.36,25,2025,2025-06-18T11:59:34+00:00,2025-06-18T11:59:34+00:00
179979,81000640123,16428571.14,26,2025,2025-06-25T17:30:59+00:00,2025-06-25T17:30:59+00:00
184414,81000640123,24708333.33,28,2025,2025-07-09T13:13:27+00:00,2025-07-09T13:13:27+00:00
188814,81000640123,20185185.00,30,2025,2025-07-23T20:43:30+00:00,2025-07-23T20:43:30+00:00
193218,81000640123,20185185.00,32,2025,2025-08-06T13:32:38+00:00,2025-08-06T13:32:38+00:00
193219,81000640123,28571428.57,36,2025,2025-09-02T09:22:04+00:00,2025-09-02T09:22:04+00:00
193220,81000640123,26906666.67,37,2025,2025-09-10T22:02:13+00:00,2025-09-10T22:02:13+00:00
193221,81000640123,39029090.91,39,2025,2025-09-24T16:21:07+00:00,2025-09-24T16:21:07+00:00
193222,81000640123,25426528.82,51,2025,2025-12-20T14:26:07+00:00,2025-12-20T14:26:07+00:00
