id,item_id,price,week,year,date_created,date_updated
2709,81000240226,121044553.09,11,2024,2024-03-17T14:19:45+00:00,2024-03-17T14:19:45+00:00
8281,81000240226,112487500.00,13,2024,2024-03-25T15:25:52+00:00,2024-03-27T11:15:11+00:00
12654,81000240226,112487500.00,14,2024,2024-04-03T10:47:03+00:00,2024-04-03T10:47:03+00:00
16875,81000240226,136947368.42,15,2024,2024-04-10T12:46:57+00:00,2024-04-10T12:46:57+00:00
21084,81000240226,136947368.42,16,2024,2024-04-17T11:30:20+00:00,2024-04-17T11:30:20+00:00
25253,81000240226,144710526.32,17,2024,2024-04-24T19:30:42+00:00,2024-04-24T19:30:42+00:00
29428,81000240226,144710526.32,18,2024,2024-05-01T10:44:32+00:00,2024-05-01T10:44:32+00:00
33579,81000240226,130400000.00,19,2024,2024-05-08T18:05:51+00:00,2024-05-08T18:05:51+00:00
37719,81000240226,130400000.00,20,2024,2024-05-15T18:22:33+00:00,2024-05-15T18:22:33+00:00
41867,81000240226,150588235.29,21,2024,2024-05-22T14:14:27+00:00,2024-05-22T14:14:27+00:00
46023,81000240226,150588235.29,22,2024,2024-05-30T22:18:45+00:00,2024-05-30T22:18:45+00:00
50190,81000240226,105313529.41,23,2024,2024-06-06T20:48:58+00:00,2024-06-06T20:48:58+00:00
54358,81000240226,105313529.41,24,2024,2024-06-14T11:01:53+00:00,2024-06-14T11:01:53+00:00
58524,81000240226,141849234.38,25,2024,2024-06-19T19:45:12+00:00,2024-06-19T19:45:12+00:00
62681,81000240226,141849234.38,26,2024,2024-06-26T13:27:31+00:00,2024-06-26T13:27:31+00:00
66849,81000240226,193566666.67,27,2024,2024-07-05T19:32:52+00:00,2024-07-05T19:32:52+00:00
71027,81000240226,193566666.67,28,2024,2024-07-11T08:58:33+00:00,2024-07-11T08:58:33+00:00
75282,81000240226,187925000.00,29,2024,2024-07-21T13:30:54+00:00,2024-07-21T13:30:54+00:00
79548,81000240226,187925000.00,30,2024,2024-07-26T16:31:14+00:00,2024-07-26T16:31:14+00:00
83845,81000240226,130142857.14,32,2024,2024-08-07T20:21:33+00:00,2024-08-09T14:34:14+00:00
88120,81000240226,187830769.23,35,2024,2024-08-30T14:18:27+00:00,2024-08-30T14:18:27+00:00
92443,81000240226,173874999.75,37,2024,2024-09-11T14:25:15+00:00,2024-09-11T14:25:15+00:00
96762,81000240226,173874999.75,38,2024,2024-09-18T15:03:19+00:00,2024-09-18T15:03:19+00:00
101056,81000240226,152327272.73,39,2024,2024-09-25T12:14:43+00:00,2024-09-25T12:14:43+00:00
105296,81000240226,170873768.59,41,2024,2024-10-11T17:11:29+00:00,2024-10-11T17:11:29+00:00
109582,81000240226,176478193.93,44,2024,2024-11-03T16:48:35+00:00,2024-11-03T16:48:35+00:00
113798,81000240226,117918181.82,47,2024,2024-11-20T11:42:53+00:00,2024-11-20T11:42:53+00:00
118011,81000240226,157910000.00,50,2024,2024-12-11T16:53:49+00:00,2024-12-11T16:53:49+00:00
122232,81000240226,159932932.93,51,2024,2024-12-18T12:37:31+00:00,2024-12-18T12:37:31+00:00
126406,81000240226,145678142.07,1,2025,2025-01-01T20:15:03+00:00,2025-01-01T20:15:03+00:00
130681,81000240226,165291666.25,3,2025,2025-01-15T21:10:51+00:00,2025-01-15T21:10:51+00:00
134956,81000240226,165291666.25,6,2025,2025-02-04T20:29:14+00:00,2025-02-04T20:29:14+00:00
139452,81000240226,154127139.14,10,2025,2025-03-03T17:27:47+00:00,2025-03-03T17:27:47+00:00
143969,81000240226,167288888.89,11,2025,2025-03-12T11:07:03+00:00,2025-03-12T11:07:03+00:00
148450,81000240226,137892307.69,13,2025,2025-03-26T16:32:05+00:00,2025-03-26T16:32:05+00:00
153007,81000240226,173188235.29,15,2025,2025-04-09T13:40:53+00:00,2025-04-09T13:40:53+00:00
157473,81000240226,80333333.33,17,2025,2025-04-23T12:09:50+00:00,2025-04-23T12:09:50+00:00
161943,81000240226,98628571.43,19,2025,2025-05-07T13:08:59+00:00,2025-05-07T13:08:59+00:00
166469,81000240226,160422222.22,21,2025,2025-05-21T19:52:49+00:00,2025-05-21T19:52:49+00:00
