id,item_id,price,week,year,date_created,date_updated
8376,81000720017,7500000.00,13,2024,2024-03-25T15:25:59+00:00,2024-03-25T15:25:59+00:00
33666,81000720017,250000000.00,19,2024,2024-05-08T18:05:56+00:00,2024-05-08T18:05:56+00:00
37806,81000720017,250000000.00,20,2024,2024-05-15T18:22:39+00:00,2024-05-15T18:22:39+00:00
75387,81000720017,7500000.00,29,2024,2024-07-21T13:31:02+00:00,2024-07-21T13:31:02+00:00
79653,81000720017,7500000.00,30,2024,2024-07-26T16:31:23+00:00,2024-07-26T16:31:23+00:00
83938,81000720017,7500000.00,32,2024,2024-08-07T20:21:40+00:00,2024-08-09T14:34:21+00:00
101152,81000720017,300000000.00,39,2024,2024-09-25T12:14:51+00:00,2024-09-25T12:14:51+00:00
105391,81000720017,250000000.00,41,2024,2024-10-11T17:11:42+00:00,2024-10-11T17:11:42+00:00
109676,81000720017,55625000.00,44,2024,2024-11-03T16:48:44+00:00,2024-11-03T16:48:44+00:00
113886,81000720017,7500000.00,47,2024,2024-11-20T11:43:03+00:00,2024-11-20T11:43:03+00:00
118105,81000720017,11850000.00,50,2024,2024-12-11T16:54:03+00:00,2024-12-11T16:54:03+00:00
122321,81000720017,7500000.00,51,2024,2024-12-18T12:37:40+00:00,2024-12-18T12:37:40+00:00
130768,81000720017,133333666.67,3,2025,2025-01-15T21:11:05+00:00,2025-01-15T21:11:05+00:00
135043,81000720017,133333666.67,6,2025,2025-02-04T20:29:37+00:00,2025-02-04T20:29:37+00:00
139543,81000720017,80416666.67,10,2025,2025-03-03T17:27:57+00:00,2025-03-03T17:27:57+00:00
153088,81000720017,214999999.50,15,2025,2025-04-09T13:41:01+00:00,2025-04-09T13:41:01+00:00
157555,81000720017,144124999.88,17,2025,2025-04-23T12:09:59+00:00,2025-04-23T12:09:59+00:00
162031,81000720017,122499999.71,19,2025,2025-05-07T13:09:08+00:00,2025-05-07T13:09:08+00:00
166556,81000720017,171333332.67,21,2025,2025-05-21T19:52:58+00:00,2025-05-21T19:52:58+00:00
