id,item_id,price,week,year,date_created,date_updated
2678,81001010013,496274334.65,11,2024,2024-03-17T14:19:44+00:00,2024-03-17T14:19:44+00:00
8402,81001010013,334642644.50,13,2024,2024-03-25T15:26:01+00:00,2024-03-27T11:15:19+00:00
12783,81001010013,334642644.50,14,2024,2024-04-03T10:47:12+00:00,2024-04-03T10:47:12+00:00
16992,81001010013,490652173.74,15,2024,2024-04-10T12:47:06+00:00,2024-04-10T12:47:06+00:00
21201,81001010013,490652173.74,16,2024,2024-04-17T11:30:29+00:00,2024-04-17T11:30:29+00:00
25375,81001010013,277739130.22,17,2024,2024-04-24T19:30:51+00:00,2024-04-24T19:30:51+00:00
29550,81001010013,277739130.22,18,2024,2024-05-01T10:44:40+00:00,2024-05-01T10:44:40+00:00
33691,81001010013,130320769.23,19,2024,2024-05-08T18:05:58+00:00,2024-05-08T18:05:58+00:00
37831,81001010013,130320769.23,20,2024,2024-05-15T18:22:41+00:00,2024-05-15T18:22:41+00:00
41987,81001010013,241022786.42,21,2024,2024-05-22T14:14:36+00:00,2024-05-22T14:14:36+00:00
46143,81001010013,241022786.42,22,2024,2024-05-30T22:18:53+00:00,2024-05-30T22:18:53+00:00
50313,81001010013,284090638.82,23,2024,2024-06-06T20:49:07+00:00,2024-06-06T20:49:07+00:00
54481,81001010013,284090638.82,24,2024,2024-06-14T11:02:04+00:00,2024-06-14T11:02:04+00:00
58638,81001010013,248130000.00,25,2024,2024-06-19T19:45:21+00:00,2024-06-19T19:45:21+00:00
62795,81001010013,248130000.00,26,2024,2024-06-26T13:27:40+00:00,2024-06-26T13:27:40+00:00
66973,81001010013,219844444.21,27,2024,2024-07-05T19:33:02+00:00,2024-07-05T19:33:02+00:00
71151,81001010013,219844444.21,28,2024,2024-07-11T08:58:42+00:00,2024-07-11T08:58:42+00:00
75415,81001010013,231178241.75,29,2024,2024-07-21T13:31:04+00:00,2024-07-21T13:31:04+00:00
79681,81001010013,231178241.75,30,2024,2024-07-26T16:31:25+00:00,2024-07-26T16:31:25+00:00
83964,81001010013,87324352.53,32,2024,2024-08-07T20:21:42+00:00,2024-08-09T14:34:23+00:00
88239,81001010013,346127777.78,35,2024,2024-08-30T14:18:37+00:00,2024-08-30T14:18:37+00:00
92559,81001010013,327400000.00,37,2024,2024-09-11T14:25:24+00:00,2024-09-11T14:25:24+00:00
96878,81001010013,327400000.00,38,2024,2024-09-18T15:03:29+00:00,2024-09-18T15:03:29+00:00
101179,81001010013,395792592.59,39,2024,2024-09-25T12:14:54+00:00,2024-09-25T12:14:54+00:00
105417,81001010013,154947444.74,41,2024,2024-10-11T17:11:46+00:00,2024-10-11T17:11:46+00:00
109704,81001010013,238500000.00,44,2024,2024-11-03T16:48:47+00:00,2024-11-03T16:48:47+00:00
113911,81001010013,60721745.00,47,2024,2024-11-20T11:43:05+00:00,2024-11-20T11:43:05+00:00
118133,81001010013,217588888.89,50,2024,2024-12-11T16:54:08+00:00,2024-12-11T16:54:08+00:00
122347,81001010013,215363636.36,51,2024,2024-12-18T12:37:43+00:00,2024-12-18T12:37:43+00:00
126519,81001010013,393494117.65,1,2025,2025-01-01T20:15:14+00:00,2025-01-01T20:15:14+00:00
130794,81001010013,141546732.27,3,2025,2025-01-15T21:11:09+00:00,2025-01-15T21:11:09+00:00
135069,81001010013,141546732.27,6,2025,2025-02-04T20:29:43+00:00,2025-02-04T20:29:43+00:00
139570,81001010013,166307692.31,10,2025,2025-03-03T17:28:01+00:00,2025-03-03T17:28:01+00:00
144078,81001010013,218000000.00,11,2025,2025-03-12T11:07:15+00:00,2025-03-12T11:07:15+00:00
148560,81001010013,235818181.55,13,2025,2025-03-26T16:32:17+00:00,2025-03-26T16:32:17+00:00
153115,81001010013,194874999.62,15,2025,2025-04-09T13:41:04+00:00,2025-04-09T13:41:04+00:00
157580,81001010013,238580000.00,17,2025,2025-04-23T12:10:02+00:00,2025-04-23T12:10:02+00:00
162059,81001010013,284379999.60,19,2025,2025-05-07T13:09:11+00:00,2025-05-07T13:09:11+00:00
166583,81001010013,258999928.21,21,2025,2025-05-21T19:53:01+00:00,2025-05-21T19:53:01+00:00
170963,81001010013,319076846.38,23,2025,2025-06-04T11:24:21+00:00,2025-06-04T11:24:21+00:00
175542,81001010013,304200000.00,25,2025,2025-06-18T11:59:38+00:00,2025-06-18T11:59:38+00:00
180015,81001010013,299769230.77,26,2025,2025-06-25T17:31:04+00:00,2025-06-25T17:31:04+00:00
184451,81001010013,390333191.55,28,2025,2025-07-09T13:13:33+00:00,2025-07-09T13:13:33+00:00
188853,81001010013,413499999.75,30,2025,2025-07-23T20:43:35+00:00,2025-07-23T20:43:35+00:00
193257,81001010013,413499999.75,32,2025,2025-08-06T13:32:42+00:00,2025-08-06T13:32:42+00:00
