id,item_id,price,week,year,date_created,date_updated
3019,11513100014,3018657.29,11,2024,2024-03-17T14:20:02+00:00,2024-03-17T14:20:02+00:00
5328,11513100014,2996096.30,13,2024,2024-03-25T15:23:34+00:00,2024-03-27T11:13:05+00:00
9797,11513100014,2996096.30,14,2024,2024-04-03T10:44:46+00:00,2024-04-03T10:44:46+00:00
13919,11513100014,3240270.62,15,2024,2024-04-10T12:44:28+00:00,2024-04-10T12:44:28+00:00
18128,11513100014,3240270.62,16,2024,2024-04-17T11:27:50+00:00,2024-04-17T11:27:50+00:00
22333,11513100014,3728214.31,17,2024,2024-04-24T19:28:19+00:00,2024-04-24T19:28:19+00:00
26508,11513100014,3728214.31,18,2024,2024-05-01T10:42:12+00:00,2024-05-01T10:42:12+00:00
30683,11513100014,3287461.17,19,2024,2024-05-08T18:03:34+00:00,2024-05-08T18:03:34+00:00
34823,11513100014,3287461.17,20,2024,2024-05-15T18:20:15+00:00,2024-05-15T18:20:15+00:00
38965,11513100014,3210228.51,21,2024,2024-05-22T14:12:07+00:00,2024-05-22T14:12:07+00:00
43121,11513100014,3210228.51,22,2024,2024-05-30T22:16:18+00:00,2024-05-30T22:16:18+00:00
47264,11513100014,2977917.54,23,2024,2024-06-06T20:46:31+00:00,2024-06-06T20:46:31+00:00
51432,11513100014,2977917.54,24,2024,2024-06-14T10:59:12+00:00,2024-06-14T10:59:12+00:00
55607,11513100014,3071619.21,25,2024,2024-06-19T19:42:49+00:00,2024-06-19T19:42:49+00:00
59764,11513100014,3071619.21,26,2024,2024-06-26T13:24:55+00:00,2024-06-26T13:24:55+00:00
63931,11513100014,2597786.53,27,2024,2024-07-05T19:30:20+00:00,2024-07-05T19:30:20+00:00
68109,11513100014,2597786.53,28,2024,2024-07-11T08:56:01+00:00,2024-07-11T08:56:01+00:00
72295,11513100014,1910490.44,29,2024,2024-07-21T13:28:14+00:00,2024-07-21T13:28:14+00:00
76561,11513100014,1910490.44,30,2024,2024-07-26T16:28:32+00:00,2024-07-26T16:28:32+00:00
80812,11513100014,2104103.26,32,2024,2024-08-07T20:18:46+00:00,2024-08-09T14:31:31+00:00
85109,11513100014,2414985.56,35,2024,2024-08-30T14:15:40+00:00,2024-08-30T14:15:40+00:00
89396,11513100014,2324264.41,37,2024,2024-09-11T14:22:23+00:00,2024-09-11T14:22:23+00:00
93715,11513100014,2324264.41,38,2024,2024-09-18T15:00:29+00:00,2024-09-18T15:00:29+00:00
98047,11513100014,2593787.82,39,2024,2024-09-25T12:11:48+00:00,2024-09-25T12:11:48+00:00
102328,11513100014,2941037.69,41,2024,2024-10-11T17:06:07+00:00,2024-10-11T17:06:07+00:00
106568,11513100014,3147845.26,44,2024,2024-11-03T16:44:50+00:00,2024-11-03T16:44:50+00:00
110854,11513100014,3065254.86,47,2024,2024-11-20T11:39:01+00:00,2024-11-20T11:39:01+00:00
115065,11513100014,3003230.81,50,2024,2024-12-11T16:49:44+00:00,2024-12-11T16:49:44+00:00
119296,11513100014,3108861.67,51,2024,2024-12-18T12:33:25+00:00,2024-12-18T12:33:25+00:00
123505,11513100014,3183471.24,1,2025,2025-01-01T20:11:13+00:00,2025-01-01T20:11:13+00:00
127688,11513100014,3085730.84,3,2025,2025-01-15T21:06:12+00:00,2025-01-15T21:06:12+00:00
131963,11513100014,3085730.84,6,2025,2025-02-04T20:21:55+00:00,2025-02-04T20:21:55+00:00
136250,11513100014,2180567.75,10,2025,2025-03-03T17:23:33+00:00,2025-03-03T17:23:33+00:00
140796,11513100014,2010095.85,11,2025,2025-03-12T11:02:38+00:00,2025-03-12T11:02:38+00:00
145329,11513100014,2001514.52,13,2025,2025-03-26T16:27:52+00:00,2025-03-26T16:27:52+00:00
149814,11513100014,2070645.40,15,2025,2025-04-09T13:35:18+00:00,2025-04-09T13:35:18+00:00
154357,11513100014,2493286.83,17,2025,2025-04-23T12:05:48+00:00,2025-04-23T12:05:48+00:00
158835,11513100014,2783304.64,19,2025,2025-05-07T13:04:54+00:00,2025-05-07T13:04:54+00:00
163314,11513100014,2760438.59,21,2025,2025-05-21T19:48:32+00:00,2025-05-21T19:48:32+00:00
163315,11513100014,2791027.51,23,2025,2025-06-04T11:19:52+00:00,2025-06-04T11:19:52+00:00
163316,11513100014,3063019.19,25,2025,2025-06-18T11:55:12+00:00,2025-06-18T11:55:12+00:00
163317,11513100014,3009767.57,26,2025,2025-06-25T17:26:44+00:00,2025-06-25T17:26:44+00:00
