id,item_id,price,week,year,date_created,date_updated
2813,11514910012,86333333.33,11,2024,2024-03-17T14:19:51+00:00,2024-03-17T14:19:51+00:00
5377,11514910012,60791000.00,13,2024,2024-03-25T15:23:35+00:00,2024-03-27T11:13:06+00:00
9845,11514910012,60791000.00,14,2024,2024-04-03T10:44:47+00:00,2024-04-03T10:44:47+00:00
13967,11514910012,74565714.29,15,2024,2024-04-10T12:44:30+00:00,2024-04-10T12:44:30+00:00
18176,11514910012,74565714.29,16,2024,2024-04-17T11:27:51+00:00,2024-04-17T11:27:51+00:00
22381,11514910012,81545454.55,17,2024,2024-04-24T19:28:21+00:00,2024-04-24T19:28:21+00:00
26556,11514910012,81545454.55,18,2024,2024-05-01T10:42:14+00:00,2024-05-01T10:42:14+00:00
39013,11514910012,19999999.00,21,2024,2024-05-22T14:12:08+00:00,2024-05-22T14:12:08+00:00
43169,11514910012,19999999.00,22,2024,2024-05-30T22:16:20+00:00,2024-05-30T22:16:20+00:00
55654,11514910012,7666909.09,25,2024,2024-06-19T19:42:51+00:00,2024-06-19T19:42:51+00:00
59811,11514910012,7666909.09,26,2024,2024-06-26T13:24:57+00:00,2024-06-26T13:24:57+00:00
63980,11514910012,15472444.08,27,2024,2024-07-05T19:30:21+00:00,2024-07-05T19:30:21+00:00
68158,11514910012,15472444.08,28,2024,2024-07-11T08:56:03+00:00,2024-07-11T08:56:03+00:00
72344,11514910012,32492424.23,29,2024,2024-07-21T13:28:15+00:00,2024-07-21T13:28:15+00:00
76610,11514910012,32492424.23,30,2024,2024-07-26T16:28:33+00:00,2024-07-26T16:28:33+00:00
80861,11514910012,59571428.57,32,2024,2024-08-07T20:18:47+00:00,2024-08-09T14:31:32+00:00
89444,11514910012,37000000.00,37,2024,2024-09-11T14:22:25+00:00,2024-09-11T14:22:25+00:00
93763,11514910012,37000000.00,38,2024,2024-09-18T15:00:31+00:00,2024-09-18T15:00:31+00:00
98096,11514910012,30414141.27,39,2024,2024-09-25T12:11:49+00:00,2024-09-25T12:11:49+00:00
102376,11514910012,19973856.12,41,2024,2024-10-11T17:06:10+00:00,2024-10-11T17:06:10+00:00
106615,11514910012,30355532.80,44,2024,2024-11-03T16:44:53+00:00,2024-11-03T16:44:53+00:00
110902,11514910012,9714285.29,47,2024,2024-11-20T11:39:04+00:00,2024-11-20T11:39:04+00:00
115112,11514910012,35449999.83,50,2024,2024-12-11T16:49:46+00:00,2024-12-11T16:49:46+00:00
119343,11514910012,29175000.00,51,2024,2024-12-18T12:33:27+00:00,2024-12-18T12:33:27+00:00
123552,11514910012,14100000.00,1,2025,2025-01-01T20:11:16+00:00,2025-01-01T20:11:16+00:00
136298,11514910012,94962962.67,10,2025,2025-03-03T17:23:35+00:00,2025-03-03T17:23:35+00:00
140845,11514910012,112341879.69,11,2025,2025-03-12T11:02:41+00:00,2025-03-12T11:02:41+00:00
145378,11514910012,64362235.58,13,2025,2025-03-26T16:27:55+00:00,2025-03-26T16:27:55+00:00
149861,11514910012,48470463.80,15,2025,2025-04-09T13:35:22+00:00,2025-04-09T13:35:22+00:00
154405,11514910012,39338709.68,17,2025,2025-04-23T12:05:51+00:00,2025-04-23T12:05:51+00:00
158881,11514910012,31932110.09,19,2025,2025-05-07T13:04:57+00:00,2025-05-07T13:04:57+00:00
163361,11514910012,34764148.75,21,2025,2025-05-21T19:48:35+00:00,2025-05-21T19:48:35+00:00
163362,11514910012,35082598.61,23,2025,2025-06-04T11:19:54+00:00,2025-06-04T11:19:54+00:00
