id,item_id,price,week,year,date_created,date_updated
76,11503100029,500000000.00,11,2024,2024-03-17T13:13:29+00:00,2024-03-17T14:18:30+00:00
5276,11503100029,489285714.29,13,2024,2024-03-25T15:23:33+00:00,2024-03-25T15:23:33+00:00
13868,11503100029,550000000.00,15,2024,2024-04-10T12:44:27+00:00,2024-04-10T12:44:27+00:00
18077,11503100029,550000000.00,16,2024,2024-04-17T11:27:48+00:00,2024-04-17T11:27:48+00:00
22282,11503100029,430000000.00,17,2024,2024-04-24T19:28:18+00:00,2024-04-24T19:28:18+00:00
26457,11503100029,430000000.00,18,2024,2024-05-01T10:42:11+00:00,2024-05-01T10:42:11+00:00
30630,11503100029,498749999.12,19,2024,2024-05-08T18:03:33+00:00,2024-05-08T18:03:33+00:00
34770,11503100029,498749999.12,20,2024,2024-05-15T18:20:14+00:00,2024-05-15T18:20:14+00:00
47216,11503100029,850000000.00,23,2024,2024-06-06T20:46:30+00:00,2024-06-06T20:46:30+00:00
51384,11503100029,850000000.00,24,2024,2024-06-14T10:59:11+00:00,2024-06-14T10:59:11+00:00
55554,11503100029,862500000.00,25,2024,2024-06-19T19:42:48+00:00,2024-06-19T19:42:48+00:00
59711,11503100029,862500000.00,26,2024,2024-06-26T13:24:54+00:00,2024-06-26T13:24:54+00:00
72242,11503100029,716666666.67,29,2024,2024-07-21T13:28:12+00:00,2024-07-21T13:28:12+00:00
76508,11503100029,716666666.67,30,2024,2024-07-26T16:28:30+00:00,2024-07-26T16:28:30+00:00
80762,11503100029,649800000.00,32,2024,2024-08-07T20:18:44+00:00,2024-08-09T14:31:30+00:00
85056,11503100029,893500000.00,35,2024,2024-08-30T14:15:38+00:00,2024-08-30T14:15:38+00:00
97996,11503100029,637716054.50,39,2024,2024-09-25T12:11:46+00:00,2024-09-25T12:11:46+00:00
110805,11503100029,474500000.50,47,2024,2024-11-20T11:38:57+00:00,2024-11-20T11:38:57+00:00
115012,11503100029,242500000.50,50,2024,2024-12-11T16:49:41+00:00,2024-12-11T16:49:41+00:00
119244,11503100029,381701388.50,51,2024,2024-12-18T12:33:22+00:00,2024-12-18T12:33:22+00:00
123454,11503100029,475277777.61,1,2025,2025-01-01T20:11:09+00:00,2025-01-01T20:11:09+00:00
127636,11503100029,469230769.23,3,2025,2025-01-15T21:06:08+00:00,2025-01-15T21:06:08+00:00
131911,11503100029,469230769.23,6,2025,2025-02-04T20:21:50+00:00,2025-02-04T20:21:50+00:00
136198,11503100029,221823529.41,10,2025,2025-03-03T17:23:30+00:00,2025-03-03T17:23:30+00:00
140742,11503100029,342000000.00,11,2025,2025-03-12T11:02:35+00:00,2025-03-12T11:02:35+00:00
145276,11503100029,433333333.17,13,2025,2025-03-26T16:27:50+00:00,2025-03-26T16:27:50+00:00
149759,11503100029,372999999.67,15,2025,2025-04-09T13:35:14+00:00,2025-04-09T13:35:14+00:00
154301,11503100029,294558518.43,17,2025,2025-04-23T12:05:45+00:00,2025-04-23T12:05:45+00:00
