id,item_id,price,week,year,date_created,date_updated
3366,11503000010,17563.45,11,2024,2024-03-17T14:20:22+00:00,2024-03-17T14:20:22+00:00
5258,11503000010,17485.65,13,2024,2024-03-25T15:23:32+00:00,2024-03-27T11:13:04+00:00
9725,11503000010,17485.65,14,2024,2024-04-03T10:44:45+00:00,2024-04-03T10:44:45+00:00
13848,11503000010,47490.20,15,2024,2024-04-10T12:44:27+00:00,2024-04-10T12:44:27+00:00
18057,11503000010,47490.20,16,2024,2024-04-17T11:27:48+00:00,2024-04-17T11:27:48+00:00
22264,11503000010,50839.87,17,2024,2024-04-24T19:28:18+00:00,2024-04-24T19:28:18+00:00
26439,11503000010,50839.87,18,2024,2024-05-01T10:42:11+00:00,2024-05-01T10:42:11+00:00
30610,11503000010,19840.70,19,2024,2024-05-08T18:03:32+00:00,2024-05-08T18:03:32+00:00
34750,11503000010,19840.70,20,2024,2024-05-15T18:20:13+00:00,2024-05-15T18:20:13+00:00
38895,11503000010,19231.76,21,2024,2024-05-22T14:12:05+00:00,2024-05-22T14:12:05+00:00
43051,11503000010,19231.76,22,2024,2024-05-30T22:16:17+00:00,2024-05-30T22:16:17+00:00
47196,11503000010,23200.30,23,2024,2024-06-06T20:46:30+00:00,2024-06-06T20:46:30+00:00
51364,11503000010,23200.30,24,2024,2024-06-14T10:59:10+00:00,2024-06-14T10:59:10+00:00
55535,11503000010,10398.12,25,2024,2024-06-19T19:42:47+00:00,2024-06-19T19:42:47+00:00
59692,11503000010,10398.12,26,2024,2024-06-26T13:24:53+00:00,2024-06-26T13:24:53+00:00
63860,11503000010,70525.38,27,2024,2024-07-05T19:30:18+00:00,2024-07-05T19:30:18+00:00
68038,11503000010,70525.38,28,2024,2024-07-11T08:55:59+00:00,2024-07-11T08:55:59+00:00
72222,11503000010,60518.96,29,2024,2024-07-21T13:28:12+00:00,2024-07-21T13:28:12+00:00
76488,11503000010,60518.96,30,2024,2024-07-26T16:28:30+00:00,2024-07-26T16:28:30+00:00
80744,11503000010,13021.62,32,2024,2024-08-07T20:18:44+00:00,2024-08-09T14:31:29+00:00
85036,11503000010,16155.50,35,2024,2024-08-30T14:15:37+00:00,2024-08-30T14:15:37+00:00
89326,11503000010,14138.30,37,2024,2024-09-11T14:22:19+00:00,2024-09-11T14:22:19+00:00
93645,11503000010,14138.30,38,2024,2024-09-18T15:00:27+00:00,2024-09-18T15:00:27+00:00
97976,11503000010,18452.46,39,2024,2024-09-25T12:11:45+00:00,2024-09-25T12:11:45+00:00
102261,11503000010,17501.86,41,2024,2024-10-11T17:06:04+00:00,2024-10-11T17:06:04+00:00
106497,11503000010,17258.86,44,2024,2024-11-03T16:44:47+00:00,2024-11-03T16:44:47+00:00
110787,11503000010,29131.04,47,2024,2024-11-20T11:38:55+00:00,2024-11-20T11:38:55+00:00
114992,11503000010,23579.34,50,2024,2024-12-11T16:49:39+00:00,2024-12-11T16:49:39+00:00
119226,11503000010,17239.61,51,2024,2024-12-18T12:33:21+00:00,2024-12-18T12:33:21+00:00
123435,11503000010,74604.75,1,2025,2025-01-01T20:11:08+00:00,2025-01-01T20:11:08+00:00
127616,11503000010,118612.53,3,2025,2025-01-15T21:06:07+00:00,2025-01-15T21:06:07+00:00
131891,11503000010,118612.53,6,2025,2025-02-04T20:21:49+00:00,2025-02-04T20:21:49+00:00
136178,11503000010,28140.16,10,2025,2025-03-03T17:23:29+00:00,2025-03-03T17:23:29+00:00
140720,11503000010,32591.01,11,2025,2025-03-12T11:02:34+00:00,2025-03-12T11:02:34+00:00
145252,11503000010,12377.51,13,2025,2025-03-26T16:27:48+00:00,2025-03-26T16:27:48+00:00
149736,11503000010,2167.28,15,2025,2025-04-09T13:35:12+00:00,2025-04-09T13:35:12+00:00
154281,11503000010,4701.67,17,2025,2025-04-23T12:05:44+00:00,2025-04-23T12:05:44+00:00
158759,11503000010,38581.85,19,2025,2025-05-07T13:04:50+00:00,2025-05-07T13:04:50+00:00
163237,11503000010,3761.89,21,2025,2025-05-21T19:48:28+00:00,2025-05-21T19:48:28+00:00
163238,11503000010,141.62,23,2025,2025-06-04T11:19:47+00:00,2025-06-04T11:19:47+00:00
163239,11503000010,61722.66,25,2025,2025-06-18T11:55:07+00:00,2025-06-18T11:55:07+00:00
