id,item_id,price,week,year,date_created,date_updated
2347,11708060002,63764.56,11,2024,2024-03-17T14:19:29+00:00,2024-03-17T14:19:29+00:00
5683,11708060002,133698.70,13,2024,2024-03-25T15:23:43+00:00,2024-03-27T11:13:15+00:00
10150,11708060002,133698.70,14,2024,2024-04-03T10:44:56+00:00,2024-04-03T10:44:56+00:00
14281,11708060002,27409.09,15,2024,2024-04-10T12:44:38+00:00,2024-04-10T12:44:38+00:00
18490,11708060002,27409.09,16,2024,2024-04-17T11:28:00+00:00,2024-04-17T11:28:00+00:00
22686,11708060002,16363.59,17,2024,2024-04-24T19:28:29+00:00,2024-04-24T19:28:29+00:00
26861,11708060002,16363.59,18,2024,2024-05-01T10:42:22+00:00,2024-05-01T10:42:22+00:00
31030,11708060002,58798.01,19,2024,2024-05-08T18:03:44+00:00,2024-05-08T18:03:44+00:00
35170,11708060002,58798.01,20,2024,2024-05-15T18:20:25+00:00,2024-05-15T18:20:25+00:00
39314,11708060002,69533.70,21,2024,2024-05-22T14:12:17+00:00,2024-05-22T14:12:17+00:00
43470,11708060002,69533.70,22,2024,2024-05-30T22:16:29+00:00,2024-05-30T22:16:29+00:00
47628,11708060002,130868.79,23,2024,2024-06-06T20:46:42+00:00,2024-06-06T20:46:42+00:00
51796,11708060002,130868.79,24,2024,2024-06-14T10:59:23+00:00,2024-06-14T10:59:23+00:00
55964,11708060002,156249.25,25,2024,2024-06-19T19:43:00+00:00,2024-06-19T19:43:00+00:00
60121,11708060002,156249.25,26,2024,2024-06-26T13:25:06+00:00,2024-06-26T13:25:06+00:00
64294,11708060002,29376.11,27,2024,2024-07-05T19:30:31+00:00,2024-07-05T19:30:31+00:00
68472,11708060002,29376.11,28,2024,2024-07-11T08:56:13+00:00,2024-07-11T08:56:13+00:00
72654,11708060002,46904.46,29,2024,2024-07-21T13:28:26+00:00,2024-07-21T13:28:26+00:00
76920,11708060002,46904.46,30,2024,2024-07-26T16:28:44+00:00,2024-07-26T16:28:44+00:00
81172,11708060002,104750.00,32,2024,2024-08-07T20:18:58+00:00,2024-08-09T14:31:42+00:00
85470,11708060002,245727.27,35,2024,2024-08-30T14:15:52+00:00,2024-08-30T14:15:52+00:00
89754,11708060002,324470.97,37,2024,2024-09-11T14:22:37+00:00,2024-09-11T14:22:37+00:00
94073,11708060002,324470.97,38,2024,2024-09-18T15:00:42+00:00,2024-09-18T15:00:42+00:00
98426,11708060002,138112.34,39,2024,2024-09-25T12:12:02+00:00,2024-09-25T12:12:02+00:00
102693,11708060002,56111.90,41,2024,2024-10-11T17:06:27+00:00,2024-10-11T17:06:27+00:00
106933,11708060002,38561.85,44,2024,2024-11-03T16:45:10+00:00,2024-11-03T16:45:10+00:00
111215,11708060002,22326.70,47,2024,2024-11-20T11:39:21+00:00,2024-11-20T11:39:21+00:00
115430,11708060002,42058.32,50,2024,2024-12-11T16:50:05+00:00,2024-12-11T16:50:05+00:00
119660,11708060002,25056.82,51,2024,2024-12-18T12:33:47+00:00,2024-12-18T12:33:47+00:00
123868,11708060002,16347.08,1,2025,2025-01-01T20:11:33+00:00,2025-01-01T20:11:33+00:00
128056,11708060002,11298.83,3,2025,2025-01-15T21:06:33+00:00,2025-01-15T21:06:33+00:00
132331,11708060002,11298.83,6,2025,2025-02-04T20:22:31+00:00,2025-02-04T20:22:31+00:00
136627,11708060002,89372.99,10,2025,2025-03-03T17:23:54+00:00,2025-03-03T17:23:54+00:00
141176,11708060002,69788.42,11,2025,2025-03-12T11:03:01+00:00,2025-03-12T11:03:01+00:00
145708,11708060002,33711.92,13,2025,2025-03-26T16:28:14+00:00,2025-03-26T16:28:14+00:00
150191,11708060002,9894.36,15,2025,2025-04-09T13:35:51+00:00,2025-04-09T13:35:51+00:00
154734,11708060002,69753.51,17,2025,2025-04-23T12:06:09+00:00,2025-04-23T12:06:09+00:00
159208,11708060002,243612.40,19,2025,2025-05-07T13:05:17+00:00,2025-05-07T13:05:17+00:00
163679,11708060002,183027.16,21,2025,2025-05-21T19:48:55+00:00,2025-05-21T19:48:55+00:00
163680,11708060002,133255.69,23,2025,2025-06-04T11:20:19+00:00,2025-06-04T11:20:19+00:00
163681,11708060002,126889.28,25,2025,2025-06-18T11:55:35+00:00,2025-06-18T11:55:35+00:00
163682,11708060002,66109.33,26,2025,2025-06-25T17:27:06+00:00,2025-06-25T17:27:06+00:00
163683,11708060002,28264.00,28,2025,2025-07-09T13:05:35+00:00,2025-07-09T13:05:35+00:00
