id,item_id,price,week,year,date_created,date_updated
3086,11502000010,316587.24,11,2024,2024-03-17T14:20:06+00:00,2024-03-17T14:20:06+00:00
5247,11502000010,180394.21,13,2024,2024-03-25T15:23:32+00:00,2024-03-27T11:13:03+00:00
9714,11502000010,180394.21,14,2024,2024-04-03T10:44:44+00:00,2024-04-03T10:44:44+00:00
13838,11502000010,251171.55,15,2024,2024-04-10T12:44:26+00:00,2024-04-10T12:44:26+00:00
18047,11502000010,251171.55,16,2024,2024-04-17T11:27:48+00:00,2024-04-17T11:27:48+00:00
22253,11502000010,244984.83,17,2024,2024-04-24T19:28:17+00:00,2024-04-24T19:28:17+00:00
26428,11502000010,244984.83,18,2024,2024-05-01T10:42:11+00:00,2024-05-01T10:42:11+00:00
30599,11502000010,461041.98,19,2024,2024-05-08T18:03:32+00:00,2024-05-08T18:03:32+00:00
34739,11502000010,461041.98,20,2024,2024-05-15T18:20:13+00:00,2024-05-15T18:20:13+00:00
38884,11502000010,550899.49,21,2024,2024-05-22T14:12:05+00:00,2024-05-22T14:12:05+00:00
43040,11502000010,550899.49,22,2024,2024-05-30T22:16:16+00:00,2024-05-30T22:16:16+00:00
47185,11502000010,301895.04,23,2024,2024-06-06T20:46:29+00:00,2024-06-06T20:46:29+00:00
51353,11502000010,301895.04,24,2024,2024-06-14T10:59:10+00:00,2024-06-14T10:59:10+00:00
55524,11502000010,455564.93,25,2024,2024-06-19T19:42:47+00:00,2024-06-19T19:42:47+00:00
59681,11502000010,455564.93,26,2024,2024-06-26T13:24:53+00:00,2024-06-26T13:24:53+00:00
63849,11502000010,313693.80,27,2024,2024-07-05T19:30:18+00:00,2024-07-05T19:30:18+00:00
68027,11502000010,313693.80,28,2024,2024-07-11T08:55:59+00:00,2024-07-11T08:55:59+00:00
72211,11502000010,219208.96,29,2024,2024-07-21T13:28:12+00:00,2024-07-21T13:28:12+00:00
76477,11502000010,219208.96,30,2024,2024-07-26T16:28:29+00:00,2024-07-26T16:28:29+00:00
80733,11502000010,248651.50,32,2024,2024-08-07T20:18:43+00:00,2024-08-09T14:31:29+00:00
85025,11502000010,428140.26,35,2024,2024-08-30T14:15:37+00:00,2024-08-30T14:15:37+00:00
89315,11502000010,236628.91,37,2024,2024-09-11T14:22:19+00:00,2024-09-11T14:22:19+00:00
93634,11502000010,236628.91,38,2024,2024-09-18T15:00:27+00:00,2024-09-18T15:00:27+00:00
97965,11502000010,368054.31,39,2024,2024-09-25T12:11:45+00:00,2024-09-25T12:11:45+00:00
102250,11502000010,415222.01,41,2024,2024-10-11T17:06:03+00:00,2024-10-11T17:06:03+00:00
106486,11502000010,585812.32,44,2024,2024-11-03T16:44:46+00:00,2024-11-03T16:44:46+00:00
110776,11502000010,266281.22,47,2024,2024-11-20T11:38:54+00:00,2024-11-20T11:38:54+00:00
114979,11502000010,292444.17,50,2024,2024-12-11T16:49:39+00:00,2024-12-11T16:49:39+00:00
119212,11502000010,348592.82,51,2024,2024-12-18T12:33:21+00:00,2024-12-18T12:33:21+00:00
123421,11502000010,279611.29,1,2025,2025-01-01T20:11:08+00:00,2025-01-01T20:11:08+00:00
127601,11502000010,245677.98,3,2025,2025-01-15T21:06:06+00:00,2025-01-15T21:06:06+00:00
131876,11502000010,245677.98,6,2025,2025-02-04T20:21:47+00:00,2025-02-04T20:21:47+00:00
136164,11502000010,291552.94,10,2025,2025-03-03T17:23:28+00:00,2025-03-03T17:23:28+00:00
140706,11502000010,271209.21,11,2025,2025-03-12T11:02:33+00:00,2025-03-12T11:02:33+00:00
145237,11502000010,212441.31,13,2025,2025-03-26T16:27:48+00:00,2025-03-26T16:27:48+00:00
149721,11502000010,352126.61,15,2025,2025-04-09T13:35:11+00:00,2025-04-09T13:35:11+00:00
154266,11502000010,522287.51,17,2025,2025-04-23T12:05:44+00:00,2025-04-23T12:05:44+00:00
158744,11502000010,869135.38,19,2025,2025-05-07T13:04:49+00:00,2025-05-07T13:04:49+00:00
163223,11502000010,448012.89,21,2025,2025-05-21T19:48:27+00:00,2025-05-21T19:48:27+00:00
163224,11502000010,505883.37,23,2025,2025-06-04T11:19:46+00:00,2025-06-04T11:19:46+00:00
