id,item_id,price,week,year,date_created,date_updated
3775,11046010012,11046200000.00,11,2024,2024-03-17T14:20:49+00:00,2024-03-17T14:20:49+00:00
4878,11046010012,11539999991.00,13,2024,2024-03-25T15:23:25+00:00,2024-03-27T11:12:56+00:00
9345,11046010012,11539999991.00,14,2024,2024-04-03T10:44:37+00:00,2024-04-03T10:44:37+00:00
13466,11046010012,11911428571.43,15,2024,2024-04-10T12:44:18+00:00,2024-04-10T12:44:18+00:00
17675,11046010012,11911428571.43,16,2024,2024-04-17T11:27:39+00:00,2024-04-17T11:27:39+00:00
21883,11046010012,11390000000.00,17,2024,2024-04-24T19:28:09+00:00,2024-04-24T19:28:09+00:00
26058,11046010012,11390000000.00,18,2024,2024-05-01T10:42:02+00:00,2024-05-01T10:42:02+00:00
38516,11046010012,8899200000.00,21,2024,2024-05-22T14:11:56+00:00,2024-05-22T14:11:56+00:00
42672,11046010012,8899200000.00,22,2024,2024-05-30T22:16:08+00:00,2024-05-30T22:16:08+00:00
46816,11046010012,7880000000.00,23,2024,2024-06-06T20:46:19+00:00,2024-06-06T20:46:19+00:00
50984,11046010012,7880000000.00,24,2024,2024-06-14T10:59:01+00:00,2024-06-14T10:59:01+00:00
55159,11046010012,8532000000.00,25,2024,2024-06-19T19:42:39+00:00,2024-06-19T19:42:39+00:00
59316,11046010012,8532000000.00,26,2024,2024-06-26T13:24:44+00:00,2024-06-26T13:24:44+00:00
63482,11046010012,9033333333.33,27,2024,2024-07-05T19:30:09+00:00,2024-07-05T19:30:09+00:00
67660,11046010012,9033333333.33,28,2024,2024-07-11T08:55:49+00:00,2024-07-11T08:55:49+00:00
71837,11046010012,7240000000.00,29,2024,2024-07-21T13:28:02+00:00,2024-07-21T13:28:02+00:00
76103,11046010012,7240000000.00,30,2024,2024-07-26T16:28:19+00:00,2024-07-26T16:28:19+00:00
80365,11046010012,5380000000.00,32,2024,2024-08-07T20:18:33+00:00,2024-08-09T14:31:19+00:00
88941,11046010012,2614428571.43,37,2024,2024-09-11T14:22:08+00:00,2024-09-11T14:22:08+00:00
93260,11046010012,2614428571.43,38,2024,2024-09-18T15:00:17+00:00,2024-09-18T15:00:17+00:00
97586,11046010012,2216153846.00,39,2024,2024-09-25T12:11:32+00:00,2024-09-25T12:11:32+00:00
101873,11046010012,2199999999.00,41,2024,2024-10-11T17:05:45+00:00,2024-10-11T17:05:45+00:00
106113,11046010012,2129999999.70,44,2024,2024-11-03T16:44:29+00:00,2024-11-03T16:44:29+00:00
110401,11046010012,1875000000.00,47,2024,2024-11-20T11:38:18+00:00,2024-11-20T11:38:18+00:00
114607,11046010012,1428571428.57,50,2024,2024-12-11T16:49:20+00:00,2024-12-11T16:49:20+00:00
118835,11046010012,1027463636.36,51,2024,2024-12-18T12:33:03+00:00,2024-12-18T12:33:03+00:00
123045,11046010012,1084615384.62,1,2025,2025-01-01T20:10:48+00:00,2025-01-01T20:10:48+00:00
127226,11046010012,1261666666.67,3,2025,2025-01-15T21:05:47+00:00,2025-01-15T21:05:47+00:00
131501,11046010012,1261666666.67,6,2025,2025-02-04T20:21:17+00:00,2025-02-04T20:21:17+00:00
135781,11046010012,1062991688.31,10,2025,2025-03-03T17:23:09+00:00,2025-03-03T17:23:09+00:00
140298,11046010012,1313778389.60,11,2025,2025-03-12T11:02:13+00:00,2025-03-12T11:02:13+00:00
144823,11046010012,5775000000.00,13,2025,2025-03-26T16:27:27+00:00,2025-03-26T16:27:27+00:00
153859,11046010012,2059999999.75,17,2025,2025-04-23T12:05:23+00:00,2025-04-23T12:05:23+00:00
158327,11046010012,2099999999.71,19,2025,2025-05-07T13:04:28+00:00,2025-05-07T13:04:28+00:00
162807,11046010012,1549299997.50,21,2025,2025-05-21T19:48:06+00:00,2025-05-21T19:48:06+00:00
162808,11046010012,1549999998.12,23,2025,2025-06-04T11:19:24+00:00,2025-06-04T11:19:24+00:00
