id,item_id,price,week,year,date_created,date_updated
601,11519100024,653064189.06,11,2024,2024-03-17T14:18:37+00:00,2024-03-17T14:18:37+00:00
5408,11519100024,564950408.00,13,2024,2024-03-25T15:23:36+00:00,2024-03-27T11:13:07+00:00
9879,11519100024,564950408.00,14,2024,2024-04-03T10:44:48+00:00,2024-04-03T10:44:48+00:00
14000,11519100024,449641909.55,15,2024,2024-04-10T12:44:30+00:00,2024-04-10T12:44:30+00:00
18209,11519100024,449641909.55,16,2024,2024-04-17T11:27:52+00:00,2024-04-17T11:27:52+00:00
22412,11519100024,371121323.80,17,2024,2024-04-24T19:28:22+00:00,2024-04-24T19:28:22+00:00
26587,11519100024,371121323.80,18,2024,2024-05-01T10:42:14+00:00,2024-05-01T10:42:14+00:00
30762,11519100024,314464208.24,19,2024,2024-05-08T18:03:36+00:00,2024-05-08T18:03:36+00:00
34902,11519100024,314464208.24,20,2024,2024-05-15T18:20:17+00:00,2024-05-15T18:20:17+00:00
39045,11519100024,274210407.24,21,2024,2024-05-22T14:12:09+00:00,2024-05-22T14:12:09+00:00
43201,11519100024,274210407.24,22,2024,2024-05-30T22:16:20+00:00,2024-05-30T22:16:20+00:00
47346,11519100024,296040427.74,23,2024,2024-06-06T20:46:34+00:00,2024-06-06T20:46:34+00:00
51514,11519100024,296040427.74,24,2024,2024-06-14T10:59:15+00:00,2024-06-14T10:59:15+00:00
55688,11519100024,258183962.26,25,2024,2024-06-19T19:42:52+00:00,2024-06-19T19:42:52+00:00
59845,11519100024,258183962.26,26,2024,2024-06-26T13:24:57+00:00,2024-06-26T13:24:57+00:00
64017,11519100024,224087729.38,27,2024,2024-07-05T19:30:23+00:00,2024-07-05T19:30:23+00:00
68195,11519100024,224087729.38,28,2024,2024-07-11T08:56:04+00:00,2024-07-11T08:56:04+00:00
72377,11519100024,232556109.00,29,2024,2024-07-21T13:28:16+00:00,2024-07-21T13:28:16+00:00
76643,11519100024,232556109.00,30,2024,2024-07-26T16:28:34+00:00,2024-07-26T16:28:34+00:00
80891,11519100024,223872060.69,32,2024,2024-08-07T20:18:48+00:00,2024-08-09T14:31:33+00:00
85191,11519100024,333459997.27,35,2024,2024-08-30T14:15:42+00:00,2024-08-30T14:15:42+00:00
89479,11519100024,223939203.66,37,2024,2024-09-11T14:22:26+00:00,2024-09-11T14:22:26+00:00
93798,11519100024,223939203.66,38,2024,2024-09-18T15:00:32+00:00,2024-09-18T15:00:32+00:00
98133,11519100024,251479850.38,39,2024,2024-09-25T12:11:51+00:00,2024-09-25T12:11:51+00:00
102412,11519100024,207517381.92,41,2024,2024-10-11T17:06:12+00:00,2024-10-11T17:06:12+00:00
106650,11519100024,196540174.71,44,2024,2024-11-03T16:44:54+00:00,2024-11-03T16:44:54+00:00
110937,11519100024,138559549.91,47,2024,2024-11-20T11:39:06+00:00,2024-11-20T11:39:06+00:00
115149,11519100024,147637785.80,50,2024,2024-12-11T16:49:48+00:00,2024-12-11T16:49:48+00:00
119378,11519100024,136679999.68,51,2024,2024-12-18T12:33:29+00:00,2024-12-18T12:33:29+00:00
123588,11519100024,107700892.86,1,2025,2025-01-01T20:11:18+00:00,2025-01-01T20:11:18+00:00
127770,11519100024,109691876.41,3,2025,2025-01-15T21:06:16+00:00,2025-01-15T21:06:16+00:00
132045,11519100024,109691876.41,6,2025,2025-02-04T20:22:04+00:00,2025-02-04T20:22:04+00:00
136332,11519100024,123962809.64,10,2025,2025-03-03T17:23:37+00:00,2025-03-03T17:23:37+00:00
140882,11519100024,112200631.66,11,2025,2025-03-12T11:02:43+00:00,2025-03-12T11:02:43+00:00
145416,11519100024,98457322.37,13,2025,2025-03-26T16:27:57+00:00,2025-03-26T16:27:57+00:00
149897,11519100024,77703349.28,15,2025,2025-04-09T13:35:26+00:00,2025-04-09T13:35:26+00:00
154442,11519100024,58528528.34,17,2025,2025-04-23T12:05:53+00:00,2025-04-23T12:05:53+00:00
158919,11519100024,69931596.09,19,2025,2025-05-07T13:04:59+00:00,2025-05-07T13:04:59+00:00
163395,11519100024,60914110.43,21,2025,2025-05-21T19:48:38+00:00,2025-05-21T19:48:38+00:00
163396,11519100024,49759139.78,23,2025,2025-06-04T11:19:57+00:00,2025-06-04T11:19:57+00:00
