id,item_id,price,week,year,date_created,date_updated
13246,11002710032,9166666666.00,15,2024,2024-04-10T12:44:15+00:00,2024-04-10T12:44:15+00:00
17455,11002710032,9166666666.00,16,2024,2024-04-17T11:27:36+00:00,2024-04-17T11:27:36+00:00
30013,11002710032,9999999999.00,19,2024,2024-05-08T18:03:20+00:00,2024-05-08T18:03:20+00:00
34153,11002710032,9999999999.00,20,2024,2024-05-15T18:20:01+00:00,2024-05-15T18:20:01+00:00
84431,11002710032,6200000000.00,35,2024,2024-08-30T14:15:22+00:00,2024-08-30T14:15:22+00:00
88717,11002710032,7266666666.67,37,2024,2024-09-11T14:22:02+00:00,2024-09-11T14:22:02+00:00
93036,11002710032,7266666666.67,38,2024,2024-09-18T15:00:12+00:00,2024-09-18T15:00:12+00:00
97362,11002710032,10666666666.67,39,2024,2024-09-25T12:11:26+00:00,2024-09-25T12:11:26+00:00
97363,11002710032,9000000000.00,28,2025,2025-07-09T13:03:40+00:00,2025-07-09T13:03:40+00:00
97364,11002710032,9749999999.25,30,2025,2025-07-23T20:38:44+00:00,2025-07-23T20:38:44+00:00
