id,item_id,price,week,year,date_created,date_updated
1859,11002310010,390023.91,11,2024,2024-03-17T14:19:10+00:00,2024-03-17T14:19:10+00:00
4611,11002310010,469141.65,13,2024,2024-03-25T15:23:21+00:00,2024-03-27T11:12:52+00:00
9083,11002310010,469141.65,14,2024,2024-04-03T10:44:33+00:00,2024-04-03T10:44:33+00:00
13200,11002310010,470892.77,15,2024,2024-04-10T12:44:14+00:00,2024-04-10T12:44:14+00:00
17409,11002310010,470892.77,16,2024,2024-04-17T11:27:35+00:00,2024-04-17T11:27:35+00:00
21624,11002310010,376950.52,17,2024,2024-04-24T19:28:05+00:00,2024-04-24T19:28:05+00:00
25799,11002310010,376950.52,18,2024,2024-05-01T10:41:58+00:00,2024-05-01T10:41:58+00:00
29970,11002310010,453695.78,19,2024,2024-05-08T18:03:19+00:00,2024-05-08T18:03:19+00:00
34110,11002310010,453695.78,20,2024,2024-05-15T18:20:00+00:00,2024-05-15T18:20:00+00:00
38248,11002310010,518880.51,21,2024,2024-05-22T14:11:52+00:00,2024-05-22T14:11:52+00:00
42404,11002310010,518880.51,22,2024,2024-05-30T22:16:03+00:00,2024-05-30T22:16:03+00:00
46555,11002310010,391951.05,23,2024,2024-06-06T20:46:13+00:00,2024-06-06T20:46:13+00:00
50723,11002310010,391951.05,24,2024,2024-06-14T10:58:56+00:00,2024-06-14T10:58:56+00:00
54898,11002310010,427827.16,25,2024,2024-06-19T19:42:34+00:00,2024-06-19T19:42:34+00:00
59055,11002310010,427827.16,26,2024,2024-06-26T13:24:39+00:00,2024-06-26T13:24:39+00:00
63218,11002310010,372792.27,27,2024,2024-07-05T19:30:03+00:00,2024-07-05T19:30:03+00:00
67396,11002310010,372792.27,28,2024,2024-07-11T08:55:43+00:00,2024-07-11T08:55:43+00:00
71572,11002310010,367333.15,29,2024,2024-07-21T13:27:57+00:00,2024-07-21T13:27:57+00:00
75838,11002310010,367333.15,30,2024,2024-07-26T16:28:13+00:00,2024-07-26T16:28:13+00:00
80099,11002310010,371360.26,32,2024,2024-08-07T20:18:28+00:00,2024-08-09T14:31:14+00:00
84386,11002310010,449077.36,35,2024,2024-08-30T14:15:21+00:00,2024-08-30T14:15:21+00:00
88669,11002310010,395658.67,37,2024,2024-09-11T14:22:01+00:00,2024-09-11T14:22:01+00:00
92988,11002310010,395658.67,38,2024,2024-09-18T15:00:11+00:00,2024-09-18T15:00:11+00:00
97317,11002310010,492354.01,39,2024,2024-09-25T12:11:25+00:00,2024-09-25T12:11:25+00:00
101606,11002310010,450000.00,41,2024,2024-10-11T17:05:30+00:00,2024-10-11T17:05:30+00:00
105850,11002310010,336399.76,44,2024,2024-11-03T16:44:20+00:00,2024-11-03T16:44:20+00:00
110132,11002310010,509260.57,47,2024,2024-11-20T11:38:02+00:00,2024-11-20T11:38:02+00:00
114341,11002310010,447720.92,50,2024,2024-12-11T16:49:09+00:00,2024-12-11T16:49:09+00:00
118566,11002310010,419192.21,51,2024,2024-12-18T12:32:52+00:00,2024-12-18T12:32:52+00:00
122777,11002310010,422285.35,1,2025,2025-01-01T20:10:29+00:00,2025-01-01T20:10:29+00:00
126958,11002310010,406162.36,3,2025,2025-01-15T21:05:36+00:00,2025-01-15T21:05:36+00:00
131233,11002310010,406162.36,6,2025,2025-02-04T20:20:55+00:00,2025-02-04T20:20:55+00:00
135514,11002310010,628281.31,10,2025,2025-03-03T17:22:58+00:00,2025-03-03T17:22:58+00:00
140024,11002310010,604129.22,11,2025,2025-03-12T11:02:01+00:00,2025-03-12T11:02:01+00:00
144539,11002310010,484295.84,13,2025,2025-03-26T16:27:13+00:00,2025-03-26T16:27:13+00:00
149018,11002310010,417403.68,15,2025,2025-04-09T13:34:06+00:00,2025-04-09T13:34:06+00:00
153569,11002310010,280431.34,17,2025,2025-04-23T12:05:09+00:00,2025-04-23T12:05:09+00:00
158031,11002310010,295740.45,19,2025,2025-05-07T13:04:13+00:00,2025-05-07T13:04:13+00:00
162513,11002310010,390919.40,21,2025,2025-05-21T19:47:53+00:00,2025-05-21T19:47:53+00:00
162514,11002310010,497134.06,23,2025,2025-06-04T11:19:11+00:00,2025-06-04T11:19:11+00:00
