id,item_id,price,week,year,date_created,date_updated
1015,11304200012,4904619.57,11,2024,2024-03-17T14:18:45+00:00,2024-03-17T14:18:45+00:00
5070,11304200012,5554695.74,13,2024,2024-03-25T15:23:28+00:00,2024-03-27T11:13:00+00:00
9538,11304200012,5554695.74,14,2024,2024-04-03T10:44:40+00:00,2024-04-03T10:44:40+00:00
13657,11304200012,7158475.58,15,2024,2024-04-10T12:44:22+00:00,2024-04-10T12:44:22+00:00
17866,11304200012,7158475.58,16,2024,2024-04-17T11:27:43+00:00,2024-04-17T11:27:43+00:00
22076,11304200012,6880117.54,17,2024,2024-04-24T19:28:13+00:00,2024-04-24T19:28:13+00:00
26251,11304200012,6880117.54,18,2024,2024-05-01T10:42:07+00:00,2024-05-01T10:42:07+00:00
30421,11304200012,6048261.86,19,2024,2024-05-08T18:03:28+00:00,2024-05-08T18:03:28+00:00
34561,11304200012,6048261.86,20,2024,2024-05-15T18:20:09+00:00,2024-05-15T18:20:09+00:00
38709,11304200012,6387883.69,21,2024,2024-05-22T14:12:01+00:00,2024-05-22T14:12:01+00:00
42865,11304200012,6387883.69,22,2024,2024-05-30T22:16:12+00:00,2024-05-30T22:16:12+00:00
47011,11304200012,6158568.27,23,2024,2024-06-06T20:46:25+00:00,2024-06-06T20:46:25+00:00
51179,11304200012,6158568.27,24,2024,2024-06-14T10:59:06+00:00,2024-06-14T10:59:06+00:00
55354,11304200012,5939649.12,25,2024,2024-06-19T19:42:43+00:00,2024-06-19T19:42:43+00:00
59511,11304200012,5939649.12,26,2024,2024-06-26T13:24:49+00:00,2024-06-26T13:24:49+00:00
63675,11304200012,7445454.27,27,2024,2024-07-05T19:30:13+00:00,2024-07-05T19:30:13+00:00
67853,11304200012,7445454.27,28,2024,2024-07-11T08:55:54+00:00,2024-07-11T08:55:54+00:00
72036,11304200012,6548632.52,29,2024,2024-07-21T13:28:07+00:00,2024-07-21T13:28:07+00:00
76302,11304200012,6548632.52,30,2024,2024-07-26T16:28:24+00:00,2024-07-26T16:28:24+00:00
80558,11304200012,7524814.81,32,2024,2024-08-07T20:18:38+00:00,2024-08-09T14:31:24+00:00
84848,11304200012,15143968.64,35,2024,2024-08-30T14:15:32+00:00,2024-08-30T14:15:32+00:00
89137,11304200012,9098823.53,37,2024,2024-09-11T14:22:14+00:00,2024-09-11T14:22:14+00:00
93456,11304200012,9098823.53,38,2024,2024-09-18T15:00:22+00:00,2024-09-18T15:00:22+00:00
97784,11304200012,6475268.82,39,2024,2024-09-25T12:11:37+00:00,2024-09-25T12:11:37+00:00
102073,11304200012,6410294.12,41,2024,2024-10-11T17:05:54+00:00,2024-10-11T17:05:54+00:00
106312,11304200012,6193749.67,44,2024,2024-11-03T16:44:38+00:00,2024-11-03T16:44:38+00:00
110601,11304200012,5169667.94,47,2024,2024-11-20T11:38:36+00:00,2024-11-20T11:38:36+00:00
114805,11304200012,5924553.57,50,2024,2024-12-11T16:49:30+00:00,2024-12-11T16:49:30+00:00
119036,11304200012,6493332.94,51,2024,2024-12-18T12:33:12+00:00,2024-12-18T12:33:12+00:00
123244,11304200012,5561693.19,1,2025,2025-01-01T20:10:59+00:00,2025-01-01T20:10:59+00:00
127424,11304200012,5405712.82,3,2025,2025-01-15T21:05:57+00:00,2025-01-15T21:05:57+00:00
131699,11304200012,5405712.82,6,2025,2025-02-04T20:21:34+00:00,2025-02-04T20:21:34+00:00
135986,11304200012,8499460.43,10,2025,2025-03-03T17:23:19+00:00,2025-03-03T17:23:19+00:00
140511,11304200012,7127586.21,11,2025,2025-03-12T11:02:23+00:00,2025-03-12T11:02:23+00:00
145035,11304200012,6914150.66,13,2025,2025-03-26T16:27:37+00:00,2025-03-26T16:27:37+00:00
149519,11304200012,6435204.08,15,2025,2025-04-09T13:34:50+00:00,2025-04-09T13:34:50+00:00
154067,11304200012,7104205.23,17,2025,2025-04-23T12:05:34+00:00,2025-04-23T12:05:34+00:00
158542,11304200012,7695075.45,19,2025,2025-05-07T13:04:39+00:00,2025-05-07T13:04:39+00:00
163021,11304200012,6847530.83,21,2025,2025-05-21T19:48:17+00:00,2025-05-21T19:48:17+00:00
163022,11304200012,6998000.00,23,2025,2025-06-04T11:19:35+00:00,2025-06-04T11:19:35+00:00
163023,11304200012,6321538.07,25,2025,2025-06-18T11:54:53+00:00,2025-06-18T11:54:53+00:00
