id,item_id,price,week,year,date_created,date_updated
3575,11304500014,18990001.00,11,2024,2024-03-17T14:20:35+00:00,2024-03-17T14:20:35+00:00
13673,11304500014,1980000000.00,15,2024,2024-04-10T12:44:23+00:00,2024-04-10T12:44:23+00:00
17882,11304500014,1980000000.00,16,2024,2024-04-17T11:27:44+00:00,2024-04-17T11:27:44+00:00
22091,11304500014,1790000000.00,17,2024,2024-04-24T19:28:13+00:00,2024-04-24T19:28:13+00:00
26266,11304500014,1790000000.00,18,2024,2024-05-01T10:42:07+00:00,2024-05-01T10:42:07+00:00
63691,11304500014,13111111111.00,27,2024,2024-07-05T19:30:13+00:00,2024-07-05T19:30:13+00:00
67869,11304500014,13111111111.00,28,2024,2024-07-11T08:55:54+00:00,2024-07-11T08:55:54+00:00
80575,11304500014,500000000.00,32,2024,2024-08-07T20:18:39+00:00,2024-08-09T14:31:25+00:00
84864,11304500014,15110111111.00,35,2024,2024-08-30T14:15:32+00:00,2024-08-30T14:15:32+00:00
140528,11304500014,20000.00,11,2025,2025-03-12T11:02:24+00:00,2025-03-12T11:02:24+00:00
145052,11304500014,4963333.31,13,2025,2025-03-26T16:27:38+00:00,2025-03-26T16:27:38+00:00
149535,11304500014,5689189.19,15,2025,2025-04-09T13:34:51+00:00,2025-04-09T13:34:51+00:00
154084,11304500014,2791224.71,17,2025,2025-04-23T12:05:35+00:00,2025-04-23T12:05:35+00:00
158558,11304500014,6672413.36,19,2025,2025-05-07T13:04:40+00:00,2025-05-07T13:04:40+00:00
163038,11304500014,6319412.50,21,2025,2025-05-21T19:48:18+00:00,2025-05-21T19:48:18+00:00
163039,11304500014,4510787.23,23,2025,2025-06-04T11:19:36+00:00,2025-06-04T11:19:36+00:00
163040,11304500014,4125592.53,25,2025,2025-06-18T11:54:54+00:00,2025-06-18T11:54:54+00:00
163041,11304500014,1652347.03,26,2025,2025-06-25T17:26:29+00:00,2025-06-25T17:26:29+00:00
