id,item_id,price,week,year,date_created,date_updated
3573,11304500012,4388745.73,11,2024,2024-03-17T14:20:35+00:00,2024-03-17T14:20:35+00:00
5084,11304500012,4849363.14,13,2024,2024-03-25T15:23:29+00:00,2024-03-27T11:13:00+00:00
9551,11304500012,4849363.14,14,2024,2024-04-03T10:44:41+00:00,2024-04-03T10:44:41+00:00
13671,11304500012,4729521.41,15,2024,2024-04-10T12:44:23+00:00,2024-04-10T12:44:23+00:00
17880,11304500012,4729521.41,16,2024,2024-04-17T11:27:44+00:00,2024-04-17T11:27:44+00:00
22089,11304500012,3968696.48,17,2024,2024-04-24T19:28:13+00:00,2024-04-24T19:28:13+00:00
26264,11304500012,3968696.48,18,2024,2024-05-01T10:42:07+00:00,2024-05-01T10:42:07+00:00
30435,11304500012,4585626.26,19,2024,2024-05-08T18:03:28+00:00,2024-05-08T18:03:28+00:00
34575,11304500012,4585626.26,20,2024,2024-05-15T18:20:09+00:00,2024-05-15T18:20:09+00:00
38722,11304500012,3799926.42,21,2024,2024-05-22T14:12:01+00:00,2024-05-22T14:12:01+00:00
42878,11304500012,3799926.42,22,2024,2024-05-30T22:16:12+00:00,2024-05-30T22:16:12+00:00
47024,11304500012,3285628.48,23,2024,2024-06-06T20:46:25+00:00,2024-06-06T20:46:25+00:00
51192,11304500012,3285628.48,24,2024,2024-06-14T10:59:06+00:00,2024-06-14T10:59:06+00:00
55367,11304500012,3720401.34,25,2024,2024-06-19T19:42:43+00:00,2024-06-19T19:42:43+00:00
59524,11304500012,3720401.34,26,2024,2024-06-26T13:24:49+00:00,2024-06-26T13:24:49+00:00
63689,11304500012,3153273.81,27,2024,2024-07-05T19:30:13+00:00,2024-07-05T19:30:13+00:00
67867,11304500012,3153273.81,28,2024,2024-07-11T08:55:54+00:00,2024-07-11T08:55:54+00:00
72050,11304500012,2993730.89,29,2024,2024-07-21T13:28:07+00:00,2024-07-21T13:28:07+00:00
76316,11304500012,2993730.89,30,2024,2024-07-26T16:28:25+00:00,2024-07-26T16:28:25+00:00
80573,11304500012,2998523.22,32,2024,2024-08-07T20:18:39+00:00,2024-08-09T14:31:25+00:00
84862,11304500012,3420631.07,35,2024,2024-08-30T14:15:32+00:00,2024-08-30T14:15:32+00:00
89151,11304500012,3200257.39,37,2024,2024-09-11T14:22:14+00:00,2024-09-11T14:22:14+00:00
93470,11304500012,3200257.39,38,2024,2024-09-18T15:00:22+00:00,2024-09-18T15:00:22+00:00
97798,11304500012,2951806.21,39,2024,2024-09-25T12:11:38+00:00,2024-09-25T12:11:38+00:00
102086,11304500012,3048824.75,41,2024,2024-10-11T17:05:55+00:00,2024-10-11T17:05:55+00:00
106325,11304500012,2432573.61,44,2024,2024-11-03T16:44:39+00:00,2024-11-03T16:44:39+00:00
110615,11304500012,2879718.39,47,2024,2024-11-20T11:38:37+00:00,2024-11-20T11:38:37+00:00
114819,11304500012,2634968.30,50,2024,2024-12-11T16:49:30+00:00,2024-12-11T16:49:30+00:00
119050,11304500012,2678192.77,51,2024,2024-12-18T12:33:13+00:00,2024-12-18T12:33:13+00:00
123258,11304500012,2278640.78,1,2025,2025-01-01T20:11:00+00:00,2025-01-01T20:11:00+00:00
127438,11304500012,3023611.11,3,2025,2025-01-15T21:05:58+00:00,2025-01-15T21:05:58+00:00
131713,11304500012,3023611.11,6,2025,2025-02-04T20:21:35+00:00,2025-02-04T20:21:35+00:00
136000,11304500012,2306784.66,10,2025,2025-03-03T17:23:20+00:00,2025-03-03T17:23:20+00:00
140526,11304500012,1742404.73,11,2025,2025-03-12T11:02:24+00:00,2025-03-12T11:02:24+00:00
145050,11304500012,1380408.95,13,2025,2025-03-26T16:27:38+00:00,2025-03-26T16:27:38+00:00
149533,11304500012,2289968.65,15,2025,2025-04-09T13:34:51+00:00,2025-04-09T13:34:51+00:00
154082,11304500012,2929269.07,17,2025,2025-04-23T12:05:35+00:00,2025-04-23T12:05:35+00:00
158556,11304500012,3197318.61,19,2025,2025-05-07T13:04:39+00:00,2025-05-07T13:04:39+00:00
163036,11304500012,4043689.52,21,2025,2025-05-21T19:48:18+00:00,2025-05-21T19:48:18+00:00
