id,item_id,price,week,year,date_created,date_updated
3869,11000520012,160927.87,11,2024,2024-03-17T14:20:55+00:00,2024-03-17T14:20:55+00:00
4564,11000520012,163115.44,13,2024,2024-03-25T15:23:20+00:00,2024-03-27T11:12:52+00:00
9038,11000520012,163115.44,14,2024,2024-04-03T10:44:32+00:00,2024-04-03T10:44:32+00:00
13154,11000520012,209691.03,15,2024,2024-04-10T12:44:13+00:00,2024-04-10T12:44:13+00:00
17363,11000520012,209691.03,16,2024,2024-04-17T11:27:35+00:00,2024-04-17T11:27:35+00:00
21580,11000520012,220787.63,17,2024,2024-04-24T19:28:04+00:00,2024-04-24T19:28:04+00:00
25755,11000520012,220787.63,18,2024,2024-05-01T10:41:57+00:00,2024-05-01T10:41:57+00:00
29923,11000520012,204052.45,19,2024,2024-05-08T18:03:19+00:00,2024-05-08T18:03:19+00:00
34063,11000520012,204052.45,20,2024,2024-05-15T18:19:59+00:00,2024-05-15T18:19:59+00:00
38202,11000520012,219023.28,21,2024,2024-05-22T14:11:51+00:00,2024-05-22T14:11:51+00:00
42358,11000520012,219023.28,22,2024,2024-05-30T22:16:03+00:00,2024-05-30T22:16:03+00:00
46510,11000520012,185885.22,23,2024,2024-06-06T20:46:13+00:00,2024-06-06T20:46:13+00:00
50678,11000520012,185885.22,24,2024,2024-06-14T10:58:56+00:00,2024-06-14T10:58:56+00:00
54854,11000520012,150317.04,25,2024,2024-06-19T19:42:33+00:00,2024-06-19T19:42:33+00:00
59011,11000520012,150317.04,26,2024,2024-06-26T13:24:39+00:00,2024-06-26T13:24:39+00:00
63173,11000520012,224448.83,27,2024,2024-07-05T19:30:02+00:00,2024-07-05T19:30:02+00:00
67351,11000520012,224448.83,28,2024,2024-07-11T08:55:43+00:00,2024-07-11T08:55:43+00:00
71525,11000520012,155756.10,29,2024,2024-07-21T13:27:56+00:00,2024-07-21T13:27:56+00:00
75791,11000520012,155756.10,30,2024,2024-07-26T16:28:13+00:00,2024-07-26T16:28:13+00:00
80053,11000520012,197379.29,32,2024,2024-08-07T20:18:27+00:00,2024-08-09T14:31:13+00:00
84341,11000520012,201891.49,35,2024,2024-08-30T14:15:20+00:00,2024-08-30T14:15:20+00:00
88622,11000520012,102408.31,37,2024,2024-09-11T14:22:00+00:00,2024-09-11T14:22:00+00:00
92941,11000520012,102408.31,38,2024,2024-09-18T15:00:10+00:00,2024-09-18T15:00:10+00:00
97270,11000520012,184426.70,39,2024,2024-09-25T12:11:23+00:00,2024-09-25T12:11:23+00:00
101555,11000520012,207608.55,41,2024,2024-10-11T17:05:25+00:00,2024-10-11T17:05:25+00:00
105803,11000520012,210203.65,44,2024,2024-11-03T16:44:18+00:00,2024-11-03T16:44:18+00:00
110087,11000520012,205244.78,47,2024,2024-11-20T11:38:00+00:00,2024-11-20T11:38:00+00:00
114294,11000520012,172600.35,50,2024,2024-12-11T16:49:07+00:00,2024-12-11T16:49:07+00:00
118519,11000520012,153278.96,51,2024,2024-12-18T12:32:50+00:00,2024-12-18T12:32:50+00:00
122728,11000520012,235174.13,1,2025,2025-01-01T20:10:27+00:00,2025-01-01T20:10:27+00:00
126909,11000520012,231984.30,3,2025,2025-01-15T21:05:34+00:00,2025-01-15T21:05:34+00:00
131184,11000520012,231984.30,6,2025,2025-02-04T20:20:51+00:00,2025-02-04T20:20:51+00:00
135465,11000520012,98185.64,10,2025,2025-03-03T17:22:56+00:00,2025-03-03T17:22:56+00:00
139973,11000520012,142286.99,11,2025,2025-03-12T11:01:59+00:00,2025-03-12T11:01:59+00:00
144484,11000520012,125312.85,13,2025,2025-03-26T16:27:11+00:00,2025-03-26T16:27:11+00:00
148965,11000520012,127700.99,15,2025,2025-04-09T13:34:02+00:00,2025-04-09T13:34:02+00:00
153516,11000520012,132572.98,17,2025,2025-04-23T12:05:06+00:00,2025-04-23T12:05:06+00:00
157978,11000520012,165956.16,19,2025,2025-05-07T13:04:11+00:00,2025-05-07T13:04:11+00:00
162463,11000520012,221592.53,21,2025,2025-05-21T19:47:51+00:00,2025-05-21T19:47:51+00:00
162464,11000520012,183151.97,23,2025,2025-06-04T11:19:09+00:00,2025-06-04T11:19:09+00:00
162465,11000520012,225476.34,25,2025,2025-06-18T11:54:09+00:00,2025-06-18T11:54:09+00:00
162466,11000520012,171270.95,26,2025,2025-06-25T17:26:01+00:00,2025-06-25T17:26:01+00:00
