id,item_id,price,week,year,date_created,date_updated
4042,11101200024,10817175.64,11,2024,2024-03-17T14:21:07+00:00,2024-03-17T14:21:07+00:00
4917,11101200024,10533860.60,13,2024,2024-03-25T15:23:25+00:00,2024-03-27T11:12:57+00:00
9383,11101200024,10533860.60,14,2024,2024-04-03T10:44:38+00:00,2024-04-03T10:44:38+00:00
13505,11101200024,10963635.14,15,2024,2024-04-10T12:44:19+00:00,2024-04-10T12:44:19+00:00
17714,11101200024,10963635.14,16,2024,2024-04-17T11:27:40+00:00,2024-04-17T11:27:40+00:00
21922,11101200024,11407441.95,17,2024,2024-04-24T19:28:10+00:00,2024-04-24T19:28:10+00:00
26097,11101200024,11407441.95,18,2024,2024-05-01T10:42:03+00:00,2024-05-01T10:42:03+00:00
30270,11101200024,11364056.21,19,2024,2024-05-08T18:03:25+00:00,2024-05-08T18:03:25+00:00
34410,11101200024,11364056.21,20,2024,2024-05-15T18:20:06+00:00,2024-05-15T18:20:06+00:00
38555,11101200024,11453147.24,21,2024,2024-05-22T14:11:57+00:00,2024-05-22T14:11:57+00:00
42711,11101200024,11453147.24,22,2024,2024-05-30T22:16:09+00:00,2024-05-30T22:16:09+00:00
46856,11101200024,13098904.86,23,2024,2024-06-06T20:46:20+00:00,2024-06-06T20:46:20+00:00
51024,11101200024,13098904.86,24,2024,2024-06-14T10:59:02+00:00,2024-06-14T10:59:02+00:00
55199,11101200024,10734363.02,25,2024,2024-06-19T19:42:40+00:00,2024-06-19T19:42:40+00:00
59356,11101200024,10734363.02,26,2024,2024-06-26T13:24:45+00:00,2024-06-26T13:24:45+00:00
63521,11101200024,12159828.88,27,2024,2024-07-05T19:30:09+00:00,2024-07-05T19:30:09+00:00
67699,11101200024,12159828.88,28,2024,2024-07-11T08:55:50+00:00,2024-07-11T08:55:50+00:00
71877,11101200024,10602219.20,29,2024,2024-07-21T13:28:03+00:00,2024-07-21T13:28:03+00:00
76143,11101200024,10602219.20,30,2024,2024-07-26T16:28:20+00:00,2024-07-26T16:28:20+00:00
80405,11101200024,12985669.35,32,2024,2024-08-07T20:18:34+00:00,2024-08-09T14:31:20+00:00
84694,11101200024,13042135.65,35,2024,2024-08-30T14:15:28+00:00,2024-08-30T14:15:28+00:00
88981,11101200024,14566439.19,37,2024,2024-09-11T14:22:09+00:00,2024-09-11T14:22:09+00:00
93300,11101200024,14566439.19,38,2024,2024-09-18T15:00:18+00:00,2024-09-18T15:00:18+00:00
97626,11101200024,14639145.15,39,2024,2024-09-25T12:11:33+00:00,2024-09-25T12:11:33+00:00
101914,11101200024,14169428.61,41,2024,2024-10-11T17:05:47+00:00,2024-10-11T17:05:47+00:00
106153,11101200024,13124297.52,44,2024,2024-11-03T16:44:31+00:00,2024-11-03T16:44:31+00:00
110442,11101200024,11720361.39,47,2024,2024-11-20T11:38:21+00:00,2024-11-20T11:38:21+00:00
114647,11101200024,11582210.66,50,2024,2024-12-11T16:49:22+00:00,2024-12-11T16:49:22+00:00
118875,11101200024,11669366.79,51,2024,2024-12-18T12:33:05+00:00,2024-12-18T12:33:05+00:00
123084,11101200024,12857301.18,1,2025,2025-01-01T20:10:50+00:00,2025-01-01T20:10:50+00:00
127266,11101200024,15052619.80,3,2025,2025-01-15T21:05:49+00:00,2025-01-15T21:05:49+00:00
131541,11101200024,15052619.80,6,2025,2025-02-04T20:21:21+00:00,2025-02-04T20:21:21+00:00
135824,11101200024,13059251.39,10,2025,2025-03-03T17:23:12+00:00,2025-03-03T17:23:12+00:00
140342,11101200024,10802897.16,11,2025,2025-03-12T11:02:15+00:00,2025-03-12T11:02:15+00:00
144867,11101200024,10359770.33,13,2025,2025-03-26T16:27:29+00:00,2025-03-26T16:27:29+00:00
149353,11101200024,12051985.34,15,2025,2025-04-09T13:34:34+00:00,2025-04-09T13:34:34+00:00
153903,11101200024,12187977.28,17,2025,2025-04-23T12:05:25+00:00,2025-04-23T12:05:25+00:00
158372,11101200024,12905071.45,19,2025,2025-05-07T13:04:30+00:00,2025-05-07T13:04:30+00:00
162851,11101200024,12682129.50,21,2025,2025-05-21T19:48:09+00:00,2025-05-21T19:48:09+00:00
162852,11101200024,12436218.46,23,2025,2025-06-04T11:19:26+00:00,2025-06-04T11:19:26+00:00
162853,11101200024,11901597.81,25,2025,2025-06-18T11:54:45+00:00,2025-06-18T11:54:45+00:00
