id,item_id,price,week,year,date_created,date_updated
3243,11019000012,104092.04,11,2024,2024-03-17T14:20:15+00:00,2024-03-17T14:20:15+00:00
4802,11019000012,130874.49,13,2024,2024-03-25T15:23:23+00:00,2024-03-27T11:12:55+00:00
9272,11019000012,130874.49,14,2024,2024-04-03T10:44:36+00:00,2024-04-03T10:44:36+00:00
13393,11019000012,84419.07,15,2024,2024-04-10T12:44:17+00:00,2024-04-10T12:44:17+00:00
17602,11019000012,84419.07,16,2024,2024-04-17T11:27:38+00:00,2024-04-17T11:27:38+00:00
21810,11019000012,114465.35,17,2024,2024-04-24T19:28:08+00:00,2024-04-24T19:28:08+00:00
25985,11019000012,114465.35,18,2024,2024-05-01T10:42:01+00:00,2024-05-01T10:42:01+00:00
30158,11019000012,99952.25,19,2024,2024-05-08T18:03:22+00:00,2024-05-08T18:03:22+00:00
34298,11019000012,99952.25,20,2024,2024-05-15T18:20:04+00:00,2024-05-15T18:20:04+00:00
38441,11019000012,174422.45,21,2024,2024-05-22T14:11:55+00:00,2024-05-22T14:11:55+00:00
42597,11019000012,174422.45,22,2024,2024-05-30T22:16:07+00:00,2024-05-30T22:16:07+00:00
46739,11019000012,143191.16,23,2024,2024-06-06T20:46:17+00:00,2024-06-06T20:46:17+00:00
50907,11019000012,143191.16,24,2024,2024-06-14T10:59:00+00:00,2024-06-14T10:59:00+00:00
55090,11019000012,116033.00,25,2024,2024-06-19T19:42:37+00:00,2024-06-19T19:42:37+00:00
59247,11019000012,116033.00,26,2024,2024-06-26T13:24:43+00:00,2024-06-26T13:24:43+00:00
63405,11019000012,150206.57,27,2024,2024-07-05T19:30:07+00:00,2024-07-05T19:30:07+00:00
67583,11019000012,150206.57,28,2024,2024-07-11T08:55:47+00:00,2024-07-11T08:55:47+00:00
71760,11019000012,126937.87,29,2024,2024-07-21T13:28:01+00:00,2024-07-21T13:28:01+00:00
76026,11019000012,126937.87,30,2024,2024-07-26T16:28:17+00:00,2024-07-26T16:28:17+00:00
80288,11019000012,103329.89,32,2024,2024-08-07T20:18:32+00:00,2024-08-09T14:31:18+00:00
84577,11019000012,147015.09,35,2024,2024-08-30T14:15:25+00:00,2024-08-30T14:15:25+00:00
88863,11019000012,191566.97,37,2024,2024-09-11T14:22:07+00:00,2024-09-11T14:22:07+00:00
93182,11019000012,191566.97,38,2024,2024-09-18T15:00:15+00:00,2024-09-18T15:00:15+00:00
97510,11019000012,130164.25,39,2024,2024-09-25T12:11:30+00:00,2024-09-25T12:11:30+00:00
101796,11019000012,27416.64,41,2024,2024-10-11T17:05:41+00:00,2024-10-11T17:05:41+00:00
106036,11019000012,22507.01,44,2024,2024-11-03T16:44:26+00:00,2024-11-03T16:44:26+00:00
110324,11019000012,84657.14,47,2024,2024-11-20T11:38:12+00:00,2024-11-20T11:38:12+00:00
114532,11019000012,124188.33,50,2024,2024-12-11T16:49:17+00:00,2024-12-11T16:49:17+00:00
118757,11019000012,109734.81,51,2024,2024-12-18T12:33:00+00:00,2024-12-18T12:33:00+00:00
122967,11019000012,96680.04,1,2025,2025-01-01T20:10:44+00:00,2025-01-01T20:10:44+00:00
127149,11019000012,194261.01,3,2025,2025-01-15T21:05:44+00:00,2025-01-15T21:05:44+00:00
131424,11019000012,194261.01,6,2025,2025-02-04T20:21:11+00:00,2025-02-04T20:21:11+00:00
135702,11019000012,62393.95,10,2025,2025-03-03T17:23:06+00:00,2025-03-03T17:23:06+00:00
140216,11019000012,38408.91,11,2025,2025-03-12T11:02:09+00:00,2025-03-12T11:02:09+00:00
144740,11019000012,73402.96,13,2025,2025-03-26T16:27:21+00:00,2025-03-26T16:27:21+00:00
149222,11019000012,83019.55,15,2025,2025-04-09T13:34:21+00:00,2025-04-09T13:34:21+00:00
153772,11019000012,67953.94,17,2025,2025-04-23T12:05:18+00:00,2025-04-23T12:05:18+00:00
158238,11019000012,74364.19,19,2025,2025-05-07T13:04:24+00:00,2025-05-07T13:04:24+00:00
162716,11019000012,91069.77,21,2025,2025-05-21T19:48:02+00:00,2025-05-21T19:48:02+00:00
